Project Name,Package Name,Architecture Smell,Cause of the Smell
GoGreen-0.1.3,groupxii.database,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): groupxii.vegetarianmeal; groupxii.transportation; groupxii.solarpanels
GoGreen-0.1.3,groupxii.database,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: groupxii.database; groupxii.vegetarianmeal; groupxii.database
GoGreen-0.1.3,groupxii.database,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: groupxii.database; groupxii.transportation; groupxii.database
GoGreen-0.1.3,groupxii.database,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: groupxii.database; groupxii.solarpanels; groupxii.database
GoGreen-0.1.3,groupxii.server.security,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JwtGeneratingFilterTest; SecurityKey; JwtGeneratingFilter; JsonErrorResponseGenerator; JwtGeneratingFilterTest.BreakEncapsulation; SecurityKeyTest; JsonErrorResponseGeneratorTest; JwtVerificationFilterTest; JwtVerificationFilterTest.BreakCapsul; JwtVerificationFilter]; [CredentialsDbAuthenticationProviderTest; CredentialsDbAuthenticationProvider]; [UsernameAuthenticationProviderTest; UsernameAuthenticationProvider]; [WebSecurityConfiguration]. LCC (Lack of Component Cohesion) = 0.27
GoGreen-0.1.3,groupxii.server.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SolarPanelControllerTest; SolarPanelController]; [VegetarianMealControllerTest; VegetarianMealController]; [TransportationControllerTest; TransportationController]; [UserControllerTest; UserController]; [ProtectedControllerTest; ProtectedController]; [LocalProductsController]. LCC (Lack of Component Cohesion) = 0.55
GoGreen-0.1.3,groupxii.client.vegetarianmeal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EatenMealListTest; EatenMealList]; [MealListTest; MealList]; [ReducedCo2Test; ReducedCo2]. LCC (Lack of Component Cohesion) = 0.5
GoGreen-0.1.3,groupxii.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: groupxii.client; groupxii.client.connector; groupxii.client
GoGreen-0.1.3,groupxii.client.connector,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): groupxii.client
GoGreen-0.1.3,groupxii.client.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LocalProductsControllerTest]; [VegetarianMealController]; [TransportationController]; [LocalProductsController]; [MenuController]; [LeaderboardController]; [LeaderboardController.HBoxCell]; [LoginController]. LCC (Lack of Component Cohesion) = 1.0
