Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
GoGreen-0.1.3,(default package),MavenWrapperDownloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.database,DatabaseTest,Feature Envy,The tool detected a instance of this smell because testUserById is more interested in members of the type: UserEntry
GoGreen-0.1.3,groupxii.database,DatabaseTest,Feature Envy,The tool detected a instance of this smell because testFindByUserName is more interested in members of the type: UserEntry
GoGreen-0.1.3,groupxii.database,EntryTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.database,EntryTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.database,EntryTest.SimpleEntry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.database,EntryTest.SimpleEntry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromNullObj is more interested in members of the type: VehicleListEntry
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromDBObj is more interested in members of the type: VehicleListEntry
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromBadObj is more interested in members of the type: VehicleListEntry
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromNullObj is more interested in members of the type: PanelListEntry
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromBadDBObject is more interested in members of the type: PanelListEntry
GoGreen-0.1.3,groupxii.database,MealListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromNullObj is more interested in members of the type: MealListEntry
GoGreen-0.1.3,groupxii.database,MealListEntryTest,Feature Envy,The tool detected a instance of this smell because testFromBadDBObject is more interested in members of the type: MealListEntry
GoGreen-0.1.3,groupxii.database,Database,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance; dbAddr; dbPort; dbName; mongoClient; mongodb; userCollection; mealEntryListCollection; vehicleEntryListCollection; panelListEntryCollection; vehicleListPublic; mealListPublic; panelListPublic; running; active
GoGreen-0.1.3,groupxii.database,Database,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
GoGreen-0.1.3,groupxii.database,Entry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; jwtgen; request; response; body; bodyReader; reader; authenticationManager; breakEncapsulation
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest.BreakEncapsulation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest.BreakEncapsulation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; cdap
GoGreen-0.1.3,groupxii.server.security,UsernameAuthenticationProviderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; uap
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest.BreakCapsul,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest.BreakCapsul,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.server.security,SecurityKey,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance; defaultFilename; key
GoGreen-0.1.3,groupxii.server.security,WebSecurityConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.server,ServerApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.server.controllers,LocalProductsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.server.controllers,LocalProductsController,Feature Envy,The tool detected a instance of this smell because localShopData is more interested in members of the type: ReadLocalProductJson
GoGreen-0.1.3,groupxii.client,TokenManager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance; timeout; loginReqBody; jwt
GoGreen-0.1.3,groupxii.client,TokenManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Connector; TokenManager; LoginConnector
GoGreen-0.1.3,groupxii.client,TokenManager.Daemon,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.client,TokenManager.Daemon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.connector,Connector,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance
GoGreen-0.1.3,groupxii.client.connector,Connector,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Connector; TokenManager; LoginConnector
GoGreen-0.1.3,groupxii.client.controllers,LocalProductsControllerTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GoGreen-0.1.3,groupxii.client.controllers,LocalProductsControllerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,VegetarianMealController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,TransportationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,LocalProductsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,MenuController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,LeaderboardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,LeaderboardController.HBoxCell,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: label; button
GoGreen-0.1.3,groupxii.client.controllers,LeaderboardController.HBoxCell,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GoGreen-0.1.3,groupxii.client.controllers,LoginController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
