Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GoGreen-0.1.3,(default package),MavenWrapperDownloader,main,Empty catch clause,The method has an empty catch block.,55
GoGreen-0.1.3,(default package),MavenWrapperDownloader,main,Long Identifier,The length of the identifier mavenWrapperPropertyFileInputStream is 35.,55
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testCalculate,Magic Number,The method contains a magic number: 1571,23
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testCalculate,Magic Number,The method contains a magic number: 45,23
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testInstantiateId,Magic Number,The method contains a magic number: 1571,28
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testInstantiateId,Magic Number,The method contains a magic number: 45,28
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanelTest,testCalculatePanel,Magic Number,The method contains a magic number: 34,23
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanelTest,testCalculatePanel,Magic Number,The method contains a magic number: 955,23
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNoEnvPort,Magic Number,The method contains a magic number: 27017,65
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNPEPort,Magic Number,The method contains a magic number: 27017,77
GoGreen-0.1.3,groupxii.database,DatabaseTest,testBadEnvPort,Magic Number,The method contains a magic number: 27017,107
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSortUsersByPoints,Magic Number,The method contains a magic number: 2,165
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSortUsersByPoints,Magic Number,The method contains a magic number: 2,165
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddFriend,Magic Number,The method contains a magic number: 2,175
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddFriend,Magic Number,The method contains a magic number: 2,175
GoGreen-0.1.3,groupxii.database,DatabaseTest,testIncrementReducedCO2,Magic Number,The method contains a magic number: 2,183
GoGreen-0.1.3,groupxii.database,DatabaseTest,testIncrementReducedCO2,Magic Number,The method contains a magic number: 2,183
GoGreen-0.1.3,groupxii.database,DatabaseTest,testGetUserCount,Magic Number,The method contains a magic number: 2,190
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddMealEntry,Magic Number,The method contains a magic number: 100,196
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddMealEntry,Magic Number,The method contains a magic number: 100,196
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,createEntry,Magic Number,The method contains a magic number: 82.332,13
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,createEntry,Magic Number,The method contains a magic number: 6,13
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getCo2PerVehicle,Magic Number,The method contains a magic number: 82.332,23
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getAvgConsumption,Magic Number,The method contains a magic number: 6,28
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Long Statement,The length of the statement "DBObject obj=new BasicDBObject().append("vehicletype"`"car").append("co2PerVehicle"`84.3).append("fuel"`"Diesel").append("AvgConsumption"`5);" is 141.,48
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Magic Number,The method contains a magic number: 84.3,48
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Magic Number,The method contains a magic number: 5,48
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Magic Number,The method contains a magic number: 84.3,48
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Magic Number,The method contains a magic number: 5,48
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromBadObj,Long Statement,The length of the statement "DBObject obj=new BasicDBObject().append("vhcltype"`"car").append("co2"`84.3).append("gorivo"`"Diesel").append("Consum"`5);" is 122.,62
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromBadObj,Magic Number,The method contains a magic number: 84.3,62
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromBadObj,Magic Number,The method contains a magic number: 5,62
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,createEntry,Magic Number,The method contains a magic number: 45.0,13
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,createEntry,Magic Number,The method contains a magic number: 32,13
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,createEntry,Magic Number,The method contains a magic number: 44,13
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testCo2PerPanel,Magic Number,The method contains a magic number: 45.0,23
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testEfficiencyrate,Magic Number,The method contains a magic number: 32,28
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testAmount,Magic Number,The method contains a magic number: 44,33
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,Long Statement,The length of the statement "DBObject dbObject=new BasicDBObject().append("paneltype"`"Monocrystalline").append("co2PerPanel"`45.0).append("efficiencyrate"`32).append("amount"`44);" is 151.,47
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,Magic Number,The method contains a magic number: 45.0,47
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,Magic Number,The method contains a magic number: 32,47
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,Magic Number,The method contains a magic number: 44,47
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,Long Statement,The length of the statement "DBObject obj=new BasicDBObject().append("type"`"Monocrystalline").append("co2"`45.0).append("eff"`32).append("howMuch"`44);" is 123.,68
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,Magic Number,The method contains a magic number: 45.0,68
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,Magic Number,The method contains a magic number: 32,68
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,Magic Number,The method contains a magic number: 44,68
GoGreen-0.1.3,groupxii.database,MealEntryTest,createEntry,Magic Number,The method contains a magic number: 100,15
GoGreen-0.1.3,groupxii.database,MealEntryTest,createEntry,Magic Number,The method contains a magic number: 120,15
GoGreen-0.1.3,groupxii.database,MealEntryTest,testGoodServingSize,Magic Number,The method contains a magic number: 100,36
GoGreen-0.1.3,groupxii.database,MealEntryTest,testBadServingSize,Magic Number,The method contains a magic number: 120,41
GoGreen-0.1.3,groupxii.database,MealEntryTest,testReaducedCO2,Magic Number,The method contains a magic number: 100,46
GoGreen-0.1.3,groupxii.database,MealEntryTest,testReaducedCO2,Magic Number,The method contains a magic number: 120,46
GoGreen-0.1.3,groupxii.database,MealListEntryTest,createEntry,Magic Number,The method contains a magic number: 23.0,15
GoGreen-0.1.3,groupxii.database,MealListEntryTest,createEntry,Magic Number,The method contains a magic number: 30.0,15
GoGreen-0.1.3,groupxii.database,MealListEntryTest,createEntry,Magic Number,The method contains a magic number: 60.0,15
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testGetCO2PerServ,Magic Number,The method contains a magic number: 23.0,24
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testGetCalPerServ,Magic Number,The method contains a magic number: 30.0,29
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testGetServingSize,Magic Number,The method contains a magic number: 60.0,34
