Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
GoGreen-0.1.3,(default package),MavenWrapperDownloader,main,46,5,1,55,0,,
GoGreen-0.1.3,(default package),MavenWrapperDownloader,downloadFileFromURL,9,1,2,104,0,,
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,startDb,8,1,0,14,0,,
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testCalculate,3,1,0,23,1,,
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculationsTest,testInstantiateId,4,1,0,28,1,,
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanelTest,startDB,8,1,0,14,0,,
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanelTest,testCalculatePanel,4,1,0,23,1,,
GoGreen-0.1.3,groupxii.solarpanels,PanelCalculations,calculateCO2,8,1,2,9,0,,
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanel,CalculatedPanel,5,1,2,7,0,,
GoGreen-0.1.3,groupxii.solarpanels,CalculatedPanel,getReducedCO2,3,1,0,16,0,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,setUpDb,9,1,0,39,0,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testEnvVar,9,1,0,53,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNoEnvPort,8,1,0,65,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNPEPort,13,1,0,77,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNoEnvAddr,9,1,0,94,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testBadEnvPort,9,1,0,107,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSaveNull,3,1,0,131,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testUserById,5,1,0,150,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testFindByUserName,5,1,0,157,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSortUsersByPoints,8,1,0,165,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddFriend,6,1,0,175,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testIncrementReducedCO2,5,1,0,183,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testGetUserCount,3,1,0,190,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,testAddMealEntry,6,1,0,196,1,,
GoGreen-0.1.3,groupxii.database,DatabaseTest,dropTestDb,7,1,0,208,0,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,createusr,5,1,0,19,0,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getUserId,3,1,0,26,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getUsername,3,1,0,31,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getPoints,3,1,0,36,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getBadge,3,1,0,41,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getReducedCo2,3,1,0,46,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getFriendsId,3,1,0,51,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getEatenMealsTest,3,1,0,56,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getUsedVehiclesTest,3,1,0,61,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,getUsedPanelsTest,3,1,0,66,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,testToDBObject,13,1,0,71,1,,
GoGreen-0.1.3,groupxii.database,UserEntryTest,testFromDBObject,5,1,0,86,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,createEntry,3,1,0,13,0,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getFuel,3,1,0,18,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getCo2PerVehicle,3,1,0,23,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getAvgConsumption,3,1,0,28,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,getVehicletype,3,1,0,33,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromNullObj,8,1,0,38,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,8,1,0,48,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromBadObj,8,1,0,62,1,,
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testToDBObject,7,1,0,75,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,createEntry,3,1,0,13,0,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testPanelType,3,1,0,18,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testCo2PerPanel,3,1,0,23,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testEfficiencyrate,3,1,0,28,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testAmount,3,1,0,33,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testToDBObject,7,1,0,38,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,5,1,0,47,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromNullObj,8,1,0,58,1,,
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,8,1,0,68,1,,
GoGreen-0.1.3,groupxii.database,VehicleListPublicTest,defConstructorTest,4,1,0,9,1,,
GoGreen-0.1.3,groupxii.database,VehicleListPublicTest,getVehicleList,5,1,0,15,1,,
GoGreen-0.1.3,groupxii.database,VehicleListPublicTest,addVehicleName,5,1,0,22,1,,
GoGreen-0.1.3,groupxii.database,MealListPublicTest,defConstructorTest,4,1,0,10,1,,
GoGreen-0.1.3,groupxii.database,MealListPublicTest,testAddFood,5,1,0,16,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,createEntry,9,1,0,15,0,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testGoodFodName,3,1,0,26,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testBadFoodName,3,1,0,31,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testGoodServingSize,3,1,0,36,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testBadServingSize,3,1,0,41,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testReaducedCO2,4,1,0,46,1,,
GoGreen-0.1.3,groupxii.database,MealEntryTest,testToDBObject,8,1,0,52,1,,
