Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
GoGreen-0.1.3,groupxii.database,DatabaseTest,testEnvVar,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNoEnvPort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNPEPort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNPEPort,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
GoGreen-0.1.3,groupxii.database,DatabaseTest,testNoEnvAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testBadEnvPort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSaveNull,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.database,DatabaseTest,testUserById,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testFindByUserName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,DatabaseTest,testSortUsersByPoints,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.database,UserEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
GoGreen-0.1.3,groupxii.database,UserEntryTest,testFromDBObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromNullObj,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromDBObj,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testFromBadObj,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,VehicleListEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromDBObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromNullObj,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,PanelListEntryTest,testFromBadDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,MealEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testFromDBObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testFromNullObj,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,MealListEntryTest,testFromBadDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.database,VehicleEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GoGreen-0.1.3,groupxii.database,PanelEntryTest,testToDBObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,testNonPostRequest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,testBodyIOException,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,testEmptyRequestBody,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,succesfullAuthentication,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,succesfullAuthentication,Empty test,The tool detected the smell in this test method because the test is empty.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,generatingTokenTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,testFailedBadCredentials,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,testFailedInsufficientCredentials,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtGeneratingFilterTest,unreachableConditionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,missingUsernameTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,missingPasswordTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,testUsername0day,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
