Project Name,Package Name,Architecture Smell,Cause of the Smell
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ca.mcgill.cs.jetuml.diagram.builder; ca.mcgill.cs.jetuml.application; ca.mcgill.cs.jetuml.viewers.nodes
JetUML-3.1,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 9.38. All the dependencies among components: from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.diagram.builder; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.application; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.diagram to: ca.mcgill.cs.jetuml.views; from: ca.mcgill.cs.jetuml.diagram.nodes to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.diagram.nodes to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.diagram.edges to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.diagram.edges to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.diagram.builder.constraints; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.views; from: ca.mcgill.cs.jetuml.diagram.builder to: ca.mcgill.cs.jetuml.viewers.edges; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.diagram.builder.constraints to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml to: ca.mcgill.cs.jetuml.application; from: ca.mcgill.cs.jetuml to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml to: ca.mcgill.cs.jetuml.gui; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.viewers.nodes to: ca.mcgill.cs.jetuml.views; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.views; from: ca.mcgill.cs.jetuml.viewers.edges to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.persistence to: org.json; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.persistence to: ca.mcgill.cs.jetuml.application; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.application; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.views; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.viewers.edges; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.diagram.builder; from: ca.mcgill.cs.jetuml.gui to: ca.mcgill.cs.jetuml.persistence; from: ca.mcgill.cs.jetuml.gui.tips to: org.json; from: ca.mcgill.cs.jetuml.gui.tips to: ca.mcgill.cs.jetuml.application; from: ca.mcgill.cs.jetuml.gui.tips to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.gui; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.diagram.nodes; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.diagram.edges; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.diagram.builder; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.application to: ca.mcgill.cs.jetuml.viewers.nodes; from: ca.mcgill.cs.jetuml.views to: ca.mcgill.cs.jetuml.geom; from: ca.mcgill.cs.jetuml.views to: ca.mcgill.cs.jetuml.diagram; from: ca.mcgill.cs.jetuml.views to: ca.mcgill.cs.jetuml.viewers.edges; from: ca.mcgill.cs.jetuml.views to: ca.mcgill.cs.jetuml.viewers.nodes.
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.diagram.builder; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.diagram.nodes; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.diagram.edges; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.viewers.nodes; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.views; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ca.mcgill.cs.jetuml.diagram; ca.mcgill.cs.jetuml.diagram.builder; ca.mcgill.cs.jetuml.diagram.builder.constraints; ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.nodes,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ca.mcgill.cs.jetuml.diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.edges,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ca.mcgill.cs.jetuml.diagram
