Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTestUsageScenarios
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTestUsageScenarios
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTestUsageScenarios
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosSequenceDiagram,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTestUsageScenarios
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,Feature Envy,The tool detected a instance of this smell because test_NoEdges is more interested in members of the type: Diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,Feature Envy,The tool detected a instance of this smell because test_oneEdge is more interested in members of the type: Diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,Feature Envy,The tool detected a instance of this smell because test_DiagramReassignmentInNodes is more interested in members of the type: Diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,Feature Envy,The tool detected a instance of this smell because test_DiagramReassignmentInEdges is more interested in members of the type: Diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,Feature Envy,The tool detected a instance of this smell because test_edgeInnerNodeToInnerNode is more interested in members of the type: Diagram
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosClassDiagram,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractTestUsageScenarios
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosClassDiagram,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagram.StubNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagram.StubNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperties.Stub,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: aValue
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperties.Stub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperty.Stub,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: aValue
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperty.Stub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestClassDiagram,Feature Envy,The tool detected a instance of this smell because testInit is more interested in members of the type: DiagramAccessor
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestControlFlow,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Node,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ViewerUtilities; NodeViewerRegistry; Node; Diagram; DiagramType; DiagramViewer; EdgeViewerRegistry; Edge; EdgeViewer; NodeViewer; CallNode; FieldNode; ImplicitParameterNode; ObjectNode; PackageNode
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,AbstractDiagramElement,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
