Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,testNewBuilderInstance,Long Statement,The length of the statement "assertSame(SequenceDiagramBuilder.class`DiagramType.newBuilderInstanceFor(new Diagram(DiagramType.SEQUENCE)).getClass());" is 121.,44
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 20,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 20,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 120,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 80,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 2,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 50,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 50,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,Magic Number,The method contains a magic number: 3,67
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 80,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 80,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 140,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 140,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 80,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 140,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 80,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 140,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 5,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 80,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 140,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 250,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,Magic Number,The method contains a magic number: 20,86
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 250,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 80,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 140,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 4,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 209,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 162,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 20,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 85,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 25,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 110,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 110,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 100,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,Magic Number,The method contains a magic number: 9,139
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 20,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 20,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 80,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 20,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 100,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 100,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 3,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 12,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 3,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 12,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 40,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 20,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 23,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 32,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 83,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 32,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 140,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,Magic Number,The method contains a magic number: 120,176
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 250,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 80,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 140,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 100,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 100,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 250,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 80,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 250,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 140,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 20,192
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,Magic Number,The method contains a magic number: 85,192
