Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,setupClass,3,1,0,38,0,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,testNewBuilderInstance,7,1,0,44,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,testFromName_Valid,7,1,0,54,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,testFromName_InvalidNotNull,3,1,0,64,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,testFromName_Null,3,1,0,70,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,setup,12,1,0,52,0,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCreateUseCaseDiagram,14,1,0,67,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testGeneralEdgeCreation,39,1,0,86,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNoteEdgeCreation,28,1,0,139,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testIndividualNodeMovement,11,1,0,176,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testNodesAndEdgesMovement,17,1,0,192,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testDeleteNode,36,1,0,214,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testDeleteEdge,25,1,0,257,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testDeleteCombinationNodeAndEdge,29,1,0,288,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCopyPasteNode,11,1,0,331,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCutNode,12,1,0,347,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCopyNodesWithEdge,10,1,0,366,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,testCutNodesWithEdge,16,1,0,381,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,setup,12,1,0,47,0,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCreateStateDiagram,12,1,0,62,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testNoteNodeWithNoteEdges,19,1,0,80,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testGeneralEdgeCreation,22,1,0,107,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testIndividualNodeMovement,9,1,0,143,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testNodesAndEdgesMovement,15,1,0,157,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testDeleteObjectNodeAndNoteNode,14,1,0,178,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testDeleteFieldNode,9,1,0,199,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testDeleteEdge,20,1,0,213,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testDeleteCombinationNodeAndEdge,28,1,0,240,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testDeleteNodeWithLinkedEdge,11,1,0,281,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCopyNode,14,1,0,295,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCutObjectNodeWithFieldNode,10,1,0,316,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCutFieldNode,12,1,0,330,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCopyNodesWithEdge,11,1,0,348,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,testCutNodesWithEdge,13,1,0,363,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,setup,14,1,0,52,0,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testStateDiagramCreate,43,1,0,69,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testStateDiagramCreateNotes,21,1,0,125,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testCreateStateDiagram,21,1,0,156,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testConnectStateNodeWithNoteEdge,17,1,0,184,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testConnectNoteNodeWithNoteEdge,18,1,0,206,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testConnectStateNodeWithNoteNode,20,1,0,229,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testIndividualNodeMovement,14,1,0,256,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testNodesAndEdgesMovement,17,1,0,275,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testRemoveStartNode,12,1,0,299,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testRemoveEndNode,12,1,0,317,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testRemoveStateNode,18,1,0,335,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testCopyStateNode,8,1,0,360,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testCutStateNode,9,1,0,372,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testCopyNodesWithEdge,11,1,0,386,1,,
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,testCutNodesWithEdge,13,1,0,402,1,,
