Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosSequenceDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,AbstractTestUsageScenarios,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosClassDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestControlFlow,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,TestClassDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,TestStateDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,TestObjectDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,TestUseCaseDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,TestSequenceDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,ObjectDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,ClassDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,SequenceDiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder,DiagramBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder.constraints,TestEdgeConstraints,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder.constraints,TestObjectDiagramEdgeConstraints,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder.constraints,TestSequenceDiagramEdgeConstraints,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.diagram.builder.constraints,TestStateDiagramEdgeConstraints,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,TestFieldNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,TestImplicitParameterNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,TestCallNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,ImplicitParameterNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,CallNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,NodeViewerRegistry,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,AbstractPackageNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.nodes,ObjectNodeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,TestSegmentationStrategies,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,SegmentationStyleFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,EdgeViewerRegistry,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,StateTransitionEdgeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,CallEdgeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
JetUML-3.1,ca.mcgill.cs.jetuml.viewers.edges,ObjectReferenceEdgeViewer,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.persistence,TestJsonEncodingClassDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.persistence,TestJsonEncodingStateDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
JetUML-3.1,ca.mcgill.cs.jetuml.persistence,TestPersistenceService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 30
JetUML-3.1,ca.mcgill.cs.jetuml.persistence,TestJsonEncodingUseCaseDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
JetUML-3.1,ca.mcgill.cs.jetuml.persistence,JsonEncoder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.gui,TestSelectionModel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
JetUML-3.1,ca.mcgill.cs.jetuml.gui,DiagramTabToolBar,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.gui,DiagramCanvasController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
JetUML-3.1,ca.mcgill.cs.jetuml.gui,SelectionModel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
JetUML-3.1,ca.mcgill.cs.jetuml.gui,DiagramCanvas,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
JetUML-3.1,ca.mcgill.cs.jetuml.gui,EditorFrame,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
JetUML-3.1,ca.mcgill.cs.jetuml.gui.tips,TestTipDialog,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TIP_ELEMENT_IMAGE_NODES_MAX_WIDTH (56)
JetUML-3.1,ca.mcgill.cs.jetuml.gui.tips,TipLoader.Tip,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
JetUML-3.1,ca.mcgill.cs.jetuml.application,TestMoveTracker,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
JetUML-3.1,ca.mcgill.cs.jetuml.application,TestClipboard,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
