Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramType,0,0,5,5,25,5,0,0,-1.0,0,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestDiagramType.java,36
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosUseCaseDiagram,7,0,13,13,269,13,0,1,0.0,0,10,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestUsageScenariosUseCaseDiagram.java,42
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosObjectDiagram,7,0,16,16,240,16,0,1,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestUsageScenariosObjectDiagram.java,37
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosStateDiagram,9,0,16,16,279,16,0,1,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestUsageScenariosStateDiagram.java,40
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosSequenceDiagram,7,0,17,17,285,17,0,1,0.11764705882352941,0,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestUsageScenariosSequenceDiagram.java,42
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,AbstractTestUsageScenarios,7,0,18,1,97,23,5,0,0.1111111111111111,0,13,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/AbstractTestUsageScenarios.java,40
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagramDuplicate,1,0,7,7,94,7,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestDiagramDuplicate.java,34
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestUsageScenariosClassDiagram,8,0,28,28,388,30,0,1,0.0,0,17,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestUsageScenariosClassDiagram.java,47
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagram,5,0,8,7,62,8,0,0,0.5,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestDiagram.java,43
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestDiagram.StubNode,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestDiagram.java,51
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperties,3,0,18,16,139,19,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestProperties.java,38
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperties.Stub,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestProperties.java,40
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperty,1,0,1,1,14,1,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestProperty.java,28
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestProperty.Stub,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestProperty.java,33
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestClassDiagram,9,0,18,18,194,18,0,0,0.1111111111111111,0,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestClassDiagram.java,43
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,DiagramAccessor,1,0,5,5,34,8,0,0,0.0,3,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/DiagramAccessor.java,26
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,TestControlFlow,17,0,42,41,291,42,0,0,0.047619047619047616,0,12,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/TestControlFlow.java,51
JetUML-3.1,ca.mcgill.cs.jetuml.diagram,Node,0,0,18,0,98,18,0,1,-1.0,61,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/JetUML-3.1/src/ca/mcgill/cs/jetuml/diagram/Node.java,29
