Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,ChatActivity.MessageListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: isContinue
LiveChatServer-4.1,com.chatroom.ui,ChatActivity.MessageListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,ViewRoomsActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,ViewRoomsActivity,Feature Envy,The tool detected a instance of this smell because getRooms is more interested in members of the type: ClientModel
LiveChatServer-4.1,com.chatroom.ui,MainSplash,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,SignUpActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,SignUpActivity,Feature Envy,The tool detected a instance of this smell because signUp is more interested in members of the type: ClientModel
LiveChatServer-4.1,com.chatroom.ui,SignInActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.ui,SignInActivity,Feature Envy,The tool detected a instance of this smell because signIn is more interested in members of the type: ClientModel
LiveChatServer-4.1,com.chatroom.Database,createdb,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.configuration,Config,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: USER_NAME; USER_PWD; DATABASE_HOST; DATABASE_URL; DATABASE_NAME; TABLE_NAME; CLIENT_ID; CLIENT_NAME; CLIENT_PWD; colorPrimary; errors
LiveChatServer-4.1,com.chatroom.configuration,Config,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: USER_NAME; USER_PWD; DATABASE_HOST; DATABASE_URL; DATABASE_NAME; TABLE_NAME; CLIENT_ID; CLIENT_NAME; CLIENT_PWD; colorPrimary; errors
LiveChatServer-4.1,com.chatroom.others,TextBubbleBorder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,ResponseHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,ServerExec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.ResponseMaker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.ResponseMaker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.MessageHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.MessageHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.MessagesTrackComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.MessagesTrackComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.Server,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.server,RequestAnalyser.Server,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: scanner; choice; serverSocket; socket; port; request; response; requestqueue; responseMakerQueue; messagequeue; requestAnalyser; responseMaker; messageHandler; connection; listOfRooms; roomsHolder; roomsMapping; clientHolder; messagesTrackQueue; messagesTrackHashmap; serverOperations; roomIdGenerator
LiveChatServer-4.1,com.chatroom.models,Response.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.models,Response.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.models,Request.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.models,Request.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.client,Client.MessageListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LiveChatServer-4.1,com.chatroom.client,Client.MessageListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiveChatServer-4.1,com.chatroom.client,ClientExec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
