Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,MainMenuOptions,19,1,1,40,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,paintComponent,4,1,1,49,0,,
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,logOut,21,2,0,66,0,,
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,ListeningEvents,39,1,0,90,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,actionPerformed,3,1,1,92,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,actionPerformed,3,1,1,99,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,actionPerformed,10,1,1,107,0,,
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,actionPerformed,9,1,1,121,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,initializeAllWithProperties,57,1,0,133,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,createAndJoinRoom,27,4,2,213,0,,
LiveChatServer-4.1,com.chatroom.ui,MainMenuOptions,displayAlertDialog,23,4,1,249,0,com.chatroom.ui.MainMenuOptions,com.chatroom.ui.MainMenuOptions
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,ChatActivity,40,1,1,68,0,com.chatroom.ui.ChatActivity,com.chatroom.ui.ChatActivity
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,updateScrollbarPosition,3,1,0,131,0,,
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,ListeningEvents,104,6,0,135,0,com.chatroom.ui.ChatActivity,com.chatroom.ui.ChatActivity
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,focusLost,6,2,1,137,0,,
LiveChatServer-4.1,com.chatroom.ui,ChatActivity,focusGained,4,2,1,146,0,,
