Project Name,Package Name,Architecture Smell,Cause of the Smell
LogFX-0.9.1,com.athaydes.logfx,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.athaydes.logfx; com.athaydes.logfx.ui; com.athaydes.logfx
LogFX-0.9.1,com.athaydes.logfx.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
LogFX-0.9.1,com.athaydes.logfx.ui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.athaydes.logfx
LogFX-0.9.1,com.athaydes.logfx.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LogFxButton]; [LogView; GoToDateView; LogLine; SelectionHandler; FileDragAndDrop; Dialog; HighlightOptions; StartUpView; LogViewPane; LogViewPane.LogViewWrapper; FxUtils; FontPicker; AwesomeIcons; AboutLogFXView; ColorChooser; HighlightOptions.Row; LogViewPane.LogViewHeader]; [FileOpener]; [GoToDateView.DateTimeTextField]; [LogLine.BackgroundTransition]; [SelectionHandler.SelectionManager]; [SelectionHandler.SelectableNode]; [FileDragAndDrop.DropTarget]; [ColorChooser.ManualEditor]; [Dialog.MessageLevel]; [Dialog.DialogPosition]; [Dialog.StageTranslateTransition]; [HighlightOptions.StandardLogColorsRow]; [HighlightOptions.HighlightExpressionRow]; [Arrow]; [Arrow.Direction]; [LogViewPane.LogViewScrollPane]; [LogViewPane.FileDoesNotExistPane]; [BottomMessagePane]. LCC (Lack of Component Cohesion) = 0.54
LogFX-0.9.1,com.athaydes.logfx.file,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.athaydes.logfx.config
LogFX-0.9.1,com.athaydes.logfx.file,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileContentReader; FileReader; FileLineStarts; UnsuccessfulQueryResult; OutsideRangeQueryResult]; [FileContentReader.FileQueryResult]; [FileReader.LoadMode]; [FileReader.SearchDirection]; [FileReader.Comparison]; [FileReader.EarlyExitFromFileWindow]; [SuccessfulQueryResult]; [FileChangeWatcher]. LCC (Lack of Component Cohesion) = 0.67
LogFX-0.9.1,com.athaydes.logfx.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.athaydes.logfx.ui
LogFX-0.9.1,com.athaydes.logfx.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.athaydes.logfx.config; com.athaydes.logfx.ui; com.athaydes.logfx.config
LogFX-0.9.1,com.athaydes.logfx.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.athaydes.logfx.config; com.athaydes.logfx.log; com.athaydes.logfx.config
LogFX-0.9.1,com.athaydes.logfx.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.athaydes.logfx.config; com.athaydes.logfx.ui; com.athaydes.logfx.file; com.athaydes.logfx.config
LogFX-0.9.1,com.athaydes.logfx.log,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.athaydes.logfx.config
