Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
LogFX-0.9.1,org.slf4j.impl,StaticLoggerBinder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,org.slf4j.impl,StaticLoggerBinder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SINGLETON; REQUESTED_API_VERSION; loggerFactoryClassStr; loggerFactory
LogFX-0.9.1,com.athaydes.logfx,LogFX,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx,Constants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOGFX_VERSION
LogFX-0.9.1,com.athaydes.logfx,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOGFX_VERSION
LogFX-0.9.1,com.athaydes.logfx.ui,LogFxButton,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: log; DO_NOTHING; MAX_LINES; DELTA_FACTOR; highlightOptions; fileReaderExecutor; tailingFile; allowRefresh; fileContentReader; file; fileChangeWatcher; logLineFactory; taskRunner; selectionHandler; dateTimeFormatGuesser; onFileExists; onFileUpdate; dateTimeFormatGuess; expressionsChangeListener
LogFX-0.9.1,com.athaydes.logfx.ui,FileOpener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,Feature Envy,The tool detected a instance of this smell because GoToDateView is more interested in members of the type: Dialog
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView.DateTimeTextField,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: lastValidDateTimeText; formatter; valid; dateTime
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView.DateTimeTextField,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,LogLine,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SelectionHandler
LogFX-0.9.1,com.athaydes.logfx.ui,LogLine.BackgroundTransition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: originalColor; targetColor
LogFX-0.9.1,com.athaydes.logfx.ui,LogLine.BackgroundTransition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler.SelectionManager,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: selectedItems
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler.SelectionManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler.SelectableNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop.DropTarget,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop.DropTarget,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser.ManualEditor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: colorField; colorRectangle
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser.ManualEditor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.MessageLevel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.MessageLevel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.DialogPosition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.DialogPosition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.StageTranslateTransition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stage; originalY; toY
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog.StageTranslateTransition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.StandardLogColorsRow,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: standardLogColors
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.StandardLogColorsRow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.HighlightExpressionRow,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: expression; observableExpressions; parent
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.HighlightExpressionRow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.Row,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: expressionField; bkgColorPicker; fillColorPicker; isFilteredBox
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions.Row,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,StartUpView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,Arrow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,Arrow.Direction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LogFX-0.9.1,com.athaydes.logfx.ui,Arrow.Direction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LogFX-0.9.1,com.athaydes.logfx.ui,LogViewPane.LogViewScrollPane,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
