Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
LogFX-0.9.1,com.athaydes.logfx,LogFX,LogFX,Long Statement,The length of the statement "this.highlightOptions=new HighlightOptions(config.standardLogColorsProperty()`config.getObservableExpressions()`config.filtersEnabledProperty());" is 145.,73
LogFX-0.9.1,com.athaydes.logfx,LogFX,LogFX,Long Statement,The length of the statement "this.logsPane=new LogViewPane(taskRunner`() -> new StartUpView(getHostServices()`stage`this::open)`config.getObservableFiles().isEmpty());" is 138.,73
LogFX-0.9.1,com.athaydes.logfx,LogFX,start,Long Statement,The length of the statement "logsPane.panesDividersProperty().addListener(observable -> config.getPaneDividerPositions().setAll(logsPane.getSeparatorsPositions()));" is 135.,91
LogFX-0.9.1,com.athaydes.logfx,LogFX,start,Magic Number,The method contains a magic number: 800,91
LogFX-0.9.1,com.athaydes.logfx,LogFX,start,Magic Number,The method contains a magic number: 600,91
LogFX-0.9.1,com.athaydes.logfx,LogFX,setIconsOn,Long Statement,The length of the statement "final List<InputStream> imageStreams=Arrays.asList(LogFX.class.getResourceAsStream("/images/favicon-large.png")`LogFX.class.getResourceAsStream("/images/favicon-small.png")`LogFX.class.getResourceAsStream("/images/favicon-tiny.png"));" is 234.,152
LogFX-0.9.1,com.athaydes.logfx,LogFX,openViewFor,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@105637ea,234
LogFX-0.9.1,com.athaydes.logfx,LogFX,main,Magic Number,The method contains a magic number: 12,331
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,LogView,Long Parameter List,The method has 5 parameters. ,76
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,goTo,Long Statement,The length of the statement "log.warn("Failed to open date-time in log` could not recognize dates in the log (took {} ms)"`System.currentTimeMillis() - startTime);" is 134.,170
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,goTo,Long Statement,The length of the statement "Dialog.showMessage("Unable to open date-time.\n" + "The date-times in the file could not be recognized."`Dialog.MessageLevel.WARNING);" is 134.,170
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,onFileChange,Magic Number,The method contains a magic number: 2_000,269
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,onFileChange,Magic Number,The method contains a magic number: 2_000,276
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,GoToDateView,Long Statement,The length of the statement "viewWrappers.addAll(logViewsGetter.get().stream().filter(wrapper -> wrapper.getLogView() == selectedLogView).collect(toList()));" is 128.,37
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,GoToDateView,Magic Number,The method contains a magic number: 20,37
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,GoToDateView,Magic Number,The method contains a magic number: 240.0,37
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,GoToDateView,Magic Number,The method contains a magic number: 3,37
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,GoToDateView,Magic Number,The method contains a magic number: 10,37
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 2.0,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 4,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 4,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 4,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 8,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 8,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 2.0,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 4,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 4,28
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,install,Magic Number,The method contains a magic number: 2.0,28
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 25,23
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 500,23
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 300,23
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 500,23
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 10,23
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,createNode,Magic Number,The method contains a magic number: 500,23
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser,ColorChooser,Magic Number,The method contains a magic number: 2,29
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser,ColorChooser,Magic Number,The method contains a magic number: 10,29
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,getDelay,Magic Number,The method contains a magic number: 3,46
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,getDelay,Magic Number,The method contains a magic number: 5,46
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,getDelay,Magic Number,The method contains a magic number: 15,46
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,getDelay,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e3459bd,46
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,Dialog,Magic Number,The method contains a magic number: 20,80
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,makeTransparentWhenLoseFocus,Magic Number,The method contains a magic number: 0.5,133
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,show,Magic Number,The method contains a magic number: 0.25,150
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,show,Magic Number,The method contains a magic number: 30,150
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Long Statement,The length of the statement "Animation blurAnimation=new Timeline(new KeyFrame(Duration.millis(450)`new KeyValue(blurText.angleProperty()`45.0)`new KeyValue(blurText.radiusProperty()`20.0)));" is 162.,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 100,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 20,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 450,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 45.0,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 20.0,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 500,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 0.1,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 20,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 5.0,206
LogFX-0.9.1,com.athaydes.logfx.ui,Dialog,showMessage,Magic Number,The method contains a magic number: 250.0,206
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions,HighlightOptions,Long Statement,The length of the statement "expressionsBox.getChildren().addAll(observableExpressions.stream().map(ex -> new HighlightExpressionRow(ex`observableExpressions`expressionsBox)).toArray(HighlightExpressionRow[]::new));" is 186.,61
LogFX-0.9.1,com.athaydes.logfx.ui,HighlightOptions,HighlightOptions,Magic Number,The method contains a magic number: 2,61
