Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
LogFX-0.9.1,org.slf4j.impl,StaticLoggerBinder,4,1,4,3,25,4,0,0,0.75,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/org/slf4j/impl/StaticLoggerBinder.java,8
LogFX-0.9.1,com.athaydes.logfx,SetupMacTrayIcon,0,0,1,0,20,1,0,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/SetupMacTrayIcon.java,6
LogFX-0.9.1,com.athaydes.logfx,LogFX,10,0,13,3,0,26,0,0,0.15384615384615385,0,13,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/LogFX.java,53
LogFX-0.9.1,com.athaydes.logfx,Constants,1,1,0,0,3,0,0,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java-templates/com/athaydes/logfx/Constants.java,3
LogFX-0.9.1,com.athaydes.logfx.ui,LogFxButton,2,0,3,2,21,3,0,0,0.6666666666666666,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/LogFxButton.java,8
LogFX-0.9.1,com.athaydes.logfx.ui,LogView,19,1,24,1,252,40,0,0,0.08333333333333333,5,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/LogView.java,43
LogFX-0.9.1,com.athaydes.logfx.ui,FileOpener,1,0,1,1,16,2,0,0,0.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/FileOpener.java,11
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView,5,0,2,0,89,6,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/GoToDateView.java,30
LogFX-0.9.1,com.athaydes.logfx.ui,GoToDateView.DateTimeTextField,4,0,0,0,40,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/GoToDateView.java,95
LogFX-0.9.1,com.athaydes.logfx.ui,LogLine,2,0,5,1,59,6,0,1,0.8,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/LogLine.java,18
LogFX-0.9.1,com.athaydes.logfx.ui,LogLine.BackgroundTransition,2,0,0,0,27,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/LogLine.java,61
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler,4,0,9,0,145,26,1,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/SelectionHandler.java,18
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler.SelectionManager,1,0,0,0,32,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/SelectionHandler.java,149
LogFX-0.9.1,com.athaydes.logfx.ui,SelectionHandler.SelectableNode,0,0,0,0,4,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/SelectionHandler.java,192
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop,1,0,2,2,119,12,0,0,0.0,2,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/FileDragAndDrop.java,17
LogFX-0.9.1,com.athaydes.logfx.ui,FileDragAndDrop.DropTarget,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/FileDragAndDrop.java,24
LogFX-0.9.1,com.athaydes.logfx.ui,AboutLogFXView,1,0,3,2,41,3,0,0,0.0,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/AboutLogFXView.java,12
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser,6,0,4,3,83,6,0,0,0.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/ColorChooser.java,18
LogFX-0.9.1,com.athaydes.logfx.ui,ColorChooser.ManualEditor,2,0,0,0,33,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/ColorChooser.java,77
