Project Name,Package Name,Architecture Smell,Cause of the Smell
SweetHome3D-5.6,com.eteks.sweethome3d.junit,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
SweetHome3D-5.6,com.eteks.sweethome3d.junit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ImportedTextureWizardTest; TestUtilities; WallPanelTest; UserPreferencesPanelTest; WizardControllerTest; PrintTest; PhotoCreationTest; HomeCameraTest; ThreadedTaskControllerTest; TransferHandlerTest; PlanComponentTest; HomeFurniturePanelTest; BackgroundImageWizardTest; ImportedFurnitureWizardTest; IconManagerTest; LevelTest; PlanComponentWithFurnitureTest; RoomTest; HomeControllerTest]; [WizardControllerTest.ControllerTest]; [WizardControllerTest.FirstStep]; [WizardControllerTest.FirstStepView]; [WizardControllerTest.SecondStep]; [WizardControllerTest.SecondStepView]; [FurnitureTableTest]; [PackageDependenciesTest]; [HomeFileRecorderTest]; [PlanComponentTest.PlanTestFrame]; [OperatingSystemTest]; [PlanControllerTest]; [HomeTest]; [ModelManagerTest]; [PlanComponentWithFurnitureTest.TestFrame]; [CatalogTreeTest]; [RoomTest.RoomTestFrame]; [HomeControllerTest.OpenDamagedHomeController]; [HomeControllerTest.ControllerTest]; [HomeControllerTest.ViewTest]; [OBJWriterTest]. LCC (Lack of Component Cohesion) = 0.54
SweetHome3D-5.6,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.2. All the dependencies among components: from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.junit to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.tools to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.tools.
SweetHome3D-5.6,com.eteks.sweethome3d,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HomeFrameController; SweetHome3D; MacOSXConfiguration; HomeFramePane]; [SweetHome3D.FileContentManagerWithRecordedLastDirectories]; [SweetHome3D.StandaloneServiceManager]; [SweetHome3D.StandaloneBasicService]; [SweetHome3D.StandaloneSingleInstanceService]; [SweetHome3DBootstrap]; [HomeFramePane.LanguageChangeListener]. LCC (Lack of Component Cohesion) = 0.7
SweetHome3D-5.6,com.eteks.sweethome3d.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [URLContent; OperatingSystem; TemporaryURLContent; ResourceURLContent; SimpleURLContent]; [OperatingSystem.MacOSXFileManager]; [ExtensionsClassLoader]. LCC (Lack of Component Cohesion) = 0.43
SweetHome3D-5.6,com.eteks.sweethome3d.swing,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 184
SweetHome3D-5.6,com.eteks.sweethome3d.swing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HomeFurniturePanel; AutoCompleteTextField; ColorButton; PolylinePanel; LevelPanel; ImportedFurnitureWizardStepsPanel; LabelPanel; Home3DAttributesPanel; RoomPanel; SwingTools; HomeComponent3D; HomeComponent3D.JCanvas3DWithNavigationPanel; ObserverCameraPanel; FontNameComboBox; NullableCheckBox; HomePane; HelpPane; IconManager; PhotoPanel; CompassPanel; VideoPanel; VideoPanel.Image3DGenerator; NullableSpinner; BaseboardChoiceComponent; PlanComponent; ControllerAction; ModelMaterialsComponent; ModelMaterialsComponent.ModelMaterialsPanel; PhotoSizeAndQualityPanel; PageSetupPanel; AutoCommitSpinner; HomePrintableComponent; HomePDFPrinter; FurnitureTable; PrintPreviewPanel; UserPreferencesPanel; ResourceAction; UserPreferencesPanel.AutoCommitLengthSpinner; FurnitureCatalogTree; CatalogItemToolTip; TextureChoiceComponent; TextureChoiceComponent.TexturePanel; PhotosPanel; ScaledImageComponent; ImportedTextureWizardStepsPanel; ProportionalLayout; BackgroundImageWizardStepsPanel; BackgroundImageWizardStepsPanel.ScaleImagePreviewComponent; BackgroundImageWizardStepsPanel.OriginImagePreviewComponent; PlanTransferHandler; HomeTransferableList; FurnitureTransferHandler; LocatedTransferHandler; VisualTransferHandler; FurnitureCatalogTransferHandler; FurnitureCatalogListPanel; WallPanel; MultipleLevelsPlanPanel; ModelPreviewComponent; ModelPreviewComponent.JCanvas3DWithNotifiedPaint; ImportedFurnitureWizardStepsPanel.AbstractModelPreviewComponent; ImportedFurnitureWizardStepsPanel.RotationPreviewComponent; UnfocusableToolBar; WizardPane]; [UserPreferencesPanel.SupportedLanguagesChangeListener]; [UserPreferencesPanel.SpinnerLengthModel]; [FurnitureCatalogTree.CatalogCellRenderer]; [FurnitureCatalogTree.CatalogTreeModel]; [FurnitureCatalogTree.CatalogFurnitureListener]; [PhotosPanel.ActionType]; [PhotosPanel.LanguageChangeListener]; [PhotosPanel.CamerasListModel]; [VisualTransferHandler.DragGestureRecognizerWithVisualRepresentation]; [VisualTransferHandler.DragListenerWithVisualRepresentation]; [FurnitureCatalogListPanel.PreferencesChangeListener]; [FurnitureCatalogListPanel.CatalogCellRenderer]; [FurnitureCatalogListPanel.FurnitureCatalogListModel]; [FurnitureCatalogListPanel.FurnitureCatalogListener]; [CatalogItemToolTip.DisplayedInformation]; [AutoCompleteTextField.AutoCompleteDocument]; [FileContentManager]; [FileContentManager.DirectoryChooser]; [FileContentManager.DirectoryNode]; [ColorButton.PalettesColorChooserPanel]; [ColorButton.GrayColorChart]; [ColorButton.ColorChart]; [ColorButton.PaletteComboBox]; [ColorButton.ColorCode]; [ColorButton.RecentColorsPanel]; [PolylinePanel.ArrowsStyle]; [MultipleLevelsPlanPanel.LanguageChangeListener]; [MultipleLevelsPlanPanel.LevelLabel]; [ThreadedTaskPanel]; [LevelPanel.LevelsTableModel]; [ImportedFurnitureWizardStepsPanel.AutoRepeatButton]; [ImportedFurnitureWizardStepsPanel.AttributesPreviewComponent]; [ImportedFurnitureWizardStepsPanel.IconPreviewComponent]; [ResourceAction.LanguageChangeListener]; [ResourceAction.AbstractDecoratedAction]; [ResourceAction.MenuItemAction]; [ResourceAction.PopupMenuItemAction]; [ResourceAction.ToolBarAction]; [ResourceAction.ButtonAction]; [TextureChoiceComponent.TextureListCellRenderer]; [TextureChoiceComponent.TextureIcon]; [TextureChoiceComponent.TexturesCatalogListener]; [TextureChoiceComponent.TexturesCatalogListModel]; [TextureChoiceComponent.TexturesCatalogListener]; [AutoCommitSpinner.SpinnerModuloNumberModel]; [HomePrintableComponent.Variable]; [FurnitureTable.UserPreferencesChangeListener]; [FurnitureTable.RunnableContext]; [FurnitureTable.FurnitureTableColumnModel]; [FurnitureTable.LanguageChangeListener]; [FurnitureTable.SizeRenderer]; [FurnitureTable.PriceRenderer]; [FurnitureTable.BooleanRenderer]; [FurnitureTable.TreeTableNameCellRenderer]; [FurnitureTable.PanelWithInformationIcon]; [FurnitureTable.FurnitureTreeTableModel]; [FurnitureTable.FurnitureFilter]; [ProportionalLayout.Constraints]; [SwingViewFactory]; [BackgroundImageWizardStepsPanel.ActionType]; [SwingTools.SelectionOnFocusManager]; [SwingTools.MenuItemsVisibilityListener]; [SwingTools.BrowserSupport]; [HomeComponent3D.ActionType]; [HomeComponent3D.NavigationPanelChangeListener]; [HomeComponent3D.NavigationButton]; [HomeComponent3D.CameraInterpolator]; [HomeComponent3D.MoveCameraAction]; [HomeComponent3D.MoveCameraSidewaysAction]; [HomeComponent3D.ElevateCameraAction]; [HomeComponent3D.RotateCameraYawAction]; [HomeComponent3D.RotateCameraPitchAction]; [HomePane.MenuActionType]; [HomePane.LanguageChangeListener]; [HomePane.FocusCycleRootChangeListener]; [HomePane.FocusOwnerChangeListener]; [HomePane.FurnitureCatalogViewChangeListener]; [HomePane.RulersVisibilityChangeListener]; [HomePane.MouseAndFocusListener]; [HomePane.OBJExporter]; [HomePane.ActionAdapter]; [HomePane.SelectableFormat]; [HomePane.PopupMenuListenerWithMouseLocation]; [HelpPane.ActionType]; [HelpPane.LanguageChangeListener]; [IconManager.IconProxy]; [PhotoPanel.ActionType]; [PhotoPanel.LanguageChangeListener]; [VideoPanel.ActionType]; [VideoPanel.LanguageChangeListener]; [VideoPanel.ImageDataSource]; [VideoPanel.ImageSourceStream]; [VideoPanel.FrameGenerator]; [VideoPanel.PhotoImageGenerator]; [NullableSpinner.NullableSpinnerDateModel]; [NullableSpinner.NullableSpinnerNumberModel]; [NullableSpinner.NullableSpinnerModuloNumberModel]; [NullableSpinner.NullableSpinnerLengthModel]; [InterruptedPrinterException]; [PrintPreviewPanel.ActionType]; [PrintPreviewPanel.HigherInsetsButton]; [PlanComponent.PaintMode]; [PlanComponent.ActionType]; [PlanComponent.IndicatorType]; [PlanComponent.UserPreferencesChangeListener]; [PlanComponent.MoveSelectionAction]; [PlanComponent.ToggleMagnetismAction]; [PlanComponent.SetAlignmentActivatedAction]; [PlanComponent.SetDuplicationActivatedAction]; [PlanComponent.SetEditionActivatedAction]; [PlanComponent.SVGSupport]; [PlanComponent.PlanRulerComponent]; [PlanComponent.PieceOfFurnitureTopViewIcon]; [PlanComponent.PieceOfFurniturePlanIcon]; [PlanComponent.PieceOfFurnitureModelIcon]; [ModelMaterialsComponent.MaterialListCellRenderer]; [ModelMaterialsComponent.MaterialsListModel]; [ModelMaterialsComponent.MaterialBlinker]; [PhotoSizeAndQualityPanel.LanguageChangeListener]; [JPEGImagesToVideo]. LCC (Lack of Component Cohesion) = 0.66
SweetHome3D-5.6,com.eteks.sweethome3d.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
SweetHome3D-5.6,com.eteks.sweethome3d.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ContentRecording; DefaultHomeInputStream; DefaultHomeInputStream.HomeObjectInputStream; ContentDigestManager; DefaultHomeOutputStream; DefaultHomeOutputStream.HomeContentObjectsTracker; DefaultHomeOutputStream.HomeObjectOutputStream; XMLWriter; DefaultTexturesCatalog; HomeXMLHandler; HomeFileRecorder; HomeContentContext; DefaultFurnitureCatalog; HomeXMLExporter; ObjectXMLExporter; HomeXMLExporter.PieceOfFurnitureExporter; Base64; HomeURLContent; URLContentClassLoader]; [DefaultPatternTexture]; [DamagedHomeIOException]; [Base64.OutputStream]; [DefaultLibrary; FileUserPreferences; DefaultUserPreferences]; [DefaultHomeInputStream.CopiedInputStream]; [ContentDigestManager.ZipEntryData]; [DefaultTexturesCatalog.PropertyKey]; [HomeXMLHandler.JoinedWall]; [AutoRecoveryManager]; [DefaultFurnitureCatalog.PropertyKey]; [FileUserPreferences.PreferencesURLContent]; [FileUserPreferences.PortablePreferences]. LCC (Lack of Component Cohesion) = 0.39
SweetHome3D-5.6,com.eteks.sweethome3d.plugin,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PluginManager; PluginManager.PluginLibrary; Plugin; HomePluginController]; [PluginAction]; [PluginAction.Property]. LCC (Lack of Component Cohesion) = 0.5
