Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedTextureWizardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedTextureWizardTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.ControllerTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: stepIcon
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStep,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStep,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStepView,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStepView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStep,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStep,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStepView,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStepView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PrintTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PhotoCreationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeCameraTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PackageDependenciesTest,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testPackageDependencies
SweetHome3D-5.6,com.eteks.sweethome3d.junit,TransferHandlerTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentTest.PlanTestFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentTest.PlanTestFrame,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: preferences; home; planController; modeButton; undoButton; redoButton; reverseDirectionButton; splitButton
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeFurniturePanelTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,BackgroundImageWizardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedFurnitureWizardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedFurnitureWizardTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
SweetHome3D-5.6,com.eteks.sweethome3d.junit,LevelTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentWithFurnitureTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentWithFurnitureTest.TestFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentWithFurnitureTest.TestFrame,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: home; homeController; selectButton; createWallsButton; createDimensionsButton; addButton; undoButton; redoButton
SweetHome3D-5.6,com.eteks.sweethome3d.junit,RoomTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,RoomTest.RoomTestFrame,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: preferences; home; homeController
SweetHome3D-5.6,com.eteks.sweethome3d.junit,RoomTest.RoomTestFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeControllerTest.OpenDamagedHomeController,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeControllerTest.OpenDamagedHomeController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeControllerTest.ControllerTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeControllerTest.ViewTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d,HomeFrameController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HomeFrameController; HomeFramePane; MacOSXConfiguration; SweetHome3D
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.FileContentManagerWithRecordedLastDirectories,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LAST_DIRECTORY; LAST_DEFAULT_DIRECTORY; mainClass
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.FileContentManagerWithRecordedLastDirectories,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneServiceManager,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mainClass
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneServiceManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneBasicService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneBasicService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneSingleInstanceService,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SINGLE_INSTANCE_PORT; mainClass; singleInstanceListeners
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D.StandaloneSingleInstanceService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3DBootstrap,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3DBootstrap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d,MacOSXConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
SweetHome3D-5.6,com.eteks.sweethome3d,HomeFramePane.LanguageChangeListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: frame; homeFramePane
SweetHome3D-5.6,com.eteks.sweethome3d,HomeFramePane.LanguageChangeListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.tools,OperatingSystem.MacOSXFileManager,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
SweetHome3D-5.6,com.eteks.sweethome3d.tools,OperatingSystem.MacOSXFileManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.tools,ExtensionsClassLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.tools,TemporaryURLContent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
SweetHome3D-5.6,com.eteks.sweethome3d.tools,ResourceURLContent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
SweetHome3D-5.6,com.eteks.sweethome3d.tools,SimpleURLContent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
