Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedTextureWizardTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WallPanelTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
SweetHome3D-5.6,com.eteks.sweethome3d.junit,UserPreferencesPanelTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PrintTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PhotoCreationTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeCameraTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeFileRecorderTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SweetHome3D-5.6,com.eteks.sweethome3d.junit,TransferHandlerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeFurniturePanelTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
SweetHome3D-5.6,com.eteks.sweethome3d.junit,BackgroundImageWizardTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedFurnitureWizardTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SweetHome3D-5.6,com.eteks.sweethome3d.junit,LevelTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PlanComponentWithFurnitureTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
SweetHome3D-5.6,com.eteks.sweethome3d.junit,RoomTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
SweetHome3D-5.6,com.eteks.sweethome3d.junit,HomeControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
SweetHome3D-5.6,com.eteks.sweethome3d,HomeFrameController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SweetHome3D-5.6,com.eteks.sweethome3d,SweetHome3D,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
SweetHome3D-5.6,com.eteks.sweethome3d,MacOSXConfiguration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SweetHome3D-5.6,com.eteks.sweethome3d,HomeFramePane,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
SweetHome3D-5.6,com.eteks.sweethome3d.swing,HomeFurniturePanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
SweetHome3D-5.6,com.eteks.sweethome3d.swing,PageSetupPanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
SweetHome3D-5.6,com.eteks.sweethome3d.swing,UserPreferencesPanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
