Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
SweetHome3D-5.6,com.eteks.sweethome3d.junit,ImportedTextureWizardTest,0,0,27,21,321,29,0,0,-1.0,0,18,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/ImportedTextureWizardTest.java,76
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WallPanelTest,0,0,3,2,79,6,0,0,-1.0,0,9,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WallPanelTest.java,42
SweetHome3D-5.6,com.eteks.sweethome3d.junit,UserPreferencesPanelTest,0,0,6,5,208,7,0,0,-1.0,0,11,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/UserPreferencesPanelTest.java,76
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest,1,0,8,8,133,8,0,0,1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,46
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.ControllerTest,1,0,0,0,63,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,148
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStep,0,0,0,0,17,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,166
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.FirstStepView,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,194
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStep,0,0,0,0,17,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,201
SweetHome3D-5.6,com.eteks.sweethome3d.junit,WizardControllerTest.SecondStepView,0,0,0,0,11,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/WizardControllerTest.java,229
SweetHome3D-5.6,com.eteks.sweethome3d.junit,PrintTest,0,0,11,9,167,16,0,0,-1.0,0,13,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/SweetHome3D-5.6/test/com/eteks/sweethome3d/junit/PrintTest.java,65
