Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
argouml-0.35.1,jdepend.textui,JDepend,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.textui,JDepend,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 51 methods
argouml-0.35.1,jdepend.framework,JavaPackage,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: JavaClass; JavaPackage
argouml-0.35.1,jdepend.framework,JavaPackage,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
argouml-0.35.1,jdepend.framework,AbstractParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: parseListeners; filter; DEBUG
argouml-0.35.1,jdepend.framework,PropertyConfigurator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: properties; DEFAULT_PROPERTY_FILE
argouml-0.35.1,jdepend.framework,ClassFileParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JAVA_MAGIC; CONSTANT_UTF8; CONSTANT_UNICODE; CONSTANT_INTEGER; CONSTANT_FLOAT; CONSTANT_LONG; CONSTANT_DOUBLE; CONSTANT_CLASS; CONSTANT_STRING; CONSTANT_FIELD; CONSTANT_METHOD; CONSTANT_INTERFACEMETHOD; CONSTANT_NAMEANDTYPE; CLASS_DESCRIPTOR; ACC_INTERFACE; ACC_ABSTRACT; fileName; className; superClassName; interfaceNames; isAbstract; jClass; constantPool; fields; methods; attributes; in; _tag; _nameIndex; _typeIndex; _value; _accessFlags; _nameIndex; _descriptorIndex; name; value
argouml-0.35.1,jdepend.framework,ClassFileParser.Constant,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: _tag; _nameIndex; _typeIndex; _value
argouml-0.35.1,jdepend.framework,ClassFileParser.Constant,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.framework,ClassFileParser.FieldOrMethodInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: _accessFlags; _nameIndex; _descriptorIndex
argouml-0.35.1,jdepend.framework,ClassFileParser.FieldOrMethodInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.framework,ClassFileParser.AttributeInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; value
argouml-0.35.1,jdepend.framework,ClassFileParser.AttributeInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.framework,JavaClass.ClassComparator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
argouml-0.35.1,jdepend.framework,JavaClass.ClassComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.swingui,AboutDialog,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.swingui,JDepend,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
argouml-0.35.1,jdepend.swingui,JDepend,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 39 methods
