Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
argouml-0.35.1,jdepend.textui,JDepend,JDepend,Magic Number,The method contains a magic number: 2,36
argouml-0.35.1,jdepend.textui,JDepend,usage,Long Statement,The length of the statement "System.err.println(baseUsage + "[-components <components>]" + " [-file <output file>] <directory> "+ "[directory2 [directory 3] ...]");" is 135.,462
argouml-0.35.1,jdepend.textui,JDepend,instanceMain,Complex Method,Cyclomatic complexity of the method is 9,476
argouml-0.35.1,jdepend.framework,PropertyConfigurator,loadProperties,Empty catch clause,The method has an empty catch block.,112
argouml-0.35.1,jdepend.framework,PropertyConfigurator,loadProperties,Empty catch clause,The method has an empty catch block.,112
argouml-0.35.1,jdepend.framework,ClassFileParser,parseNextConstant,Complex Method,Cyclomatic complexity of the method is 12,258
argouml-0.35.1,jdepend.framework,ClassFileParser,parseNextConstant,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@502d3701,258
argouml-0.35.1,jdepend.framework,ClassFileParser,parseAttributes,Magic Number,The method contains a magic number: 256,313
argouml-0.35.1,jdepend.framework,ClassFileParser,parseAttributes,Magic Number,The method contains a magic number: 256,313
argouml-0.35.1,jdepend.framework,ClassFileParser,parseAttributes,Magic Number,The method contains a magic number: 256,313
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 300,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 200,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 18,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 12,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 12,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 12,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 2,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 3,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 4,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 5,16
argouml-0.35.1,jdepend.swingui,AboutDialog,AboutDialog,Magic Number,The method contains a magic number: 6,16
