Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
argouml-0.35.1,jdepend.textui,JDepend,JDepend,3,1,0,29,0,,
argouml-0.35.1,jdepend.textui,JDepend,JDepend,6,1,1,36,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,setWriter,3,1,1,50,0,,
argouml-0.35.1,jdepend.textui,JDepend,getWriter,3,1,0,59,0,,
argouml-0.35.1,jdepend.textui,JDepend,setFilter,3,1,1,63,0,,
argouml-0.35.1,jdepend.textui,JDepend,setComponents,3,1,1,72,0,,
argouml-0.35.1,jdepend.textui,JDepend,addDirectory,3,1,1,79,0,,
argouml-0.35.1,jdepend.textui,JDepend,analyzeInnerClasses,3,1,1,90,0,,
argouml-0.35.1,jdepend.textui,JDepend,analyze,11,1,0,100,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printPackages,8,2,1,126,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printPackage,18,2,1,137,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAbstractClasses,13,3,1,168,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printConcreteClasses,13,3,1,184,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printEfferents,14,3,1,200,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAfferents,14,3,1,218,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCycles,8,2,1,236,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCycle,27,5,1,247,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printHeader,2,1,0,280,0,,
argouml-0.35.1,jdepend.textui,JDepend,printFooter,2,1,0,284,0,,
argouml-0.35.1,jdepend.textui,JDepend,printPackagesHeader,2,1,0,288,0,,
argouml-0.35.1,jdepend.textui,JDepend,printPackagesFooter,2,1,0,292,0,,
argouml-0.35.1,jdepend.textui,JDepend,printNoStats,3,1,0,296,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printPackageHeader,5,1,1,301,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printPackageFooter,2,1,1,309,0,,
argouml-0.35.1,jdepend.textui,JDepend,printStatistics,13,1,1,313,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printClassName,3,1,1,337,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printPackageName,3,1,1,341,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAbstractClassesHeader,3,1,0,345,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAbstractClassesFooter,2,1,0,349,0,,
argouml-0.35.1,jdepend.textui,JDepend,printConcreteClassesHeader,3,1,0,353,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printConcreteClassesFooter,2,1,0,357,0,,
argouml-0.35.1,jdepend.textui,JDepend,printEfferentsHeader,3,1,0,361,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printEfferentsFooter,2,1,0,365,0,,
argouml-0.35.1,jdepend.textui,JDepend,printEfferentsError,3,1,0,369,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAfferentsHeader,3,1,0,373,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printAfferentsFooter,2,1,0,377,0,,
argouml-0.35.1,jdepend.textui,JDepend,printAfferentsError,3,1,0,381,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCyclesHeader,6,1,0,385,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCyclesFooter,2,1,0,394,0,,
argouml-0.35.1,jdepend.textui,JDepend,printCycleHeader,4,1,1,398,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCycleTarget,3,1,1,403,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCycleContributor,3,1,1,407,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printCycleFooter,3,1,0,411,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printSummary,19,2,1,415,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,printSectionBreak,3,1,0,441,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,toFormattedString,3,1,1,445,0,,
argouml-0.35.1,jdepend.textui,JDepend,tab,3,1,0,449,0,,
argouml-0.35.1,jdepend.textui,JDepend,tab,7,2,1,453,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,usage,10,2,1,462,0,,
argouml-0.35.1,jdepend.textui,JDepend,instanceMain,43,9,1,476,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.textui,JDepend,main,3,1,1,524,0,jdepend.textui.JDepend,jdepend.textui.JDepend
argouml-0.35.1,jdepend.framework,JavaPackage,JavaPackage,3,1,1,21,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,JavaPackage,7,1,2,25,0,jdepend.framework.JavaPackage,jdepend.framework.JavaPackage
argouml-0.35.1,jdepend.framework,JavaPackage,getName,3,1,0,33,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,getVolatility,3,1,0,37,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,setVolatility,3,1,1,44,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,containsCycle,3,1,0,51,0,jdepend.framework.JavaPackage,jdepend.framework.JavaPackage
argouml-0.35.1,jdepend.framework,JavaPackage,collectCycle,15,4,1,55,0,jdepend.framework.JavaPackage,jdepend.framework.JavaPackage
argouml-0.35.1,jdepend.framework,JavaPackage,collectAllCycles,19,5,1,85,0,jdepend.framework.JavaPackage,jdepend.framework.JavaPackage
argouml-0.35.1,jdepend.framework,JavaPackage,addClass,3,1,1,122,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,getClasses,3,1,0,126,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,getClassCount,3,1,0,130,0,,
argouml-0.35.1,jdepend.framework,JavaPackage,getAbstractClassCount,10,3,0,134,0,,
