Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
argouml-0.35.1,jdepend.framework,JDepend,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,jdepend.framework,AbstractParser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEBUG (19)
argouml-0.35.1,jdepend.framework,JavaClass.ClassComparator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
argouml-0.35.1,jdepend.swingui,JDepend,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.model,MockModelImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 37
argouml-0.35.1,org.argouml.model,ModelImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 37
argouml-0.35.1,org.argouml.model,Model,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 40
argouml-0.35.1,org.argouml.model,AllTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 33
argouml-0.35.1,org.argouml.model,MockModelImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 38
argouml-0.35.1,org.argouml.dev,DeveloperModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.model.mdr,UmlFactoryMDRImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
argouml-0.35.1,org.argouml.model.mdr,CoreHelperMDRImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
argouml-0.35.1,org.argouml.model.mdr,MDRModelImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 52
argouml-0.35.1,org.argouml.sequence2,SequenceDiagramModule,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
argouml-0.35.1,org.argouml.sequence2.diagram,FigMessage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
argouml-0.35.1,org.argouml.sequence2.diagram,UMLSequenceDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.persistence,TestProfileConfigurationFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
argouml-0.35.1,org.argouml.persistence,TodoListMemberFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.persistence,UmlFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
argouml-0.35.1,org.argouml.persistence,ZargoFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
argouml-0.35.1,org.argouml.persistence,XmiFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
argouml-0.35.1,org.argouml.persistence,OldZargoFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.persistence,PersistenceManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
argouml-0.35.1,org.argouml.persistence,ModelMemberFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
argouml-0.35.1,org.argouml.persistence,ZipFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.persistence,DiagramMemberFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.persistence,ProfileConfigurationFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
argouml-0.35.1,org.argouml.persistence,AbstractFilePersister,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
argouml-0.35.1,org.argouml.deployment2.diagram,UMLDeploymentDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.state2.diagram,UMLStateDiagram,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.state2.diagram,FigVertex,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.core.propertypanels.ui,ListFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 34
argouml-0.35.1,org.argouml.core.propertypanels.ui,RowSelector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
argouml-0.35.1,org.argouml.core.propertypanels.ui,ActionNewAction.Roles,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
argouml-0.35.1,org.argouml.core.propertypanels.ui,SwingUIFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 66
argouml-0.35.1,org.argouml.core.propertypanels.ui,SingleListFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
argouml-0.35.1,org.argouml.model.euml,EUMLModelImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 37
argouml-0.35.1,org.argouml.model.euml,CoreHelperEUMLImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (getDetailsTabs) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.availableModules; org.argouml.moduleloader.ModuleLoader2.getInstance
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (doLoad) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.doInternal; org.argouml.moduleloader.ModuleLoader2.getInstance
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (isEnabled) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.getInstance; org.argouml.moduleloader.ModuleLoader2.isEnabledInternal
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (allModules) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.availableModules; org.argouml.moduleloader.ModuleLoader2.getInstance
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (isSelected) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.getInstance; org.argouml.moduleloader.ModuleLoader2.isSelectedInternal
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (setSelected) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.getInstance; org.argouml.moduleloader.ModuleLoader2.setSelectedInternal
argouml-0.35.1,org.argouml.moduleloader,ModuleLoader2,Law of Demeter violation,The tool detected the smell in this method (getDescription) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.moduleloader.ModuleLoader2.getInstance; org.argouml.moduleloader.ModuleLoader2.getDescriptionInternal
