Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
argouml-0.35.1,jdepend.textui,JDepend,3,0,51,9,368,77,0,0,0.0392156862745098,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/textui/JDepend.java,12
argouml-0.35.1,jdepend.framework,JavaPackage,5,0,27,27,199,45,0,0,0.0,8,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/JavaPackage.java,5
argouml-0.35.1,jdepend.framework,PackageFilter,1,0,7,7,67,12,0,0,0.0,5,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/PackageFilter.java,6
argouml-0.35.1,jdepend.framework,JDepend,6,0,20,18,190,34,0,0,0.1,7,9,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/JDepend.java,6
argouml-0.35.1,jdepend.framework,ParserListener,0,0,1,1,12,1,0,0,-1.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/ParserListener.java,3
argouml-0.35.1,jdepend.framework,PackageComparator,2,0,5,4,31,6,0,0,0.4,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/PackageComparator.java,5
argouml-0.35.1,jdepend.framework,AbstractParser,3,1,8,4,47,11,1,0,0.5,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/AbstractParser.java,6
argouml-0.35.1,jdepend.framework,PropertyConfigurator,2,1,8,8,97,16,0,0,0.25,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/PropertyConfigurator.java,13
argouml-0.35.1,jdepend.framework,ClassFileParser,36,16,29,6,0,77,0,1,0.06896551724137931,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/ClassFileParser.java,6
argouml-0.35.1,jdepend.framework,ClassFileParser.Constant,4,0,0,0,45,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/argouml-0.35.1/tools/jdepend-2.9/src/jdepend/framework/ClassFileParser.java,452
