Project Name,Package Name,Architecture Smell,Cause of the Smell
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputSuppressWarningsFilter]; [InputSuppressWarningsFilter.I]; [InputSuppressWarningsFilter.E]; [InputSuppressWarningsFilter.AnEnum]; [InputSuppressWarningsFilter.TestClass1]; [InputSuppressWarningsFilter.TestClass2]; [InputSuppressWarningsFilter.TestClass3]; [InputSuppressWarningsFilter.Task]; [InputSuppressWarningsFilterById]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputMethodReferences]; [InputMethodReferences.ParentClass]; [InputAnnotations6]; [InputAnnotations6.UnmodifiableList]; [InputLambda12]; [InputLambda12.TestOfVoidLambdas]; [InputLambda6]; [InputLambda7]; [InputLambda13]; [InputLambda13.TestOfVoidLambdas]; [InputAnnotations7]; [InputMethodReferences7]; [InputMethodReferences7.LambdaInt]; [InputMethodReferences7.MyFunctionalInterface]; [InputMethodReferences7.LambdaImpl]; [InputMethodReferences7.Bar]; [InputLambda18]; [InputAnnotationsOnArray]; [InputAnnotations12]; [InputDefaultMethods2]; [InputLambda14]; [InputLambda15]; [InputAnnotations1]; [InputLambda1]; [InputMethodReferences6]; [InputMethodReferences6.MyClass]; [InputLambda2]; [InputLambda2.TestOfVoidLambdas]; [InputDefaultMethods]; [InputTypeUseAnnotationsOnQualifiedTypes]; [InputLambda16]; [InputAnnotations2]; [InputAnnotations10]; [InputAnnotations11]; [InputAnnotations3]; [InputLambda17]; [InputLambda17.P_OUT]; [InputLambda17.SpinedBuffer]; [InputReceiverParameter]; [InputReceiverParameter.Inner]; [InputMethodReferences4]; [InputLambda3]; [InputLambda3.TestOfVoidLambdas]; [InputLambda8]; [InputLambda8.TestOfVoidLambdas]; [InputLambda10]; [InputLambda10.TestOfVoidLambdas]; [InputAnnotations4]; [InputLambda4]; [InputAnnotations8]; [InputAnnotations8.MyObject]; [InputAnnotations8.MyObject2]; [InputMethodReferences3]; [InputMethodReferences3.SomeClass]; [InputMethodReferences3.Nested]; [InputMethodReferences3.Nested2]; [InputMethodReferences2]; [InputMethodReferences2.Bar]; [InputAnnotations9]; [InputLambda5]; [InputAnnotations5]; [InputLambda11]; [InputLambda11.TestOfVoidLambdas]; [InputLambda9]; [InputLambda9.TestOfVoidLambdas]; [ReceiverParameterTest]; [AnnotationTest]; [LambdaTest]; [MethodReferencesTest]; [TypeUseAnnotationsOnQualifiedTypesTest]; [DefaultMethodsTest]; [AnnotationsOnArrayTest]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.comments,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputComments2]; [InputFullOfSinglelineComments]; [InputFullOfBlockComments]; [InputComments1]; [AllBlockCommentsTest]; [AllBlockCommentsTest.BlockCommentListenerCheck]; [AllSinglelineCommentsTest]; [AllSinglelineCommentsTest.SinglelineCommentListenerCheck]; [CommentsTest]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputJava7StringSwitch]; [InputCharLiteralSurrogatePair]; [InputAstRegressionNewlineCrAtEndOfFile]; [InputVararg]; [InputRegressionJava8Interface1]; [InputRegressionJavaClass2]; [InputRegressionJavaClass2.Inner1]; [InputRegressionJavaClass2.Inner2]; [InputRegressionJavaClass2._c1]; [InputRegressionJavaClass2.c2]; [InputRegressionJavaClass2.c3]; [InputRegressionJavaClass2.c4]; [InputRegressionJavaClass2.c4a]; [InputRegressionJavaClass2.c5]; [InputRegressionJavaClass2.i1]; [InputRegressionJavaClass2.c6]; [InputRegressionJava8Class1]; [InputRegressionJava8Class1.Inner1]; [InputRegressionJava8Class1.Inner2]; [InputRegressionJava8Class1.Inner3]; [InputRegressionJava8Class1.Inner]; [InputRegressionJava8Class1.InputRegressionJava8TypeParam]; [InputRegressionJavaEnum2]; [InputLineCommentAtTheEndOfFile]; [InputMultiDimensionalArraysInGenerics]; [InputRegressionJavaTypecast]; [InputRegressionJavaInterface1]; [InputUnicodeEscape]; [InputGrammar]; [InputJava7MultiCatch]; [InputJava7MultiCatch.CustomException]; [InputJava7MultiCatch.AnotherCustomException]; [InputRegressionJavaInterface2]; [InputRegressionJavaInterface2.MyInterface]; [InputRegressionJava8Class2]; [InputRegressionJava8Class2.Inner1]; [InputRegressionJava8Class2.Inner2]; [InputRegressionJava8Class2.Inner3]; [InputJava7TryWithResources]; [InputJava7TryWithResources.MyResource]; [InputRegressionJavaEnum1]; [InputRegressionJavaEnum1.anonymous]; [InputRegressionJavaEnum1.e1]; [InputRegressionJavaEnum1.e2]; [InputRegressionJavaClass1]; [InputEmbeddedNullChar]; [SomeClass]; [InputHexFloat]; [InputJava7Diamond]; [InputJava7NumericalLiterals]; [LineCommentAtTheEndOfFileTest]; [Java7TryWithResourcesTest]; [Java7NumericalLiteralsTest]; [Java14RecordsTest]; [UnicodeEscapeTest]; [MultiDimensionalArraysInGenericsTest]; [AstRegressionTest]; [AstRegressionTest.AssertGenTextBlockLexer]; [AstRegressionTest.AssertGeneratedJavaLexer]; [Java7DiamondTest]; [EmbeddedNullCharTest]; [Java9TryWithResourcesTest]; [GeneratedJava14LexerTest]; [Java7MultiCatchTest]; [Java7StringSwitchTest]; [GeneratedJavaTokenTypesTest]; [HexFloatsTest]; [VarargTest]; [InputSemicolonBetweenImports]; [CommentListener]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.xpath.xpathmapper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputXpathMapperPositions]; [InputXpathMapperInterface]; [InputXpathMapperSingleTopClass]; [InputXpathMapperAst]; [InputXpathMapperAnnotation]; [InputXpathMapperEnum]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.asttreestringprinter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputAstTreeStringPrinterFullOfBlockCommentsCR]; [InputAstTreeStringPrinterJavadoc]; [InputAstTreeStringPrinterJavadocPosition]; [InputAstTreeStringPrinterAttributesAndMethodsJavadoc]; [InputAstTreeStringPrinterFullOfBlockComments]; [InputAstTreeStringPrinterJavaAndJavadoc]; [InputAstTreeStringPrinterPrintBranch]; [InputAstTreeStringPrinterFullOfSinglelineComments]; [InputAstTreeStringPrinterComments]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.blocks.emptyblock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputEmptyBlockSemantic]; [InputEmptyBlockSemantic.EqualsVsHashCode1]; [InputEmptyBlockSemantic.InputBraces]; [InputEmptyBlockSemantic2]; [InputEmptyBlockDefault]; [InputEmptyBlockCase]; [InputEmptyBlockSwitchExpressions]; [InputEmptyBlockSwitchExpressions.Nums]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 58
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputLeftCurlyMethod]; [InputLeftCurlyMethod.InputLeftCurlyMethodEnum]; [InputLeftCurlyNlowSwitch]; [InputLeftCurlyDefault]; [InputLeftCurlyDefault.PrivateInterface]; [InputLeftCurlyDefault.PackageInnerInterface]; [InputLeftCurlyDefault.ProtectedInnerInterface]; [InputLeftCurlyDefault.PublicInnerInterface]; [InputLeftCurlyDefault.MyClass1]; [InputLeftCurlyDefault.MyClass2]; [InputLeftCurlyDefault.MyInterface1]; [InputLeftCurlyDefault.MyInterface2]; [InputLeftCurlyDefault.MyEnum]; [InputLeftCurlyDefault.MyClass3]; [InputLeftCurlyDefault.MyClass4]; [InputLeftCurlyDefault3]; [InputLeftCurlyDefault3.GreetingsEnum]; [InputLeftCurlyDefault3.FooCtor]; [InputLeftCurlyDefault3.FooMethod]; [InputLeftCurlyDefault3.FooInner]; [InputLeftCurlyDefault3.InnerFoo]; [InputLeftCurlyDefault3.Absent_CustomFieldSerializer3]; [InputLeftCurlyDefault3.Absent_CustomFieldSerializer4]; [InputLeftCurlyDefault3.EmptyClass2]; [InputLeftCurlyDefault3.EmptyInterface3]; [InputLeftCurlyDefault3.ClassWithStaticInitializers]; [InputLeftCurlyDefault3.Inner]; [InputLeftCurlyMissingBraces]; [InputLeftCurlyEolSwitch]; [InputLeftCurlyEolSwitch.SomeInterface]; [InputLeftCurlyLineBreakAfter]; [InputLeftCurlyLineBreakAfter.Absent_CustomFieldSerializer1]; [InputLeftCurlyLineBreakAfter.Absent_CustomFieldSerializer2]; [InputLeftCurlyLineBreakAfter.EmptyClass1]; [InputLeftCurlyLineBreakAfter.EmptyInterface1]; [InputLeftCurlyLineBreakAfter.KnownOrder]; [InputLeftCurlyNewLineOptionWithLambda]; [InputLeftCurlyNlSwitch]; [InputLeftCurlyAnnotations]; [InputLeftCurlyAnnotations.InputLeftCurlyAnnotations2]; [InputLeftCurlyFirstLine]; [InputLeftCurlyCoverageIncrease]; [InputLeftCurlyCoverageIncrease.PrivateInterface]; [InputLeftCurlyCoverageIncrease.PackageInnerInterface]; [InputLeftCurlyCoverageIncrease.ProtectedInnerInterface]; [InputLeftCurlyCoverageIncrease.PublicInnerInterface]; [InputLeftCurlyCoverageIncrease.MyClass1]; [InputLeftCurlyCoverageIncrease.MyClass2]; [InputLeftCurlyCoverageIncrease.MyInterface1]; [InputLeftCurlyCoverageIncrease.MyInterface2]; [InputLeftCurlyCoverageIncrease.MyEnum]; [InputLeftCurlyIgnoreEnums]; [InputLeftCurlyIgnoreEnums.Colors]; [InputLeftCurlyIgnoreEnums.Languages]; [InputLeftCurlyCheckSwitchExpressionsNewLine]; [InputLeftCurlyRecordsAndCompactCtors]; [InputLeftCurlyRecordsAndCompactCtors.MyTestClass]; [InputLeftCurlyCheckSwitchExpressions]. LCC (Lack of Component Cohesion) = 1.0
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 117
