Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.xpathfilterelement,InputXpathFilterElementSuppressByXpath,countTokens,Magic Number,The method contains a magic number: 3.14,4
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.xpathfilterelement,InputXpathFilterElementSuppressByXpath,countTokens,Magic Number,The method contains a magic number: 123,4
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.xpathfilterelement,InputXpathFilterElementSuppressByXpath,getName,Magic Number,The method contains a magic number: 123,9
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit3,Empty catch clause,The method has an empty catch block.,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit3,Empty catch clause,The method has an empty catch block.,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit3,Empty catch clause,The method has an empty catch block.,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit3,Empty catch clause,The method has an empty catch block.,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit3,Magic Number,The method contains a magic number: 10,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,doit4,Empty catch clause,The method has an empty catch block.,83
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter,InputSuppressWarningsFilter,needsLotsOfParameters,Empty catch clause,The method has an empty catch block.,37
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter,InputSuppressWarningsFilter,needsLotsOfParameters,Long Parameter List,The method has 8 parameters. ,37
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter,InputSuppressWarningsFilter,needsToCatchException,Empty catch clause,The method has an empty catch block.,51
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswithnearbycommentfilter,InputSuppressWithNearbyCommentFilter,doit4,Empty catch clause,The method has an empty catch block.,55
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswithnearbycommentfilter,InputSuppressWithNearbyCommentFilter,doit4,Empty catch clause,The method has an empty catch block.,55
