Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,ReceiverParameterTest,testCanParse,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testSimpleTypeAnnotation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationOnClass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testClassCastTypeAnnotation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testMethodParametersTypeAnnotation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationInThrows,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationInGeneric,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationOnConstructorCall,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationNestedCall,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationOnWildcards,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationInCatchParameters,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationInTypeParameters,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,AnnotationTest,testAnnotationOnVarargs,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,LambdaTest,testLambdaInVariableInitialization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,LambdaTest,testWithoutArgsOneLineLambdaBody,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,LambdaTest,testWithoutArgsFullLambdaBody,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,LambdaTest,testWithOneArgWithOneLineBody,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
