Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter,InputSuppressWarningsFilter.Task,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,InputMethodReferences3.SomeClass,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,InputMethodReferences3.Nested,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.java8,InputMethodReferences3.Nested2,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.comments,AllBlockCommentsTest.BlockCommentListenerCheck,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar.comments,AllSinglelineCommentsTest.SinglelineCommentListenerCheck,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar,InputJava7MultiCatch.CustomException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar,InputJava7MultiCatch.AnotherCustomException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.grammar,InputJava7TryWithResources.MyResource,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity,InputClassFanOutComplexityRecords,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: myRecord2 (34); myRecord2 (55); _set (56); _map (57); _string (58); _intArray (59); _innerClass (60); _anotherInnerClass (61)
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.visibilitymodifier,InputVisibilityModifierSimple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: sTest1 (42)
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.visibilitymodifier,InputVisibilityModifierAnnotated,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: publicJUnitClassRule (58); fqPublicJUnitClassRule (61)
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.finalclass,InputFinalClass.someinnerClass,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor,InputHideUtilityClassConstructorInnerStaticClasses,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: foo (12)
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor,InputHideUtilityClassConstructorInnerStaticClasses.Inner,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor,InputHideUtilityClassConstructorInnerStaticClasses.Inner2,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor,InputHideUtilityClassConstructorInnerStaticClasses.Inner2,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: foo (12)
checkstyle-8.39,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor,InputHideUtilityClassConstructorSerializableInnerStatic.Event,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
