Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
checkstyle-8.39,com.puppycrawl.tools.checkstyle.ant.checkstyleanttask,InputCheckstyleAntTaskError,2,0,0,0,7,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/ant/checkstyleanttask/InputCheckstyleAntTaskError.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.ant.checkstyleanttask,InputCheckstyleAntTaskWarning,2,0,0,0,4,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/ant/checkstyleanttask/InputCheckstyleAntTaskWarning.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.ant.checkstyleanttask,InputCheckstyleAntTaskFlawless,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/ant/checkstyleanttask/InputCheckstyleAntTaskFlawless.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressionxpathfilter,InputSuppressionXpathFilter,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppressionxpathfilter/InputSuppressionXpathFilter.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.xpathfilterelement,InputXpathFilterElementSuppressByXpath,0,0,3,2,14,3,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/xpathfilterelement/InputXpathFilterElementSuppressByXpath.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilter,12,0,4,4,48,6,0,0,1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppressioncommentfilter/InputSuppressionCommentFilter.java,7
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter,InputSuppressionCommentFilterSuppressById,6,0,0,0,8,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppressioncommentfilter/InputSuppressionCommentFilterSuppressById.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswithplaintextcommentfilter,InputSuppressWithPlainTextCommentFilterWithDefaultCfg,1,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppresswithplaintextcommentfilter/InputSuppressWithPlainTextCommentFilterWithDefaultCfg.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswithplaintextcommentfilter,InputSuppressWithPlainTextCommentFilterCustomMessageFormat,4,0,0,0,6,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppresswithplaintextcommentfilter/InputSuppressWithPlainTextCommentFilterCustomMessageFormat.java,3
checkstyle-8.39,com.puppycrawl.tools.checkstyle.filters.suppresswithplaintextcommentfilter,InputSuppressWithPlainTextCommentFilterWithCustomOnAndOffComments,2,0,0,0,4,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/checkstyle-8.39/src/test/resources/com/puppycrawl/tools/checkstyle/filters/suppresswithplaintextcommentfilter/InputSuppressWithPlainTextCommentFilterWithCustomOnAndOffComments.java,3
