Project Name,Package Name,Architecture Smell,Cause of the Smell
freemind-1.0.0,freemind.preferences,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): freemind.common
freemind-1.0.0,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 11.16. All the dependencies among components: from: freemind.preferences to: freemind.common; from: freemind.preferences.layout to: freemind.main; from: freemind.preferences.layout to: freemind.common; from: freemind.preferences.layout to: freemind.modes; from: freemind.preferences.layout to: freemind.modes.mindmapmode; from: freemind.preferences.layout to: freemind.preferences; from: freemind.preferences.layout to: freemind.controller; from: freemind.modes to: freemind.main; from: freemind.modes to: freemind.controller; from: freemind.modes to: freemind.view.mindmapview; from: freemind.modes to: freemind.extensions; from: freemind.modes to: freemind.modes.attributes; from: freemind.modes to: freemind.view; from: freemind.modes to: freemind.modes.mindmapmode; from: freemind.modes to: freemind.controller.filter; from: freemind.modes to: freemind.preferences; from: freemind.modes to: freemind.controller.filter.condition; from: freemind.modes to: freemind.common; from: freemind.modes to: freemind.controller.filter.util; from: freemind.modes.filemode to: freemind.controller; from: freemind.modes.filemode to: freemind.modes; from: freemind.modes.filemode to: freemind.main; from: freemind.modes.filemode to: freemind.extensions; from: freemind.modes.filemode to: freemind.view.mindmapview; from: freemind.modes.browsemode to: freemind.modes; from: freemind.modes.browsemode to: freemind.main; from: freemind.modes.browsemode to: freemind.controller; from: freemind.modes.browsemode to: freemind.extensions; from: freemind.modes.browsemode to: freemind.modes.common.plugins; from: freemind.modes.browsemode to: freemind.view.mindmapview; from: freemind.modes.browsemode to: freemind.modes.viewmodes; from: freemind.modes.browsemode to: freemind.modes.common; from: freemind.modes.browsemode to: freemind.modes.common.dialogs; from: freemind.modes.viewmodes to: freemind.view.mindmapview; from: freemind.modes.viewmodes to: freemind.modes.common; from: freemind.modes.viewmodes to: freemind.modes.common.actions; from: freemind.modes.viewmodes to: freemind.modes; from: freemind.modes.viewmodes to: freemind.main; from: freemind.modes.attributes to: freemind.modes.mindmapmode; from: freemind.modes.attributes to: freemind.modes; from: freemind.modes.attributes to: freemind.main; from: freemind.modes.attributes to: freemind.controller.filter.util; from: freemind.modes.attributes to: freemind.modes.mindmapmode.attributeactors; from: freemind.modes.common.plugins to: freemind.main; from: freemind.modes.common.plugins to: freemind.modes; from: freemind.modes.common.plugins to: freemind.extensions; from: freemind.modes.common to: freemind.modes; from: freemind.modes.common to: freemind.main; from: freemind.modes.common.actions to: freemind.modes; from: freemind.modes.common.actions to: freemind.main; from: freemind.modes.common.dialogs to: freemind.modes; from: freemind.modes.common.dialogs to: freemind.main; from: freemind.modes.common.dialogs to: freemind.common; from: freemind.modes.common.listeners to: freemind.modes; from: freemind.modes.common.listeners to: freemind.view.mindmapview; from: freemind.modes.common.listeners to: freemind.main; from: freemind.modes.common.listeners to: freemind.controller; from: freemind.modes.schememode to: freemind.main; from: freemind.modes.schememode to: freemind.modes; from: freemind.modes.schememode to: freemind.controller; from: freemind.modes.schememode to: freemind.extensions; from: freemind.modes.mindmapmode to: freemind.modes.mindmapmode.actions.xml; from: freemind.modes.mindmapmode to: freemind.extensions; from: freemind.modes.mindmapmode to: freemind.modes.mindmapmode.actions; from: freemind.modes.mindmapmode to: freemind.modes.mindmapmode.attributeactors; from: freemind.modes.mindmapmode to: freemind.modes; from: freemind.modes.mindmapmode to: freemind.modes.common; from: freemind.modes.mindmapmode to: freemind.modes.common.actions; from: freemind.modes.mindmapmode to: freemind.main; from: freemind.modes.mindmapmode to: freemind.modes.mindmapmode.hooks; from: freemind.modes.mindmapmode to: freemind.view; from: freemind.modes.mindmapmode to: freemind.view.mindmapview; from: freemind.modes.mindmapmode to: freemind.controller; from: freemind.modes.mindmapmode to: freemind.common; from: freemind.modes.mindmapmode to: freemind.modes.attributes; from: freemind.modes.mindmapmode to: freemind.view.mindmapview.attributeview; from: freemind.modes.mindmapmode.attributeactors to: freemind.modes; from: freemind.modes.mindmapmode.attributeactors to: freemind.modes.attributes; from: freemind.modes.mindmapmode.attributeactors to: freemind.controller; from: freemind.modes.mindmapmode.attributeactors to: freemind.controller.filter.util; from: freemind.modes.mindmapmode.attributeactors to: freemind.main; from: freemind.modes.mindmapmode.attributeactors to: freemind.view; from: freemind.modes.mindmapmode.attributeactors to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.attributeactors to: freemind.modes.mindmapmode.actions.xml; from: freemind.modes.mindmapmode.attributeactors to: freemind.view.mindmapview; from: freemind.modes.mindmapmode.hooks to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.hooks to: freemind.main; from: freemind.modes.mindmapmode.hooks to: freemind.extensions; from: freemind.modes.mindmapmode.hooks to: freemind.common; from: freemind.modes.mindmapmode.hooks to: freemind.modes; from: freemind.modes.mindmapmode.actions to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.actions to: freemind.modes.mindmapmode.actions.xml; from: freemind.modes.mindmapmode.actions to: freemind.modes; from: freemind.modes.mindmapmode.actions to: freemind.controller; from: freemind.modes.mindmapmode.actions to: freemind.main; from: freemind.modes.mindmapmode.actions to: freemind.view.mindmapview; from: freemind.modes.mindmapmode.actions to: freemind.common; from: freemind.modes.mindmapmode.actions to: freemind.extensions; from: freemind.modes.mindmapmode.actions to: freemind.controller.filter.condition; from: freemind.modes.mindmapmode.actions to: freemind.modes.common; from: freemind.modes.mindmapmode.actions to: freemind.modes.attributes; from: freemind.modes.mindmapmode.actions.xml to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.actions.xml to: freemind.modes; from: freemind.modes.mindmapmode.actions.xml to: freemind.modes.attributes; from: freemind.modes.mindmapmode.actions.xml to: freemind.controller; from: freemind.modes.mindmapmode.actions.xml to: freemind.main; from: freemind.modes.mindmapmode.actions.xml to: freemind.modes.mindmapmode.actions; from: freemind.modes.mindmapmode.dialogs to: freemind.main; from: freemind.modes.mindmapmode.dialogs to: freemind.common; from: freemind.modes.mindmapmode.dialogs to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.dialogs to: freemind.modes.mindmapmode.actions; from: freemind.modes.mindmapmode.dialogs to: freemind.modes; from: freemind.modes.mindmapmode.listeners to: freemind.modes.mindmapmode; from: freemind.modes.mindmapmode.listeners to: freemind.view.mindmapview; from: freemind.modes.mindmapmode.listeners to: freemind.modes; from: freemind.modes.mindmapmode.listeners to: freemind.main; from: freemind.modes.mindmapmode.listeners to: freemind.controller; from: freemind.controller.printpreview to: freemind.view.mindmapview; from: freemind.controller.printpreview to: freemind.main; from: freemind.controller to: freemind.view; from: freemind.controller to: freemind.modes; from: freemind.controller to: freemind.main; from: freemind.controller to: freemind.controller.filter; from: freemind.controller to: freemind.modes.mindmapmode.attributeactors; from: freemind.controller to: freemind.preferences; from: freemind.controller to: freemind.view.mindmapview; from: freemind.controller to: freemind.modes.browsemode; from: freemind.controller to: freemind.modes.attributes; from: freemind.controller to: freemind.common; from: freemind.controller.filter to: freemind.controller.filter.condition; from: freemind.controller.filter to: freemind.controller; from: freemind.controller.filter to: freemind.modes; from: freemind.controller.filter to: freemind.view.mindmapview; from: freemind.controller.filter to: freemind.main; from: freemind.controller.filter to: freemind.view; from: freemind.controller.filter to: freemind.modes.common.plugins; from: freemind.controller.filter to: freemind.controller.filter.util; from: freemind.controller.filter to: freemind.modes.attributes; from: freemind.controller.filter.condition to: freemind.controller; from: freemind.controller.filter.condition to: freemind.modes; from: freemind.controller.filter.condition to: freemind.modes.attributes; from: freemind.controller.filter.condition to: freemind.main; from: freemind.controller.filter.condition to: freemind.controller.filter; from: freemind.controller.filter.condition to: freemind.common; from: freemind.controller.filter.condition to: freemind.view.mindmapview; from: freemind.extensions to: freemind.main; from: freemind.extensions to: freemind.view.mindmapview; from: freemind.extensions to: freemind.modes; from: freemind.extensions to: freemind.modes.mindmapmode.actions.xml; from: freemind.common to: freemind.controller; from: freemind.common to: freemind.main; from: freemind.common to: tests.freemind; from: freemind.common to: freemind.modes; from: freemind.common to: freemind.modes.common.dialogs; from: freemind.common to: freemind.modes.mindmapmode; from: freemind.view.mindmapview to: freemind.main; from: freemind.view.mindmapview to: freemind.controller; from: freemind.view.mindmapview to: freemind.modes; from: freemind.view.mindmapview to: freemind.view.mindmapview.attributeview; from: freemind.view.mindmapview to: freemind.preferences; from: freemind.view.mindmapview to: tests.freemind; from: freemind.view.mindmapview to: freemind.modes.mindmapmode; from: freemind.view.mindmapview.attributeview to: freemind.main; from: freemind.view.mindmapview.attributeview to: freemind.modes.attributes; from: freemind.view.mindmapview.attributeview to: freemind.view.mindmapview; from: freemind.view.mindmapview.attributeview to: freemind.modes; from: freemind.view to: freemind.modes; from: freemind.view to: freemind.view.mindmapview; from: freemind.main to: freemind.controller; from: freemind.main to: freemind.view.mindmapview; from: freemind.main to: freemind.modes; from: freemind.main to: freemind.view; from: freemind.main to: freemind.common; from: freemind.main to: freemind.modes.mindmapmode; from: accessories.plugins to: freemind.controller; from: accessories.plugins to: freemind.view; from: accessories.plugins to: freemind.view.mindmapview; from: accessories.plugins to: freemind.modes; from: accessories.plugins to: freemind.modes.mindmapmode; from: accessories.plugins to: freemind.main; from: accessories.plugins to: freemind.extensions; from: accessories.plugins to: freemind.modes.mindmapmode.actions.xml; from: accessories.plugins to: freemind.modes.common.plugins; from: accessories.plugins to: accessories.plugins.dialogs; from: accessories.plugins to: accessories.plugins.util.html; from: accessories.plugins to: accessories.plugins.util.xslt; from: accessories.plugins to: freemind.modes.common.dialogs; from: accessories.plugins to: freemind.common; from: accessories.plugins to: freemind.preferences; from: accessories.plugins to: freemind.preferences.layout; from: accessories.plugins.util.html to: freemind.modes; from: accessories.plugins.util.html to: freemind.view.mindmapview; from: accessories.plugins.util.html to: freemind.main; from: accessories.plugins.util.xslt to: freemind.main; from: accessories.plugins.util.xslt to: freemind.modes; from: accessories.plugins.time to: freemind.main; from: accessories.plugins.time to: freemind.modes; from: accessories.plugins.time to: freemind.modes.common.plugins; from: accessories.plugins.time to: freemind.modes.mindmapmode; from: accessories.plugins.time to: freemind.controller; from: accessories.plugins.time to: freemind.view; from: accessories.plugins.time to: freemind.extensions; from: accessories.plugins.dialogs to: freemind.modes.mindmapmode; from: accessories.plugins.dialogs to: freemind.modes.mindmapmode.dialogs; from: accessories.plugins.dialogs to: freemind.main; from: accessories.plugins.dialogs to: freemind.controller; from: accessories.plugins.dialogs to: freemind.modes; from: plugins.svg to: freemind.view.mindmapview; from: plugins.svg to: freemind.modes; from: plugins.svg to: freemind.main; from: plugins.svg to: freemind.controller; from: plugins.collaboration.database to: freemind.modes.mindmapmode; from: plugins.collaboration.database to: freemind.modes; from: plugins.collaboration.database to: freemind.modes.mindmapmode.actions; from: plugins.collaboration.database to: freemind.extensions; from: plugins.collaboration.database to: freemind.main; from: plugins.collaboration.database to: freemind.view.mindmapview; from: plugins.collaboration.database to: freemind.modes.mindmapmode.actions.xml; from: plugins.collaboration.database to: freemind.common; from: plugins.collaboration.database to: freemind.controller; from: plugins.collaboration.database to: freemind.view; from: plugins.collaboration.jabber to: plugins.collaboration.jabber.mindmap; from: plugins.collaboration.jabber.mindmap to: freemind.modes.mindmapmode; from: plugins.collaboration.jabber.mindmap to: freemind.main; from: plugins.collaboration.jabber.mindmap to: plugins.collaboration.jabber.view; from: plugins.collaboration.jabber.mindmap to: freemind.modes.mindmapmode.actions.xml; from: plugins.collaboration.socket to: freemind.modes.mindmapmode; from: plugins.collaboration.socket to: freemind.main; from: plugins.collaboration.socket to: freemind.modes.mindmapmode.actions.xml; from: plugins.collaboration.socket to: freemind.common; from: plugins.collaboration.socket to: freemind.extensions; from: plugins.collaboration.socket to: freemind.controller; from: plugins.collaboration.socket to: freemind.modes; from: plugins.collaboration.socket to: freemind.view; from: plugins.collaboration.socket to: freemind.view.mindmapview; from: plugins.collaboration.socket to: freemind.modes.mindmapmode.actions; from: plugins.latex to: freemind.view.mindmapview; from: plugins.latex to: freemind.modes; from: plugins.latex to: freemind.main; from: plugins.script to: freemind.modes; from: plugins.script to: freemind.main; from: plugins.script to: freemind.modes.attributes; from: plugins.script to: freemind.modes.mindmapmode; from: plugins.script to: freemind.common; from: plugins.script to: freemind.controller; from: plugins.script to: freemind.preferences.layout; from: plugins.script to: freemind.modes.common.dialogs; from: plugins.map to: freemind.main; from: plugins.map to: freemind.modes; from: plugins.map to: freemind.modes.common.plugins; from: plugins.map to: freemind.modes.mindmapmode; from: plugins.map to: freemind.preferences.layout; from: plugins.map to: freemind.modes.mindmapmode.actions.xml; from: plugins.map to: accessories.plugins.time; from: plugins.map to: freemind.common; from: plugins.map to: freemind.view; from: plugins.map to: freemind.view.mindmapview; from: plugins.map to: freemind.controller; from: plugins.help to: freemind.main; from: tests.freemind to: freemind.modes.mindmapmode; from: tests.freemind to: freemind.view.mindmapview; from: tests.freemind to: freemind.controller; from: tests.freemind to: freemind.main; from: tests.freemind to: freemind.modes; from: tests.freemind to: plugins.script; from: tests.freemind to: freemind.common; from: tests.freemind to: accessories.plugins; from: tests.freemind to: freemind.controller.filter; from: tests.freemind to: de.foltin; from: tests.freemind to: freemind.modes.attributes; from: tests.freemind to: freemind.extensions; from: tests.freemind to: freemind.view; from: tests.freemind.findreplace to: freemind.modes; from: tests.freemind.findreplace to: freemind.controller.filter; from: tests.freemind.findreplace to: freemind.view.mindmapview; from: tests.freemind.findreplace to: freemind.extensions; from: tests.freemind.findreplace to: freemind.main; from: tests.freemind.findreplace to: freemind.modes.attributes; from: tests.freemind.findreplace to: accessories.plugins.time.
freemind-1.0.0,freemind.preferences.layout,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OptionPanel; VariableSizeCardLayout; GrabKeyDialog; OptionPanel.KeyProperty; KeyEventTranslator; KeyEventWorkaround; GrabKeyDialog.InputPane]; [OptionPanel.OptionPanelFeedback]; [OptionPanel.ChangeTabAction]; [OptionPanel.NewTabProperty]; [KeyEventTranslator.Key]; [GrabKeyDialog.Buffer]; [GrabKeyDialog.KeyBinding]; [GrabKeyDialog.ActionHandler]. LCC (Lack of Component Cohesion) = 0.57
freemind-1.0.0,freemind.preferences.layout,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: freemind.main; freemind.common.
freemind-1.0.0,freemind.modes,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 54
freemind-1.0.0,freemind.modes,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): freemind.controller; freemind.view.mindmapview; freemind.extensions; freemind.modes.attributes; freemind.view; freemind.modes.mindmapmode; freemind.controller.filter; freemind.controller.filter.condition; freemind.common
freemind-1.0.0,freemind.modes,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EdgeAdapter; EdgeAdapter.EdgeAdapterListener; MindMapEdge; XMLElementAdapter; StylePattern; MindMapNode; CloudAdapter; CloudAdapter.CloudAdapterListener; LineAdapter; MindMapCloud; StylePatternFactory; HistoryInformation; MapRegistry; ControllerAdapter; ControllerAdapter.OpenAction; ControllerAdapter.SaveAction; ControllerAdapter.SaveAsAction; NodeAdapter; FreeMindJFileDialog; MindMapLinkRegistry; FreeMindAwtFileDialog; MapAdapter; Mode; ArrowLinkAdapter; MindIcon; ModesCreator; MindMapLink; ModeController; MindMap; FreeMindFileDialog; IconInformation; NodeDownAction; ArrowLinkTarget; LinkAdapter; LinkAdapter.LinkAdapterListener; MindMapArrowLink; NodeViewEvent; NodeViewEventListener; MindMapLine]; [ControllerAdapter.nodesDepthComparator]; [ControllerAdapter.ControllerPopupMenuListener]; [ControllerAdapter.EditAttributesAction]; [ControllerAdapter.FileOpener]; [MindMapLinkRegistry.SynchronousVector]; [FreeMindAwtFileDialog.NullFilter]; [FreeMindAwtFileDialog.DirFilter]; [FreeMindAwtFileDialog.FileOnlyFilter]; [FreeMindAwtFileDialog.FileAndDirFilter]; [FreeMindAwtFileDialog.FreeMindFilenameFilter]; [MapAdapter.FileChangeInspectorTimerTask]; [ModeController.NodeSelectionListener]; [ModeController.NodeLifetimeListener]; [MindMap.MapSourceChangedObserver]; [FreeMindFileDialog.DirectoryResultListener]. LCC (Lack of Component Cohesion) = 0.3
freemind-1.0.0,freemind.modes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: freemind.extensions; freemind.view.mindmapview.
freemind-1.0.0,freemind.modes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: freemind.controller; freemind.main.
freemind-1.0.0,freemind.modes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: freemind.view.mindmapview; freemind.controller.
