Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TOOLTIP_EXT; MARKED_BUTTON_COLOR; controls; frame; tabButtonMap; tabActionMap; selectedPanel; colorChooser; feedback; fmMain; PREFERENCE_STORAGE_PROPERTY; DEFAULT_LAYOUT_FORMAT; changeListeners; lastKey; cardLayout; centralPanel; tabName; label; layoutFormat; modifierMask; description; label; mButton; labelText; icon; rowSpec; sContributors
freemind-1.0.0,freemind.preferences.layout,OptionPanel.OptionPanelFeedback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,OptionPanel.ChangeTabAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cardLayout; centralPanel; tabName
freemind-1.0.0,freemind.preferences.layout,OptionPanel.ChangeTabAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,OptionPanel.NewTabProperty,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: label; layoutFormat
freemind-1.0.0,freemind.preferences.layout,OptionPanel.NewTabProperty,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,OptionPanel.KeyProperty,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,OptionPanel.KeyProperty,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: modifierMask; description; label; mButton; labelText; icon; rowSpec
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: c; a; m; s; transMap; modifiers; key; input
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: GrabKeyDialog; KeyEventTranslator
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator.Key,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: modifiers; key; input
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator.Key,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator.Key,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: modifiers; key; input
freemind-1.0.0,freemind.preferences.layout,KeyEventWorkaround,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALT_KEY_PRESSED_DISABLED; ALTERNATIVE_DISPATCHER; lastKeyTime; modifiers; last; LAST_NOTHING; LAST_NUMKEYPAD; LAST_ALT
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: fmMain; shortcut; assignedTo; ok; remove; cancel; clear; isOK; binding; allBindings; debugBuffer; modifierMask; MODIFIER_SEPARATOR; name; label; shortcut; isPrefix
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.Buffer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.Buffer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.KeyBinding,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; label; shortcut; isPrefix
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.KeyBinding,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.KeyBinding,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; label; shortcut; isPrefix
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.InputPane,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.InputPane,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.ActionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.ActionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
freemind-1.0.0,freemind.modes,EdgeAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EDGE_WIDTH_THIN_STRING; standardColor; standardStyle; listener; WIDTH_PARENT; WIDTH_THIN; EDGESTYLE_LINEAR; EDGESTYLE_BEZIER; EDGESTYLE_SHARP_LINEAR; EDGESTYLE_SHARP_BEZIER; INT_EDGESTYLE_LINEAR; INT_EDGESTYLE_BEZIER; INT_EDGESTYLE_SHARP_LINEAR; INT_EDGESTYLE_SHARP_BEZIER
