Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
freemind-1.0.0,freemind.preferences,FreemindPropertyListener,propertyChanged,0,1,3,30,0,,
freemind-1.0.0,freemind.preferences,FreemindPropertyContributor,getControls,0,1,1,37,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,OptionPanel,13,3,3,113,0,freemind.main.FreeMind,freemind.main.FreeMind; freemind.common.XmlBindingTools
freemind-1.0.0,freemind.preferences.layout,OptionPanel,setProperties,11,3,0,141,0,freemind.common.PropertyBean,freemind.common.PropertyBean; freemind.main.FreeMind
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getOptionProperties,12,4,0,159,0,freemind.common.PropertyBean,freemind.common.PropertyBean
freemind-1.0.0,freemind.preferences.layout,OptionPanel,buildPanel,56,5,0,173,0,freemind.preferences.layout.OptionPanel,freemind.preferences.layout.OptionPanel; freemind.common.PropertyControl
freemind-1.0.0,freemind.preferences.layout,OptionPanel,actionPerformed,3,1,1,226,0,freemind.preferences.layout.OptionPanel,freemind.preferences.layout.OptionPanel
freemind-1.0.0,freemind.preferences.layout,OptionPanel,actionPerformed,4,1,1,233,0,freemind.preferences.layout.OptionPanel,freemind.preferences.layout.OptionPanel
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getText,5,2,1,247,0,freemind.main.FreeMind,freemind.main.FreeMind; freemind.preferences.layout.OptionPanel
freemind-1.0.0,freemind.preferences.layout,OptionPanel,checkConnectionToFreeMindMain,5,2,0,256,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,registerTabButton,7,2,3,262,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getTabButton,3,1,1,274,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getAllButtons,3,1,0,278,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,318,5,0,438,0,freemind.main.FreeMind,freemind.main.FreeMind; freemind.modes.IconInformation; freemind.controller.Controller; freemind.preferences.layout.OptionPanel; freemind.preferences.FreemindPropertyContributor; freemind.main.Tools
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getText,3,1,1,461,0,freemind.preferences.layout.OptionPanel,freemind.preferences.layout.OptionPanel; freemind.main.Tools
freemind-1.0.0,freemind.preferences.layout,OptionPanel,closeWindow,7,1,0,1312,0,freemind.main.FreeMind,freemind.main.FreeMind; freemind.common.XmlBindingTools
freemind-1.0.0,freemind.preferences.layout,OptionPanel,addContributor,3,1,1,1324,0,,
freemind-1.0.0,freemind.preferences.layout,OptionPanel,removeContributor,3,1,1,1328,0,,
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator,addTranslation,3,1,2,41,0,,
