Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: changeListeners (139)
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Law of Demeter violation,The tool detected the smell in this method (OptionPanel) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.common.XmlBindingTools.getInstance; freemind.common.XmlBindingTools.decorateDialog
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Law of Demeter violation,The tool detected the smell in this method (getControls) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.controller.Controller.getModeController; freemind.main.FreeMind.getController
freemind-1.0.0,freemind.preferences.layout,OptionPanel,Law of Demeter violation,The tool detected the smell in this method (closeWindow) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.common.XmlBindingTools.getInstance; freemind.common.XmlBindingTools.storeDialogPositions
freemind-1.0.0,freemind.preferences.layout,OptionPanel.NewTabProperty,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator.Key,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.KeyBinding,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
freemind-1.0.0,freemind.modes,EdgeAdapter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: freemind.main.XMLElement
freemind-1.0.0,freemind.modes,EdgeAdapter,Law of Demeter violation,The tool detected the smell in this method (getColor) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.modes.LineAdapter.getTarget; freemind.modes.MindMapNode.isRoot
freemind-1.0.0,freemind.modes,EdgeAdapter,Law of Demeter violation,The tool detected the smell in this method (getColor) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.modes.MindMapNode.getEdge; freemind.modes.EdgeAdapter.getSource; freemind.modes.MindMapLine.getColor
freemind-1.0.0,freemind.modes,EdgeAdapter,Law of Demeter violation,The tool detected the smell in this method (getWidth) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.modes.LineAdapter.getTarget; freemind.modes.MindMapNode.isRoot
freemind-1.0.0,freemind.modes,EdgeAdapter,Law of Demeter violation,The tool detected the smell in this method (getWidth) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.modes.MindMapNode.getEdge; freemind.modes.MindMapLine.getWidth; freemind.modes.EdgeAdapter.getSource
freemind-1.0.0,freemind.modes,EdgeAdapter,Law of Demeter violation,The tool detected the smell in this method (getStyle) because the method voilates the law of Demeter. The long chain of method invocations is : freemind.modes.LineAdapter.getTarget; freemind.modes.MindMapNode.isRoot
