Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
freemind-1.0.0,freemind.preferences,FreemindPropertyListener,0,0,1,0,6,1,6,0,-1.0,6,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/FreemindPropertyListener.java,25
freemind-1.0.0,freemind.preferences,FreemindPropertyContributor,0,0,1,1,7,1,3,0,-1.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/FreemindPropertyContributor.java,29
freemind-1.0.0,freemind.preferences.layout,OptionPanel,27,1,16,10,592,34,0,1,0.0,6,15,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/OptionPanel.java,83
freemind-1.0.0,freemind.preferences.layout,OptionPanel.OptionPanelFeedback,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/OptionPanel.java,135
freemind-1.0.0,freemind.preferences.layout,OptionPanel.ChangeTabAction,3,0,0,0,21,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/OptionPanel.java,282
freemind-1.0.0,freemind.preferences.layout,OptionPanel.NewTabProperty,2,0,0,0,22,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/OptionPanel.java,310
freemind-1.0.0,freemind.preferences.layout,OptionPanel.KeyProperty,7,0,0,0,71,0,0,1,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/OptionPanel.java,344
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator,8,3,7,7,0,55,0,0,0.0,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/KeyEventTranslator.java,31
freemind-1.0.0,freemind.preferences.layout,KeyEventTranslator.Key,3,3,0,0,25,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/KeyEventTranslator.java,375
freemind-1.0.0,freemind.preferences.layout,KeyEventWorkaround,8,2,2,2,0,80,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/KeyEventWorkaround.java,29
freemind-1.0.0,freemind.preferences.layout,VariableSizeCardLayout,0,0,3,3,36,7,0,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/VariableSizeCardLayout.java,32
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog,17,5,17,10,0,36,0,0,0.47058823529411764,3,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/GrabKeyDialog.java,47
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.Buffer,0,0,0,0,11,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/GrabKeyDialog.java,53
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.KeyBinding,4,4,0,0,19,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/GrabKeyDialog.java,383
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.InputPane,0,0,0,0,41,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/GrabKeyDialog.java,408
freemind-1.0.0,freemind.preferences.layout,GrabKeyDialog.ActionHandler,0,0,0,0,51,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/preferences/layout/GrabKeyDialog.java,483
freemind-1.0.0,freemind.modes,EdgeAdapter,14,11,17,10,130,33,4,2,0.4117647058823529,13,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/EdgeAdapter.java,32
freemind-1.0.0,freemind.modes,EdgeAdapter.EdgeAdapterListener,0,0,0,0,10,0,0,1,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/EdgeAdapter.java,167
freemind-1.0.0,freemind.modes,ControllerAdapter,13,0,107,92,1115,200,2,2,0.1588785046728972,11,26,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,98
freemind-1.0.0,freemind.modes,ControllerAdapter.nodesDepthComparator,0,0,0,0,18,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,698
freemind-1.0.0,freemind.modes,ControllerAdapter.ControllerPopupMenuListener,0,0,0,0,14,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1075
freemind-1.0.0,freemind.modes,ControllerAdapter.OpenAction,1,0,0,0,11,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1234
freemind-1.0.0,freemind.modes,ControllerAdapter.SaveAction,1,0,0,0,19,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1249
freemind-1.0.0,freemind.modes,ControllerAdapter.SaveAsAction,1,0,0,0,11,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1271
freemind-1.0.0,freemind.modes,ControllerAdapter.EditAttributesAction,0,0,0,0,16,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1286
freemind-1.0.0,freemind.modes,ControllerAdapter.FileOpener,0,0,0,0,59,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ControllerAdapter.java,1307
freemind-1.0.0,freemind.modes,NodeDownAction,1,0,2,2,13,2,0,0,0.0,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/NodeDownAction.java,32
freemind-1.0.0,freemind.modes,NodeAdapter,44,5,140,127,1028,275,4,1,0.08571428571428572,25,26,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/NodeAdapter.java,68
freemind-1.0.0,freemind.modes,ArrowLinkTarget,1,0,6,6,37,7,0,4,0.6666666666666666,4,7,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/ArrowLinkTarget.java,28
freemind-1.0.0,freemind.modes,LinkAdapter,8,1,15,9,78,16,1,2,0.4,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/LinkAdapter.java,31
freemind-1.0.0,freemind.modes,LinkAdapter.LinkAdapterListener,0,0,0,0,10,0,0,1,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/LinkAdapter.java,126
freemind-1.0.0,freemind.modes,FreeMindJFileDialog,1,0,5,4,35,6,0,1,0.4,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/FreeMindJFileDialog.java,30
freemind-1.0.0,freemind.modes,MindMapLinkRegistry,7,0,21,20,263,42,0,0,0.0,18,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/MindMapLinkRegistry.java,31
freemind-1.0.0,freemind.modes,MindMapLinkRegistry.SynchronousVector,0,0,0,0,31,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/freemind-1.0.0/freemind/modes/MindMapLinkRegistry.java,37
