Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 59 methods
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalNode,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: node; col; row; backgroundColor; x; y
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalArrow,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: from; to
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalArrow,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,WebStartIDClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ganttproject-2.8.11,org.ganttproject.chart.pert,WebStartIDClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: myTaskManager; myTaskGraph; successors; type; myTask; NORMAL; SUPER; MILESTONE
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.TaskGraphNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: successors; type; myTask
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.TaskGraphNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: NORMAL; SUPER; MILESTONE
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.Type,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NORMAL; SUPER; MILESTONE
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttChartTabContentPanel,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CommandLineExportApplication; GanttProject; GanttTree2; GanttProjectBase; GanttLanguage; PropertiesUtil; GPLogger; UIFacade; NotificationChannel; UIUtil; GPAction; DesktopIntegration; AboutDialog2; NotificationManager; OptionsPageBuilder; TextFieldAndFileChooserComponent; EnumerationOptionComboBoxModel; GanttOptions; PluginPreferencesImpl; PluginOptionsHandler; GanttXMLOpen; ParsingContext; Task; ResourceAssignmentCollection; HumanResource; LoadDistribution; ResourceAssignment; CustomColumnsValues; HumanResourceManager; ResourceView; ResourceEvent; HumanResourceMerger; TaskManager; TaskContainmentHierarchyFacade; TaskListener; TaskScheduleEvent; TaskDependencyEvent; TaskDependencyCollection; TaskHierarchyEvent; TaskPropertyEvent; XmlParser; GanttExportSettings; ViewManagerImpl; CopyAction; CutAction; PasteAction; BufferProject; GPTransferable; ClipboardContents; ClipboardTaskProcessor; GanttXMLSaver; GanttGraphicArea; GanttChartController; ChartModelImpl; TaskRendererImpl2; ChartOptionGroup; TaskActivityPart; ChartItem; ChartModelBase; StyledPainterImpl; TimelineLabelRendererImpl; ChartViewState; TimelineChart; ChartRendererBase; Mediator; TaskSelectionManager; PluginManager; MouseListenerImpl; ChartComponentBase; ViewChartOptionsDialogAction; GPTreeTableBase; ShowHideColumnsDialog; ColumnManagerPanel; EditableList; ListAndFieldsPanel; CustomColumn; CustomColumnsManager; CustomColumnsStorage; TreeTableCellEditorImpl; AbstractChartImplementation; TimelineFacadeImpl; ChartImageVisitor; ChartDimensions; ChartImageBuilder; TaskBoundaryChartItem; MouseMotionListenerImpl; GanttChartSelection; TreeTableContainer; ToolbarBuilder; TestGanttRolloverButton; GPToolbar; TaskProgressChartItem; TaskRegularAreaChartItem; GanttPreviousState; PreviousStateTasksTagHandler; ProjectCalendarDialogAction; ProjectCalendarOptionPageProvider; WeekendsSettingsPanel; WeekendConfigurationPage; I18N; CalendarEditorPanel; CommonPanel; GPCalendarProvider; HolidayTagHandler; ShiftTaskTreeAlgorithm; TaskManagerImpl; TaskHierarchyManagerImpl; TaskHierarchyItem; TaskDependencyCollectionImpl; SearchKey; TaskDependencyImpl; RangeSearchFromKey; RangeSearchToKey; LoopDetector; DependencyGraph; AlgorithmCollection; FindPossibleDependeesAlgorithm; RecalculateTaskScheduleAlgorithm; AdjustTaskBoundsAlgorithm; SortTasksAlgorithm; RecalculateTaskCompletionPercentageAlgorithm; SchedulerImpl; TaskImpl; ResourceAssignmentCollectionImpl; TaskDependencySlice; TaskActivitiesAlgorithm; TaskActivityImpl; TaskDocumentOrderComparator; CustomPropertyListenerImpl; GanttTask; OptionPageProviderBase; CalendarEventAction; GanttResourcePanel; ResourceActionSet; ResourceNewAction; GanttDialogPerson; CustomColumnsPanel; DateIntervalListEditor; ResourceDeleteAction; ResourcePropertiesAction; ResourceMoveUpAction; ResourceTreeTable; ResourceTreeTableModel; ResourceNode; AssignmentNode; ResourceMoveDownAction; ResourceSendMailAction; AssignmentDeleteAction; ResourceLoadGraphicArea; ChartModelResource; ResourceChart; ResourceLoadRenderer; GanttProjectImpl; ImporterFromGanttFile; ViewHolder; UIFacadeImpl; DialogBuilder; LanguageOption; ShortDateFormatOption; SettingsDialog2; OptionPageProvider; GanttStatusBar; NotificationManagerImpl; NotificationComponent; ProjectUIFacadeImpl; ProjectOpenStrategy; ProjectOpenDiagnosticImpl; NewProjectWizard; NewProjectWizardWindow; RoleSetPage; ProjectNamePage; ProjectSettingsPanel; GanttDialogInfo; DialogAligner; RssFeedChecker; ContentPaneBuilder; SearchUiImpl; SearchDialog; SearchResult; SearchService; GanttTreeTableModel; TaskNode; TaskProperties; EditMenu; UndoAction; RedoAction; ProjectMenu; NewProjectAction; SaveProjectAction; PrintAction; OpenProjectAction; ProjectPropertiesAction; SaveProjectAsAction; OpenURLAction; SaveURLAction; ExitAction; ProjectImportAction; AbstractWizard; WizardPage; ProjectExportAction; WizardImpl; FacadeInvalidator; TaskContainmentHierarchyFacadeImpl; GanttChartTabContentPanel; CalculateCriticalPathAction; BaselineDialogAction; ResourceChartTabContentPanel; ParserFactory; GPParser; ProjectMRUMenu; ViewMenu; Chart; HelpMenu; ArtefactAction; Importer; PrintManager; DocumentCreator; WebDavStorageImpl; MiltonResourceFactory; MiltonResourceImpl; GanttURLChooser; WebDavOptionPageProvider; HttpDocument; ProxyDocument; OSXAdapter; Exporter; FileChooserPage
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartComponentBase,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HAND_CURSOR; DEFAULT_CURSOR; CURSOR_DRAG; myProject; myZoomManager; myMouseWheelListener; myUIFacade; myOptionsDialogAction
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartComponentBase,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 37 public methods
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyManager.PropertyTypeEncoder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyManager.PropertyTypeEncoder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,net.sourceforge.ganttproject,ProjectEventListener.Stub,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ganttproject-2.8.11,net.sourceforge.ganttproject,ProjectEventListener.Stub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGenerator.PaintState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: y; rowCount; nestingStack; rowHeight; indent
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGenerator.PaintState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGenerator.PaintState,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: y; rowCount; nestingStack; rowHeight; indent
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: myI18Ntifier; myJavaClass; myDefaultValue
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.TaskManagerConfigImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: myResourceManager; myTimeUnitStack; myCalendar; myDefaultTaskColorOption
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.TaskManagerConfigImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.DefaultTaskColorOption,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.DefaultTaskColorOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
