Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,ActivityOnNodePertChart,Long Statement,The length of the statement "ActivityOnNodePertChart.this.setPreferredSize(new Dimension(myPressedGraphicalNode.x + getNodeWidth() + getxGap()`(int)getPreferredSize().getHeight()));" is 152.,113
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,ActivityOnNodePertChart,Long Statement,The length of the statement "ActivityOnNodePertChart.this.setPreferredSize(new Dimension((int)getPreferredSize().getWidth()`myPressedGraphicalNode.y + getNodeHeight() + getyGap()));" is 152.,113
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,ActivityOnNodePertChart,Magic Number,The method contains a magic number: 2,113
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,mouseDragged,Long Statement,The length of the statement "ActivityOnNodePertChart.this.setPreferredSize(new Dimension(myPressedGraphicalNode.x + getNodeWidth() + getxGap()`(int)getPreferredSize().getHeight()));" is 152.,117
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,mouseDragged,Long Statement,The length of the statement "ActivityOnNodePertChart.this.setPreferredSize(new Dimension((int)getPreferredSize().getWidth()`myPressedGraphicalNode.y + getNodeHeight() + getyGap()));" is 152.,117
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,mouseReleased,Magic Number,The method contains a magic number: 2,170
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,isInRectancle,Long Parameter List,The method has 6 parameters. ,259
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,isCrossingArrow,Complex Method,Cyclomatic complexity of the method is 10,568
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChart,updateFonts,Magic Number,The method contains a magic number: 10,67
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttChartTabContentPanel,GanttChartTabContentPanel,Long Parameter List,The method has 5 parameters. ,44
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttChartTabContentPanel,createSchedulePanel,Long Statement,The length of the statement "return new ToolbarBuilder().withDpiOption(myWorkbenchFacade.getDpiOption()).withLafOption(getUiFacade().getLafOption()`new Function<String`Float>(){" is 148.,58
