Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChart,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttChartTabContentPanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartComponentBase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceTreeTableModel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
ganttproject-2.8.11,net.sourceforge.ganttproject,DesktopIntegration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceLoadGraphicArea,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttResourcePanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceTreeTable,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
ganttproject-2.8.11,net.sourceforge.ganttproject,GPVersion,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BUILD (22); V2_0_1 (23); V2_0_2 (24); V2_0_3 (25); V2_0_4 (26); V2_0_5 (27); V2_0_6 (28); V2_0_7 (29); V2_0_8 (30); V2_0_9 (31); V2_0_10 (32); V2_0_X (33); PRAHA (34); BRNO (35); BRNO_2_6_1 (36); BRNO_2_6_2 (37); BRNO_2_6_3 (38); BRNO_2_6_4 (39); BRNO_2_6_5 (40); BRNO_2_6_6 (41); OSTRAVA (42); OSTRAVA_2_7_1 (43); OSTRAVA_2_7_2 (44); PILSEN (45); PILSEN_2_8_1 (46); PILSEN_2_8_2 (47); PILSEN_2_8_3 (48); PILSEN_2_8_4 (49); PILSEN_2_8_5 (50); PILSEN_2_8_6 (51); PILSEN_2_8_7 (52); PILSEN_2_8_8 (53); PILSEN_2_8_9 (54); PILSEN_2_8_10 (55); PILSEN_2_8_11 (56); CURRENT (57)
ganttproject-2.8.11,net.sourceforge.ganttproject,AbstractChartImplementation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
ganttproject-2.8.11,net.sourceforge.ganttproject,AbstractChartImplementation.ChartSelectionImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGeneratorExt,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartTabContentPanel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttOptions,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProject,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 51
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProject.Args,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttTree2,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
ganttproject-2.8.11,net.sourceforge.ganttproject,UIFacadeImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectBase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttGraphicArea,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttTreeTableModel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTransferHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
ganttproject-2.8.11,net.sourceforge.ganttproject.importer,ImporterFromGanttFile,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
ganttproject-2.8.11,net.sourceforge.ganttproject.importer,ImporterFromGanttFile.VisibleFieldsImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
ganttproject-2.8.11,net.sourceforge.ganttproject.importer,ImporterChooserPage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
ganttproject-2.8.11,net.sourceforge.ganttproject.importer,BufferProject,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
