Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart,37,0,59,19,0,146,0,1,0.2542372881355932,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/ActivityOnNodePertChart.java,40
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalNode,6,0,0,0,0,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/ActivityOnNodePertChart.java,746
ganttproject-2.8.11,org.ganttproject.chart.pert,ActivityOnNodePertChart.GraphicalArrow,2,0,0,0,36,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/ActivityOnNodePertChart.java,868
ganttproject-2.8.11,org.ganttproject.chart.pert,WebStartIDClass,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/WebStartIDClass.java,21
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChart,5,0,18,12,74,18,1,0,0.7222222222222222,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/PertChart.java,42
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction,8,3,5,3,119,12,0,0,0.0,2,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/PertChartAbstraction.java,32
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.TaskGraphNode,3,0,0,0,46,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/PertChartAbstraction.java,103
ganttproject-2.8.11,org.ganttproject.chart.pert,PertChartAbstraction.Type,3,3,0,0,9,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/org.ganttproject.chart.pert/src/org/ganttproject/chart/pert/PertChartAbstraction.java,167
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomProperty,0,0,3,0,5,3,0,0,-1.0,6,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CustomProperty.java,21
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttChartTabContentPanel,7,0,11,5,63,13,0,1,0.36363636363636365,1,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GanttChartTabContentPanel.java,35
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartComponentBase,8,3,49,37,194,52,2,0,0.14285714285714285,9,17,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ChartComponentBase.java,59
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyManager,0,0,8,0,124,8,0,0,-1.0,24,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CustomPropertyManager.java,36
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyManager.PropertyTypeEncoder,0,0,0,0,114,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CustomPropertyManager.java,53
ganttproject-2.8.11,net.sourceforge.ganttproject,ProjectEventListener,0,0,5,0,19,5,3,0,-1.0,6,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ProjectEventListener.java,21
ganttproject-2.8.11,net.sourceforge.ganttproject,ProjectEventListener.Stub,0,0,0,0,12,0,0,1,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ProjectEventListener.java,32
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGenerator,10,0,9,0,116,21,1,0,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/TaskTreeImageGenerator.java,42
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskTreeImageGenerator.PaintState,5,0,0,0,7,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/TaskTreeImageGenerator.java,117
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyHolder,0,0,2,0,4,2,0,0,-1.0,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CustomPropertyHolder.java,23
ganttproject-2.8.11,net.sourceforge.ganttproject,CustomPropertyClass,3,0,0,0,32,0,0,0,-1.0,10,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CustomPropertyClass.java,25
ganttproject-2.8.11,net.sourceforge.ganttproject,OSXAdapter,3,0,8,6,64,12,0,0,0.25,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/OSXAdapter.java,31
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl,19,0,33,33,171,33,0,1,0.48484848484848486,3,14,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GanttProjectImpl.java,49
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.TaskManagerConfigImpl,4,0,0,0,33,0,0,0,-1.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GanttProjectImpl.java,226
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttProjectImpl.DefaultTaskColorOption,0,0,0,0,18,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GanttProjectImpl.java,290
ganttproject-2.8.11,net.sourceforge.ganttproject,TaskModelModificationListener,2,0,10,9,41,10,0,0,0.0,0,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/TaskModelModificationListener.java,28
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceTreeTableModel,11,0,28,23,260,58,0,0,0.10714285714285714,2,12,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,53
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceTreeTableModel.SelectionKeeper,4,0,0,0,27,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ResourceTreeTableModel.java,345
ganttproject-2.8.11,net.sourceforge.ganttproject,PluginOptionsHandler,1,0,3,2,18,5,0,0,0.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/PluginOptionsHandler.java,44
ganttproject-2.8.11,net.sourceforge.ganttproject,ChartImplementation,0,0,11,0,13,11,0,0,-1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ChartImplementation.java,34
ganttproject-2.8.11,net.sourceforge.ganttproject,ErrorNotifier,2,0,3,1,20,4,0,0,0.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ErrorNotifier.java,24
ganttproject-2.8.11,net.sourceforge.ganttproject,GanttTask,0,0,4,4,46,5,0,0,-1.0,8,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GanttTask.java,28
ganttproject-2.8.11,net.sourceforge.ganttproject,ResourceDefaultColumn,4,0,0,0,42,0,0,0,-1.0,13,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ResourceDefaultColumn.java,31
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase,27,0,75,41,886,117,2,1,0.29333333333333333,6,16,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,87
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase.TableHeaderUiFacadeImpl,2,0,0,0,191,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,247
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase.ColumnImpl,4,0,0,0,61,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,469
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase.SortTableHeaderRenderer,4,0,0,0,30,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,692
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase.VscrollAdjustmentListener,2,0,0,0,29,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,980
ganttproject-2.8.11,net.sourceforge.ganttproject,GPTreeTableBase.HeaderMouseListener,1,0,0,0,84,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/GPTreeTableBase.java,1059
ganttproject-2.8.11,net.sourceforge.ganttproject,ShowHideColumnsDialog,3,0,3,3,20,3,0,0,0.6666666666666666,2,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/ShowHideColumnsDialog.java,32
ganttproject-2.8.11,net.sourceforge.ganttproject,TreeTableCellEditorImpl,2,0,16,13,86,20,0,0,0.375,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/TreeTableCellEditorImpl.java,35
ganttproject-2.8.11,net.sourceforge.ganttproject,PreferenceServiceImpl,0,0,19,19,56,19,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/PreferenceServiceImpl.java,33
ganttproject-2.8.11,net.sourceforge.ganttproject,DesktopIntegration,0,0,7,6,47,12,0,0,-1.0,2,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/DesktopIntegration.java,16
ganttproject-2.8.11,net.sourceforge.ganttproject,CalendarEventAction,2,0,15,13,83,15,0,0,0.0,1,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/ganttproject-2.8.11/ganttproject/src/net/sourceforge/ganttproject/CalendarEventAction.java,35
