Project Name,Package Name,Architecture Smell,Cause of the Smell
ipscan-3.7.3,net.azib.ipscan.di,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InjectorTest; Injector]; [InjectorTest.Dummy]; [InjectorTest.WithDeps]; [InjectorTest.WithNamedDeps]; [InjectorTest.WithListDeps]; [InjectException]. LCC (Lack of Component Cohesion) = 0.86
ipscan-3.7.3,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.26. All the dependencies among components: from: net.azib.ipscan.core to: net.azib.ipscan.config; from: net.azib.ipscan.core to: net.azib.ipscan.core.net; from: net.azib.ipscan.core to: net.azib.ipscan.fetchers; from: net.azib.ipscan.core to: net.azib.ipscan.feeders; from: net.azib.ipscan.core to: net.azib.ipscan.core.values; from: net.azib.ipscan.core to: net.azib.ipscan.core.state; from: net.azib.ipscan.core to: net.azib.ipscan.util; from: net.azib.ipscan.core.net to: net.azib.ipscan.config; from: net.azib.ipscan.core.net to: net.azib.ipscan.core; from: net.azib.ipscan.core.net to: org.savarese.rocksaw.net; from: net.azib.ipscan.core.net to: org.savarese.vserv.tcpip; from: net.azib.ipscan.core.values to: net.azib.ipscan.config; from: net.azib.ipscan.fetchers to: net.azib.ipscan.config; from: net.azib.ipscan.fetchers to: net.azib.ipscan.core.values; from: net.azib.ipscan.fetchers to: net.azib.ipscan.core; from: net.azib.ipscan.fetchers to: net.azib.ipscan.core.net; from: net.azib.ipscan.fetchers to: net.azib.ipscan.util; from: net.azib.ipscan.fetchers to: net.azib.ipscan.gui; from: net.azib.ipscan.util to: org.savarese.rocksaw.net; from: net.azib.ipscan.util to: net.azib.ipscan.config; from: net.azib.ipscan.config to: net.azib.ipscan.di; from: net.azib.ipscan.config to: net.azib.ipscan.gui; from: net.azib.ipscan.config to: net.azib.ipscan.fetchers; from: net.azib.ipscan.config to: net.azib.ipscan.feeders; from: net.azib.ipscan.config to: net.azib.ipscan.exporters; from: net.azib.ipscan.config to: net.azib.ipscan.core.state; from: net.azib.ipscan.config to: net.azib.ipscan.core; from: net.azib.ipscan.feeders to: net.azib.ipscan.config; from: net.azib.ipscan.feeders to: net.azib.ipscan.core; from: net.azib.ipscan.feeders to: net.azib.ipscan.util; from: net.azib.ipscan.feeders to: org.savarese.vserv.tcpip; from: net.azib.ipscan.exporters to: net.azib.ipscan.config; from: net.azib.ipscan.exporters to: net.azib.ipscan.fetchers; from: net.azib.ipscan.exporters to: net.azib.ipscan.core.values; from: net.azib.ipscan.exporters to: net.azib.ipscan.core; from: net.azib.ipscan.exporters to: net.azib.ipscan.feeders; from: net.azib.ipscan.exporters to: net.azib.ipscan.gui.feeders; from: net.azib.ipscan.gui.fetchers to: net.azib.ipscan.gui; from: net.azib.ipscan.gui.fetchers to: net.azib.ipscan.fetchers; from: net.azib.ipscan.gui.fetchers to: net.azib.ipscan.gui.util; from: net.azib.ipscan.gui.fetchers to: net.azib.ipscan.config; from: net.azib.ipscan.gui to: net.azib.ipscan.fetchers; from: net.azib.ipscan.gui to: net.azib.ipscan.config; from: net.azib.ipscan.gui to: net.azib.ipscan.core; from: net.azib.ipscan.gui to: net.azib.ipscan.gui.util; from: net.azib.ipscan.gui to: net.azib.ipscan.core.state; from: net.azib.ipscan.gui to: net.azib.ipscan.gui.actions; from: net.azib.ipscan.gui to: net.azib.ipscan.gui.feeders; from: net.azib.ipscan.gui to: net.azib.ipscan.gui.menu; from: net.azib.ipscan.gui to: net.azib.ipscan.di; from: net.azib.ipscan.gui to: net.azib.ipscan.core.net; from: net.azib.ipscan.gui.feeders to: net.azib.ipscan.config; from: net.azib.ipscan.gui.feeders to: net.azib.ipscan.feeders; from: net.azib.ipscan.gui.feeders to: net.azib.ipscan.gui.actions; from: net.azib.ipscan.gui.feeders to: net.azib.ipscan.util; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.core; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.feeders; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.core.values; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.config; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.gui; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.core.state; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.fetchers; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.exporters; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.gui.feeders; from: net.azib.ipscan.gui.actions to: net.azib.ipscan.core.net; from: net.azib.ipscan to: net.azib.ipscan.gui; from: net.azib.ipscan to: net.azib.ipscan.di; from: net.azib.ipscan.gui.menu to: net.azib.ipscan.gui.actions; from: net.azib.ipscan.gui.menu to: net.azib.ipscan.config.
ipscan-3.7.3,net.azib.ipscan.core,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
ipscan-3.7.3,net.azib.ipscan.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.azib.ipscan.core.net; net.azib.ipscan.fetchers; net.azib.ipscan.feeders; net.azib.ipscan.util
ipscan-3.7.3,net.azib.ipscan.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ScanningSubjectTest; ScanningSubject; ScannerDispatcherThreadTest; ScannerDispatcherThread; ScannerDispatcherThreadFactory; ScanningResult; ScanningResultList; ScanningResultComparator; ScanningProgressCallback; ScanningResultComparatorTest; ScannerTest; Scanner; ScanningResultListTest; ScanningResultCallback; ScannerDispatcherThread.AddressScannerTask]; [PortIteratorTest; PortIterator]; [PluginLoaderTest; PluginLoader]; [PluginLoaderTest.DummyFetcher]; [ScannerTest.FakeFetcher]; [ScannerTest.AnotherFakeFetcher]; [ScannerTest.AddressAbortingFetcher]; [ScannerTest.FailingFetcher]; [ScannerTest.PlainValueFetcher]; [ScannerTest.InterruptedFetcher]; [PluginLoader.PluginClassLoader]; [Plugin]; [ScanningResult.ResultType]; [ScanningResultList.ScanInfo]; [ScanningResultList.StopScanningListener]; [LibraryLoader]; [UserErrorException]. LCC (Lack of Component Cohesion) = 0.52
ipscan-3.7.3,net.azib.ipscan.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.core; net.azib.ipscan.core.net; net.azib.ipscan.core
ipscan-3.7.3,net.azib.ipscan.core.net,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
ipscan-3.7.3,net.azib.ipscan.core.net,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PingerRegistryTest; PingerRegistry; UDPPinger; ICMPSharedPinger; Pinger; CombinedUnprivilegedPinger; TCPPinger; WindowsPinger; PingerRegistryTest.AbstractWrongPinger; ICMPSharedPingerTest; PingResult; JavaPingerTest; JavaPinger]; [PingerRegistryTest.PingerWithoutConstructor]; [PingerRegistryTest.PingerWithIncorrectConstructor]; [PingerRegistryTest.PingerWithWrongPing]; [WinKernel32]; [WinKernel32.Loader]; [WinIpHlp]; [ICMPSharedPinger.PacketReceiverThread]; [WinIpHlpDll]; [WinIpHlpDll.Loader]; [WinIpHlpDll.AutoOrderedStructure]; [WinIpHlpDll.IpAddr]; [WinIpHlpDll.IpAddrByVal]; [WinIpHlpDll.Ip6SockAddr]; [WinIpHlpDll.Ip6SockAddrByRef]; [WinIpHlpDll.IpOptionInformation]; [WinIpHlpDll.IpOptionInformationByVal]; [WinIpHlpDll.IpOptionInformationByRef]; [WinIpHlpDll.IcmpEchoReply]; [WinIpHlpDll.Icmp6EchoReply]. LCC (Lack of Component Cohesion) = 0.63
ipscan-3.7.3,net.azib.ipscan.core.values,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NumericRangeListTest]; [NotAvailableTest; NotAvailable; Empty; NotScannedTest; NotScanned]; [InetAddressHolderTest; InetAddressHolder]; [IntegerWithUnitTest; IntegerWithUnit]; [NumericRangeList]. LCC (Lack of Component Cohesion) = 0.45
ipscan-3.7.3,net.azib.ipscan.core.state,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StateMachineTest; StateMachine; ScanningState; ScanningStateTest; StateTransitionListener]; [StateMachine.Transition]. LCC (Lack of Component Cohesion) = 0.33
ipscan-3.7.3,net.azib.ipscan.fetchers,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
ipscan-3.7.3,net.azib.ipscan.fetchers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.azib.ipscan.core.net; net.azib.ipscan.gui
ipscan-3.7.3,net.azib.ipscan.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SequenceIteratorTest; SequenceIterator]; [InetAddressUtilsTest; InetAddressUtils]; [GoogleAnalyticsTest; GoogleAnalytics]; [MDNSResolverTest; MDNSResolver]; [NetBIOSResolverTest; NetBIOSResolver]; [IOUtils]; [ThreadResourceBinder]. LCC (Lack of Component Cohesion) = 0.58
ipscan-3.7.3,net.azib.ipscan.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.azib.ipscan.gui; net.azib.ipscan.fetchers; net.azib.ipscan.feeders; net.azib.ipscan.exporters; net.azib.ipscan.core
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.gui; net.azib.ipscan.config
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.fetchers; net.azib.ipscan.config
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.feeders; net.azib.ipscan.config
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.exporters; net.azib.ipscan.config
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.core; net.azib.ipscan.config
ipscan-3.7.3,net.azib.ipscan.config,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.azib.ipscan.config; net.azib.ipscan.gui; net.azib.ipscan.gui.menu; net.azib.ipscan.config
