Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,Feature Envy,The tool detected a instance of this smell because requireAll is more interested in members of the type: Injector
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.Dummy,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.Dummy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithDeps,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: dummy
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithDeps,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithNamedDeps,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithNamedDeps,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithListDeps,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: list
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest.WithListDeps,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ipscan-3.7.3,net.azib.ipscan.di,InjectException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,Feature Envy,The tool detected a instance of this smell because compareDifferentTypes is more interested in members of the type: ScanningResultComparator
