Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,requireAll,Magic Number,The method contains a magic number: 3,29
ipscan-3.7.3,net.azib.ipscan.di,Injector,requireAll,Long Statement,The length of the statement "return instances.entrySet().stream().filter(e -> type.isAssignableFrom(e.getKey())).map(e -> (T)e.getValue()).collect(toList());" is 128.,31
ipscan-3.7.3,net.azib.ipscan.di,Injector,createInstance,Long Statement,The length of the statement "Constructor<T> constructor=(Constructor<T>)stream(type.getConstructors()).max(comparing(Constructor::getParameterCount)).orElseThrow(() -> new InjectException("No public constructors"));" is 186.,35
ipscan-3.7.3,net.azib.ipscan.di,Injector,createInstance,Long Statement,The length of the statement "throw new InjectException("Cannot create " + type.getName() + "` deps: "+ Arrays.toString(constructor.getGenericParameterTypes())`e);" is 133.,35
ipscan-3.7.3,net.azib.ipscan.di,Injector,resolveDeps,Long Statement,The length of the statement "return stream(constructor.getGenericParameterTypes()).map(t -> isCollection(t) ? requireAll(collectionItemType(t)) : require(toClass(t))).toArray();" is 148.,47
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,initTest,Magic Number,The method contains a magic number: 1000,27
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 100,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 200,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 300,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 300,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 3,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 500,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 300,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Magic Number,The method contains a magic number: 3,38
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,forcedAdaptedTimeout,Magic Number,The method contains a magic number: 100,69
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,forcedAdaptedTimeout,Magic Number,The method contains a magic number: 100,69
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,forcedAdaptedTimeout,Magic Number,The method contains a magic number: 3,69
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedTimeoutTooShort,Magic Number,The method contains a magic number: 100,80
ipscan-3.7.3,net.azib.ipscan.core,ScannerDispatcherThreadTest,testConstruction,Long Statement,The length of the statement "ScannerDispatcherThread thread=new ScannerDispatcherThread(feeder`new Scanner(registry)`null`null`scanningResults`config`null);" is 127.,32
