Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,require,4,1,0,17,1,,
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,namedRequire,4,1,0,23,1,,
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,requireAll,8,1,0,29,1,,
ipscan-3.7.3,net.azib.ipscan.di,InjectException,InjectException,3,1,2,4,0,,
ipscan-3.7.3,net.azib.ipscan.di,InjectException,InjectException,3,1,1,8,0,,
ipscan-3.7.3,net.azib.ipscan.di,Injector,register,3,1,2,16,0,,
ipscan-3.7.3,net.azib.ipscan.di,Injector,require,5,2,1,20,0,net.azib.ipscan.di.Injector,net.azib.ipscan.di.Injector
ipscan-3.7.3,net.azib.ipscan.di,Injector,register,3,1,1,27,0,,
ipscan-3.7.3,net.azib.ipscan.di,Injector,requireAll,3,1,1,31,0,,
ipscan-3.7.3,net.azib.ipscan.di,Injector,createInstance,9,1,1,35,0,net.azib.ipscan.di.Injector,net.azib.ipscan.di.Injector
ipscan-3.7.3,net.azib.ipscan.di,Injector,resolveDeps,3,1,1,47,0,net.azib.ipscan.di.Injector,net.azib.ipscan.di.Injector
ipscan-3.7.3,net.azib.ipscan.di,Injector,toClass,5,3,1,52,0,,
ipscan-3.7.3,net.azib.ipscan.di,Injector,isCollection,3,1,1,58,0,net.azib.ipscan.di.Injector,net.azib.ipscan.di.Injector
ipscan-3.7.3,net.azib.ipscan.di,Injector,collectionItemType,3,1,1,62,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,initTest,9,1,0,27,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,16,1,0,38,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,forcedAdaptedTimeout,7,1,0,69,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedTimeoutTooShort,6,1,0,80,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerDispatcherThreadTest,testConstruction,18,1,0,32,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerDispatcherThreadTest,threadFactoryProducesDaemons,7,1,0,58,1,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testBasic,9,1,0,15,1,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testRange,5,1,0,26,1,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testSize,6,1,0,33,1,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testCopy,3,1,0,41,1,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testBrokenNumber,3,1,0,46,0,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testTooLarge,3,1,0,51,0,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testZero,3,1,0,56,0,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testNegative,3,1,0,61,0,,
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,iterateToString,7,2,1,66,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,compareDifferentTypes,19,1,0,27,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,differentIndexesSupported,8,1,0,57,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,descendingWorks,7,1,0,69,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,stringsComparedCaseInsensitively,6,1,0,79,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,fallbackToIP,12,1,0,88,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,sortingWorksInBothDirections,19,1,0,104,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,res,7,2,1,137,0,,
ipscan-3.7.3,net.azib.ipscan.core,PluginLoaderTest,loadFromSystemProperty,6,1,0,17,1,,
ipscan-3.7.3,net.azib.ipscan.core,PluginLoaderTest,canFindClassLocation,6,1,0,25,1,,
ipscan-3.7.3,net.azib.ipscan.core,PluginLoaderTest,loadFromJarFile,7,1,0,33,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerTest,setUp,5,1,0,34,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerTest,testScan,11,1,0,44,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerTest,testScanInterrupted,14,1,0,59,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerTest,testInit,6,1,0,82,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScannerTest,testCleanup,6,1,0,91,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,setUp,6,1,0,39,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testConstructor,13,1,0,48,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testStatisticsInCaseOfNormalFlow,36,1,0,61,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testResultType,5,1,0,106,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testCreateResult,14,1,0,115,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testRegisterResult,16,1,0,134,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testAlreadyRegistered,4,1,0,155,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testIterator,9,1,0,161,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testClear,8,1,0,172,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testScanInfoCompletedNormally,8,1,0,182,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testInitNewScan,16,1,0,194,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testCachedFetchers,5,1,0,215,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testRemove,17,1,0,222,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testSort,20,1,0,245,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testGetResultAsString,16,1,0,271,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testFindText,19,1,0,290,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,testScanTime,14,1,0,312,1,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,mockFetcher,5,1,1,330,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultListTest,mockFeeder,6,1,1,336,0,,
ipscan-3.7.3,net.azib.ipscan.core,Scanner,Scanner,3,1,1,29,0,,
ipscan-3.7.3,net.azib.ipscan.core,Scanner,scan,22,4,2,33,0,,
ipscan-3.7.3,net.azib.ipscan.core,Scanner,interrupt,4,2,1,67,0,,
ipscan-3.7.3,net.azib.ipscan.core,Scanner,init,5,2,0,72,0,,
ipscan-3.7.3,net.azib.ipscan.core,Scanner,cleanup,6,2,0,81,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultCallback,prepareForResults,0,1,1,15,0,,
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultCallback,consumeResults,0,1,1,23,0,,
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,getClasses,7,1,0,34,0,net.azib.ipscan.core.PluginLoader,net.azib.ipscan.core.PluginLoader
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,loadPluginsSpecifiedInSystemProperties,6,2,1,44,0,net.azib.ipscan.core.PluginLoader,net.azib.ipscan.core.PluginLoader
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,loadPluginClasses,13,3,3,51,0,,
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,loadPluginJars,28,7,2,67,0,net.azib.ipscan.core.PluginLoader,net.azib.ipscan.core.PluginLoader
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,getOwnFile,3,1,0,100,0,net.azib.ipscan.core.PluginLoader,net.azib.ipscan.core.PluginLoader
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,getClassLocation,3,1,1,104,0,net.azib.ipscan.core.PluginLoader,net.azib.ipscan.core.PluginLoader
ipscan-3.7.3,net.azib.ipscan.core,PluginLoader,getResourceLocation,6,3,1,108,0,,
