Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,require,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
ipscan-3.7.3,net.azib.ipscan.di,InjectorTest,requireAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,adaptedPortTimeoutUsingReplies,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
ipscan-3.7.3,net.azib.ipscan.core,ScanningSubjectTest,forcedAdaptedTimeout,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
ipscan-3.7.3,net.azib.ipscan.core,ScannerDispatcherThreadTest,testConstruction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
ipscan-3.7.3,net.azib.ipscan.core,ScannerDispatcherThreadTest,threadFactoryProducesDaemons,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testRange,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
ipscan-3.7.3,net.azib.ipscan.core,PortIteratorTest,testSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,compareDifferentTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,differentIndexesSupported,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,descendingWorks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,stringsComparedCaseInsensitively,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
ipscan-3.7.3,net.azib.ipscan.core,ScanningResultComparatorTest,fallbackToIP,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
