Project Name,Package Name,Architecture Smell,Cause of the Smell
jEdit-5.5.0,org.jedit.options,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CombinedOptions; OptionGroupPane; TabbedOptionDialog; GlobalOptionGroup; PluginOptionGroup; OptionTreeModel]; [TabbedOptionDialog.TitleChanger]; [PluginOptionGroup.NoPluginsPane]. LCC (Lack of Component Cohesion) = 0.38
jEdit-5.5.0,org.jedit.options,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.gjt.sp.jedit; org.gjt.sp.util.
jEdit-5.5.0,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.7. All the dependencies among components: from: org.jedit.options to: org.gjt.sp.jedit; from: org.jedit.options to: org.gjt.sp.util; from: org.jedit.core to: org.gjt.sp.jedit; from: org.jedit.io to: org.gjt.sp.jedit.io; from: org.jedit.keymap to: org.gjt.sp.util; from: org.jedit.keymap to: org.gjt.sp.jedit; from: org.jedit.keymap to: org.gjt.sp.jedit.textarea; from: org.jedit.keymap to: org.gjt.sp.jedit.gui; from: org.jedit.migration to: org.gjt.sp.jedit; from: org.jedit.migration to: org.gjt.sp.util; from: org.jedit.migration to: org.jedit.keymap; from: org.jedit.migration to: org.gjt.sp.jedit.options; from: org.gjt.sp.util to: org.gjt.sp.jedit; from: org.gjt.sp.util to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.util to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.indent to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.indent to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.indent to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit to: org.gjt.sp.util; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.input; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit to: org.jedit.keymap; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.bufferset; from: org.gjt.sp.jedit to: org.jedit.core; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.datatransfer; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.gui.tray; from: org.gjt.sp.jedit to: org.jedit.migration; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.search; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.visitors; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.pluginmgr; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.bufferio; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.indent; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.menu; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.options; from: org.gjt.sp.jedit to: org.gjt.sp.jedit.bsh.classpath; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.options to: org.gjt.sp.util; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.options to: org.jedit.keymap; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.pluginmgr; from: org.gjt.sp.jedit.options to: org.gjt.sp.jedit.bufferset; from: org.gjt.sp.jedit.visitors to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.visitors to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.bufferset to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.bufferset to: org.gjt.sp.util; from: org.gjt.sp.jedit.bufferset to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.bufferset to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.proto.jeditresource to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.proto.jeditresource to: org.gjt.sp.util; from: org.gjt.sp.jedit.msg to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.msg to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.msg to: org.gjt.sp.util; from: org.gjt.sp.jedit.msg to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.input to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.input to: org.gjt.sp.util; from: org.gjt.sp.jedit.input to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.input to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.input to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.pluginmgr to: org.gjt.sp.util; from: org.gjt.sp.jedit.pluginmgr to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.pluginmgr to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.pluginmgr to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.pluginmgr to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.io to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.io to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.io to: org.gjt.sp.util; from: org.gjt.sp.jedit.io to: org.gjt.sp.jedit.bufferio; from: org.gjt.sp.jedit.io to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.print to: org.gjt.sp.util; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.print to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.datatransfer to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.datatransfer to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.datatransfer to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.datatransfer to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.search to: org.gjt.sp.util; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.search to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.browser to: org.gjt.sp.util; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.search; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.datatransfer; from: org.gjt.sp.jedit.browser to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.util; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.input; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.bufferset; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.textarea to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.menu to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.menu to: org.jedit.keymap; from: org.gjt.sp.jedit.menu to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.menu to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.menu to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.menu to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.menu to: org.gjt.sp.util; from: org.gjt.sp.jedit.gui to: org.gjt.sp.util; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.bufferset; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.options; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.bufferio; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.datatransfer; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.input; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.gui.statusbar; from: org.gjt.sp.jedit.gui to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit.gui to: org.jedit.options; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.textarea; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.util; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.bufferset; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.gui.statusbar to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.gui.tray to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.gui.tray to: org.gjt.sp.util; from: org.gjt.sp.jedit.gui.tray to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.syntax to: org.gjt.sp.util; from: org.gjt.sp.jedit.syntax to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.bufferio to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.bufferio to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.bufferio to: org.gjt.sp.util; from: org.gjt.sp.jedit.bufferio to: org.gjt.sp.jedit.buffer; from: org.gjt.sp.jedit.bsh to: org.gjt.sp.jedit.bsh.org.objectweb.asm; from: org.gjt.sp.jedit.bsh.classpath to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit.bsh.collection to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit.bsh.commands to: org.gjt.sp.jedit.bsh; from: org.gjt.sp.jedit.help to: org.gjt.sp.jedit.gui; from: org.gjt.sp.jedit.help to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.help to: org.gjt.sp.util; from: org.gjt.sp.jedit.help to: org.gjt.sp.jedit.io; from: org.gjt.sp.jedit.help to: org.gjt.sp.jedit.msg; from: org.gjt.sp.jedit.help to: org.gjt.sp.jedit.browser; from: org.gjt.sp.jedit.buffer to: org.gjt.sp.util; from: org.gjt.sp.jedit.buffer to: org.gjt.sp.jedit.syntax; from: org.gjt.sp.jedit.buffer to: org.gjt.sp.jedit; from: org.gjt.sp.jedit.buffer to: org.gjt.sp.jedit.textarea; from: de.masters_of_disaster.ant.tasks.deb to: de.masters_of_disaster.ant.tasks.ar.
jEdit-5.5.0,org.jedit.keymap,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KeymapManager; KeymapManagerImpl; KeymapFileFilter; Keymap; KeymapImpl]; [KeymapManager.State]; [EmacsUtil]. LCC (Lack of Component Cohesion) = 0.43
jEdit-5.5.0,org.jedit.keymap,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.gjt.sp.jedit; org.gjt.sp.jedit.textarea.
jEdit-5.5.0,org.jedit.migration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.gjt.sp.jedit.options
jEdit-5.5.0,org.gjt.sp.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
jEdit-5.5.0,org.gjt.sp.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.gjt.sp.jedit; org.gjt.sp.jedit.textarea; org.gjt.sp.jedit.syntax
jEdit-5.5.0,org.gjt.sp.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwtRunnableQueue; TaskManager; TaskListener; Log; Task; SyntaxUtilities; TaskAdapter; ThreadUtilities; XMLUtilities; AwtRunnableQueue.RunRequestsInAWTThread; ProgressObserver; IOUtilities; StandardUtilities; PropertiesBean; TaskManager.MyTask; HtmlUtilities]; [EnhancedTreeCellRenderer]; [ThreadAbortMonitor]; [StringList]; [TaskManager.TaskVisitor]; [SegmentBuffer]; [GenericGUIUtilities]; [StringModel]; [IntegerArray]; [StandardUtilities.StringCompare]; [Log.LogListModel]; [Log.LogPrintStream]; [Log.LogOutputStream]; [ThreadUtilities.JEditThreadFactory]; [ThreadUtilities.CountDownLatchRunnable]; [ReverseCharSequence]; [SegmentCharSequence]. LCC (Lack of Component Cohesion) = 0.53
jEdit-5.5.0,org.gjt.sp.jedit.indent,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DeepIndentRule; IndentRule; BracketIndentRule; IndentRuleFactory; WhitespaceRule; RegexpIndentRule; IndentAction; IndentAction.Collapse; IndentAction.Reset; IndentAction.Increase; IndentAction.Decrease; IndentAction.AlignOffset; IndentAction.AlignParameter; IndentAction.NoIncrease; CloseBracketIndentRule; CloseBracketIndentRule.AlignBracket; OpenBracketIndentRule]; [DeepIndentRule.Parens]; [BracketIndentRule.Brackets]; [BracketIndentRule.LineScanner]; [RegexpIndentRule.TokenFilter]. LCC (Lack of Component Cohesion) = 0.24
