Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jEdit-5.5.0,org.jedit.options,OptionGroupPane,valueChanged,Complex Method,Cyclomatic complexity of the method is 14,113
jEdit-5.5.0,org.jedit.options,OptionGroupPane,selectPane,Complex Method,Cyclomatic complexity of the method is 10,220
jEdit-5.5.0,org.jedit.options,OptionGroupPane,selectPane,Empty catch clause,The method has an empty catch block.,220
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Long Statement,The length of the statement "JScrollPane scroller=new JScrollPane(paneTree`JScrollPane.VERTICAL_SCROLLBAR_ALWAYS`JScrollPane.HORIZONTAL_SCROLLBAR_AS_NEEDED);" is 128.,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Long Statement,The length of the statement "else splitter.setDividerLocation(paneTree.getPreferredSize().width + scroller.getVerticalScrollBar().getPreferredSize().width);" is 127.,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 12,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 120,286
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,Magic Number,The method contains a magic number: 10,286
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Long Statement,The length of the statement "int width=Math.max(Math.max(ok.getPreferredSize().width`cancel.getPreferredSize().width)`apply.getPreferredSize().width);" is 121.,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 12,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 12,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 12,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 12,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 12,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 6,103
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,Magic Number,The method contains a magic number: 6,103
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,GlobalOptionGroup,Long Statement,The length of the statement "def="general abbrevs appearance context docking editing encodings gutter mouse " + "plugin-manager print firewall save-back shortcuts status syntax textarea " + "toolbar view";" is 176.,48
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesChanged,Magic Number,The method contains a magic number: 2,116
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesChanged,Magic Number,The method contains a magic number: 2,116
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesInserted,Magic Number,The method contains a magic number: 2,138
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesInserted,Magic Number,The method contains a magic number: 2,138
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesRemoved,Magic Number,The method contains a magic number: 2,160
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireNodesRemoved,Magic Number,The method contains a magic number: 2,160
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireTreeStructureChanged,Magic Number,The method contains a magic number: 2,182
jEdit-5.5.0,org.jedit.options,OptionTreeModel,fireTreeStructureChanged,Magic Number,The method contains a magic number: 2,182
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,getTextWriter,Magic Number,The method contains a magic number: 6,60
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,getTextWriter,Magic Number,The method contains a magic number: 6,60
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,getTextWriter,Magic Number,The method contains a magic number: 6,60
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,write,Magic Number,The method contains a magic number: 6,108
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,write,Magic Number,The method contains a magic number: 6,108
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,write,Magic Number,The method contains a magic number: 6,108
jEdit-5.5.0,org.jedit.keymap,KeymapManagerImpl,KeymapManagerImpl,Long Statement,The length of the statement "Log.log(Log.ERROR`this`"System keymap folder do not exist` your installation is broken. " + "Install keymaps in " + systemKeymapFolder.getAbsolutePath());" is 154.,62
jEdit-5.5.0,org.jedit.keymap,KeymapManagerImpl,KeymapManagerImpl,Long Statement,The length of the statement "JOptionPane.showMessageDialog(null`"System keymap folder do not exist` your installation is broken. " + "Install keymaps in " + systemKeymapFolder.getAbsolutePath()`"Fatal Error"`JOptionPane.ERROR_MESSAGE);" is 206.,62
jEdit-5.5.0,org.jedit.keymap,KeymapManagerImpl,KeymapManagerImpl,Magic Number,The method contains a magic number: 10,62
jEdit-5.5.0,org.jedit.keymap,KeymapManagerImpl,getKeymapsFromFolder,Magic Number,The method contains a magic number: 11,218
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,emacsKillLine,Complex Method,Cyclomatic complexity of the method is 8,29
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,getDefaultWrap,Magic Number,The method contains a magic number: 79,245
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,findBeginningOfSentence,Complex Method,Cyclomatic complexity of the method is 9,348
jEdit-5.5.0,org.jedit.migration,KeymapMigration,migrate,Complex Conditional,The conditional expression (key.endsWith(".shortcut") || key.endsWith(".shortcut2")) && !key.startsWith("options.shortcuts.") is complex.,39
jEdit-5.5.0,org.jedit.migration,CheckFileStatus,migrate,Long Statement,The length of the statement "if ((jEdit.getIntegerProperty("checkFileStatus"`GeneralOptionPane.checkFileStatus_focus) == 0)) jEdit.setIntegerProperty("checkFileStatus"`GeneralOptionPane.checkFileStatus_focus);" is 180.,33
jEdit-5.5.0,org.gjt.sp.util,EnhancedTreeCellRenderer,getTreeCellRendererComponent,Long Parameter List,The method has 7 parameters. ,77
jEdit-5.5.0,org.gjt.sp.util,EnhancedTreeCellRenderer,configureTreeCellRendererComponent,Long Parameter List,The method has 7 parameters. ,130
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,moveFile,Complex Conditional,The conditional expression (dest.exists() && dest.canWrite()) || (!dest.exists() && dest.getParentFile().canWrite()) is complex.,38
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,moveFile,Magic Number,The method contains a magic number: 32768,38
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,copyStream,Long Parameter List,The method has 6 parameters. ,85
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,copyStream,Long Parameter List,The method has 5 parameters. ,125
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,copyStream,Magic Number,The method contains a magic number: 4096,143
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,copyStream,Long Parameter List,The method has 5 parameters. ,160
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,copyStream,Magic Number,The method contains a magic number: 4096,160
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,closeQuietly,Empty catch clause,The method has an empty catch block.,204
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,closeQuietly,Empty catch clause,The method has an empty catch block.,204
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,closeQuietly,Empty catch clause,The method has an empty catch block.,237
jEdit-5.5.0,org.gjt.sp.util,IOUtilities,closeQuietly,Empty catch clause,The method has an empty catch block.,259
jEdit-5.5.0,org.gjt.sp.util,PropertiesBean,load,Empty catch clause,The method has an empty catch block.,87
jEdit-5.5.0,org.gjt.sp.util,PropertiesBean,encode,Complex Conditional,The conditional expression _class != Boolean.class && _class != Boolean.TYPE && _class != Character.class && _class != Character.TYPE && _class != Double.class && _class != Double.TYPE && _class != Float.class && _class != Float.TYPE && _class != Integer.class && _class != Integer.TYPE && _class != Long.class && _class != Long.TYPE && _class != Short.class && _class != Short.TYPE && _class != String.class is complex.,193
jEdit-5.5.0,org.gjt.sp.util,PropertiesBean,encode,Long Statement,The length of the statement "if (_class != Boolean.class && _class != Boolean.TYPE && _class != Character.class && _class != Character.TYPE && _class != Double.class && _class != Double.TYPE && _class != Float.class && _class != Float.TYPE && _class != Integer.class && _class != Integer.TYPE && _class != Long.class && _class != Long.TYPE && _class != Short.class && _class != Short.TYPE && _class != String.class) {" is 388.,193
jEdit-5.5.0,org.gjt.sp.util,PropertiesBean,parse,Complex Method,Cyclomatic complexity of the method is 12,230
jEdit-5.5.0,org.gjt.sp.util,SegmentBuffer,ensureCapacity,Magic Number,The method contains a magic number: 2,57
jEdit-5.5.0,org.gjt.sp.util,GenericGUIUtilities,showPopupMenu,Long Parameter List,The method has 5 parameters. ,249
jEdit-5.5.0,org.gjt.sp.util,HtmlUtilities,highlightString,Magic Number,The method contains a magic number: 2,103
jEdit-5.5.0,org.gjt.sp.util,HtmlUtilities,appendString2html,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@183cbf68,135
jEdit-5.5.0,org.gjt.sp.util,IntegerArray,IntegerArray,Magic Number,The method contains a magic number: 2000,31
jEdit-5.5.0,org.gjt.sp.util,IntegerArray,add,Magic Number,The method contains a magic number: 2,43
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,getLeadingWhiteSpace,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7d5ac806,122
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,getTrailingWhiteSpace,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@c43bd5b,148
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,getLeadingWhiteSpaceWidth,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@512403d6,183
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,compareStrings,Complex Conditional,The conditional expression Character.isDigit(ch1) && Character.isDigit(ch2) && ch1 != '0' && ch2 != '0' is complex.,378
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,compareStrings,Complex Method,Cyclomatic complexity of the method is 16,378
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,globToRE,Complex Method,Cyclomatic complexity of the method is 20,525
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,globToRE,Magic Number,The method contains a magic number: 4,525
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,globToRE,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2c1e3165,525
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,regionMatches,Complex Conditional,The conditional expression toff < 0 || ooff < 0 || len < 0 is complex.,616
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,regionMatches,Long Parameter List,The method has 5 parameters. ,616
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,getBoolean,Complex Conditional,The conditional expression "true".equals(obj) || "yes".equals(obj) || "on".equals(obj) is complex.,697
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,getBoolean,Complex Conditional,The conditional expression "false".equals(obj) || "no".equals(obj) || "off".equals(obj) is complex.,697
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 1024,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 1024,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 10,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 1024,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 1024,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,formatFileSize,Magic Number,The method contains a magic number: 1024,727
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,md5,Magic Number,The method contains a magic number: 2,752
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,md5,Magic Number,The method contains a magic number: 0xff,752
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,md5,Magic Number,The method contains a magic number: 8,752
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities,md5,Magic Number,The method contains a magic number: 0xff,752
jEdit-5.5.0,org.gjt.sp.util,Log,init,Complex Conditional,The conditional expression stdio && System.out == realOut && System.err == realErr is complex.,108
jEdit-5.5.0,org.gjt.sp.util,Log,init,Long Statement,The length of the statement "String[] props={"java.version"`"java.vm.version"`"java.vm.name"`"java.runtime.version"`"java.runtime.name"`"java.vendor"`"java.compiler"`"os.name"`"os.version"`"os.arch"`"user.home"`"java.home"`"java.class.path"};" is 213.,108
jEdit-5.5.0,org.gjt.sp.util,Log,setLogWriter,Empty catch clause,The method has an empty catch block.,147
jEdit-5.5.0,org.gjt.sp.util,Log,_log,Long Statement,The length of the statement "String fullMessage=timeFormat.format(new Date()) + " [" + Thread.currentThread().getName()+ "] ["+ urgencyToString(urgency)+ "] "+ source+ ": "+ message;" is 153.,450
jEdit-5.5.0,org.gjt.sp.util,Log,_log,Magic Number,The method contains a magic number: 1000,450
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseColor,Complex Method,Cyclomatic complexity of the method is 17,64
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseColor,Magic Number,The method contains a magic number: 6,64
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseColor,Magic Number,The method contains a magic number: 16,64
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseStyle,Complex Method,Cyclomatic complexity of the method is 10,119
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseStyle,Long Parameter List,The method has 5 parameters. ,119
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseStyle,Magic Number,The method contains a magic number: 6,119
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseStyle,Magic Number,The method contains a magic number: 8,119
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,parseStyle,Magic Number,The method contains a magic number: 6,119
jEdit-5.5.0,org.gjt.sp.util,XMLUtilities,charsToEntities,Complex Conditional,The conditional expression ((0x00 <= ch && ch <= 0x1F) || (0x7F <= ch && ch <= 0x9F)) && ch != '\r' && ch != '\n' && ch != '\t' is complex.,52
jEdit-5.5.0,org.gjt.sp.util,XMLUtilities,charsToEntities,Magic Number,The method contains a magic number: 0x1F,52
jEdit-5.5.0,org.gjt.sp.util,XMLUtilities,charsToEntities,Magic Number,The method contains a magic number: 0x7F,52
jEdit-5.5.0,org.gjt.sp.util,XMLUtilities,charsToEntities,Magic Number,The method contains a magic number: 0x9F,52
jEdit-5.5.0,org.gjt.sp.util,XMLUtilities,charsToEntities,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@16970ad3,52
jEdit-5.5.0,org.gjt.sp.jedit.indent,DeepIndentRule,apply,Complex Method,Cyclomatic complexity of the method is 9,55
jEdit-5.5.0,org.gjt.sp.jedit.indent,DeepIndentRule,apply,Long Parameter List,The method has 5 parameters. ,55
jEdit-5.5.0,org.gjt.sp.jedit.indent,IndentRule,apply,Long Parameter List,The method has 5 parameters. ,34
jEdit-5.5.0,org.gjt.sp.jedit.indent,WhitespaceRule,apply,Long Parameter List,The method has 5 parameters. ,49
jEdit-5.5.0,org.gjt.sp.jedit.indent,RegexpIndentRule,RegexpIndentRule,Long Parameter List,The method has 5 parameters. ,43
jEdit-5.5.0,org.gjt.sp.jedit.indent,RegexpIndentRule,apply,Complex Conditional,The conditional expression prevAction != null && prevLineIndex != -1 && lineMatches(buffer`prevLineIndex) is complex.,59
jEdit-5.5.0,org.gjt.sp.jedit.indent,RegexpIndentRule,apply,Complex Conditional,The conditional expression prevPrevAction != null && prevPrevLineIndex != -1 && lineMatches(buffer`prevPrevLineIndex) is complex.,59
jEdit-5.5.0,org.gjt.sp.jedit.indent,RegexpIndentRule,apply,Long Parameter List,The method has 5 parameters. ,59
jEdit-5.5.0,org.gjt.sp.jedit.indent,CloseBracketIndentRule,apply,Complex Method,Cyclomatic complexity of the method is 8,45
jEdit-5.5.0,org.gjt.sp.jedit.indent,CloseBracketIndentRule,apply,Long Parameter List,The method has 5 parameters. ,45
jEdit-5.5.0,org.gjt.sp.jedit.indent,OpenBracketIndentRule,apply,Long Parameter List,The method has 5 parameters. ,44
jEdit-5.5.0,org.gjt.sp.jedit,JEditRegisterSaver,saveRegisters,Complex Conditional,The conditional expression register == null || i == '$' || i == '%' || register.toString().length() == 0 is complex.,79
jEdit-5.5.0,org.gjt.sp.jedit,JEditActionSet,createBeanShellAction,Long Parameter List,The method has 6 parameters. ,410
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Complex Conditional,The conditional expression (OperatingSystem.isMacOS() || OperatingSystem.isWindows()) && shouldRelocateSettings && settingsDirectory != null is complex.,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Complex Method,Cyclomatic complexity of the method is 62,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Empty catch clause,The method has an empty catch block.,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Empty catch clause,The method has an empty catch block.,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Long Method,The method has 312 lines of code.,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Long Statement,The length of the statement "if (OperatingSystem.isMacOS()) settingsDirectory=MiscUtilities.constructPath(System.getProperty("user.home")`"Library/jEdit");" is 126.,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Magic Number,The method contains a magic number: 10,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Magic Number,The method contains a magic number: 8,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,main,Magic Number,The method contains a magic number: 5,113
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,getFontProperty,Complex Conditional,The conditional expression family == null || sizeString == null || styleString == null is complex.,828
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,propertiesChanged,Magic Number,The method contains a magic number: 30,1014
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,propertiesChanged,Magic Number,The method contains a magic number: 25,1014
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,propertiesChanged,Magic Number,The method contains a magic number: 5000000,1014
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,propertiesChanged,Magic Number,The method contains a magic number: 25,1014
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,openFiles,Complex Method,Cyclomatic complexity of the method is 9,1529
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,openFile,Long Parameter List,The method has 5 parameters. ,1616
