Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jEdit-5.5.0,org.jedit.options,CombinedOptions,combinedOptions,5,2,1,49,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit
jEdit-5.5.0,org.jedit.options,CombinedOptions,CombinedOptions,5,1,2,60,0,org.jedit.options.CombinedOptions,org.jedit.options.CombinedOptions
jEdit-5.5.0,org.jedit.options,CombinedOptions,CombinedOptions,3,1,1,68,0,,
jEdit-5.5.0,org.jedit.options,CombinedOptions,_init,8,1,0,74,0,org.jedit.options.OptionGroupPane,org.jedit.options.OptionGroupPane; org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,OptionGroupPane,OptionGroupPane,5,1,1,90,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup; org.gjt.sp.jedit.AbstractOptionPane
jEdit-5.5.0,org.jedit.options,OptionGroupPane,addTextListener,3,1,1,98,0,org.gjt.sp.util.StringModel,org.gjt.sp.util.StringModel
jEdit-5.5.0,org.jedit.options,OptionGroupPane,getTitle,3,1,0,103,0,org.gjt.sp.util.StringModel,org.gjt.sp.util.StringModel
jEdit-5.5.0,org.jedit.options,OptionGroupPane,setTitle,3,1,1,107,0,org.gjt.sp.util.StringModel,org.gjt.sp.util.StringModel
jEdit-5.5.0,org.jedit.options,OptionGroupPane,valueChanged,63,14,1,113,0,org.jedit.options.OptionGroupPane,org.jedit.options.OptionGroupPane; org.gjt.sp.jedit.OptionPane; org.gjt.sp.jedit.OptionGroup; org.gjt.sp.jedit.jEdit; org.gjt.sp.jedit.BeanShell; org.gjt.sp.util.Log
jEdit-5.5.0,org.jedit.options,OptionGroupPane,selectPane,3,1,2,215,0,org.jedit.options.OptionGroupPane,org.jedit.options.OptionGroupPane
jEdit-5.5.0,org.jedit.options,OptionGroupPane,selectPane,49,10,3,220,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup; org.gjt.sp.jedit.OptionPane; org.jedit.options.OptionGroupPane
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_init,37,6,0,286,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup; org.jedit.options.OptionGroupPane; org.gjt.sp.jedit.jEdit; org.gjt.sp.jedit.OperatingSystem; org.jedit.options.OptionTreeModel
jEdit-5.5.0,org.jedit.options,OptionGroupPane,_save,6,2,0,352,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.jedit.options.OptionGroupPane; org.gjt.sp.jedit.AbstractOptionPane; org.gjt.sp.jedit.OptionGroup; org.gjt.sp.jedit.OptionPane
jEdit-5.5.0,org.jedit.options,OptionGroupPane,save,21,5,1,361,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup; org.jedit.options.OptionGroupPane; org.gjt.sp.jedit.OptionPane; org.gjt.sp.util.Log
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,TabbedOptionDialog,5,1,2,78,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,TabbedOptionDialog,5,1,2,87,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setSelectedIndex,3,1,1,96,0,,
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,setupTabs,31,1,0,103,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.gjt.sp.jedit.GUIUtilities
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,actionPerformed,12,4,1,143,0,org.jedit.options.TabbedOptionDialog,org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,addOptionPane,5,1,1,162,0,org.gjt.sp.jedit.OptionPane,org.gjt.sp.jedit.OptionPane
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,addOptionGroup,5,1,1,171,0,org.jedit.options.OptionGroupPane,org.jedit.options.OptionGroupPane; org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,ok,3,1,0,179,0,org.jedit.options.TabbedOptionDialog,org.jedit.options.TabbedOptionDialog
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,ok,9,4,1,184,0,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.GUIUtilities; org.gjt.sp.jedit.jEdit; org.gjt.sp.jedit.OptionPane
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,cancel,4,1,0,206,0,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.GUIUtilities
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,stateChanged,6,1,1,225,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.gjt.sp.jedit.OptionPane
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,GlobalOptionGroup,3,1,0,43,0,,
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,GlobalOptionGroup,23,5,1,48,0,org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.jEdit; org.jedit.options.GlobalOptionGroup
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,addGroup,8,2,1,81,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup
jEdit-5.5.0,org.jedit.options,PluginOptionGroup,PluginOptionGroup,4,1,0,42,0,org.jedit.options.PluginOptionGroup,org.jedit.options.PluginOptionGroup
jEdit-5.5.0,org.jedit.options,PluginOptionGroup,createOptionTreeModel,21,6,0,49,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup; org.gjt.sp.jedit.EditPlugin; org.jedit.options.OptionTreeModel; org.gjt.sp.jedit.jEdit
jEdit-5.5.0,org.jedit.options,OptionTreeModel,OptionTreeModel,3,1,0,42,0,,
jEdit-5.5.0,org.jedit.options,OptionTreeModel,OptionTreeModel,4,1,1,47,0,,
jEdit-5.5.0,org.jedit.options,OptionTreeModel,addTreeModelListener,3,1,1,54,0,,
jEdit-5.5.0,org.jedit.options,OptionTreeModel,removeTreeModelListener,3,1,1,59,0,,
jEdit-5.5.0,org.jedit.options,OptionTreeModel,getChild,8,2,2,64,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup
jEdit-5.5.0,org.jedit.options,OptionTreeModel,getChildCount,8,2,1,76,0,org.gjt.sp.jedit.OptionGroup,org.gjt.sp.jedit.OptionGroup
