Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
jEdit-5.5.0,org.jedit.options,OptionGroupPane,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jedit.options.OptionTreeModel; org.gjt.sp.util.StringModel
jEdit-5.5.0,org.jedit.options,OptionGroupPane,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jedit.options.OptionGroupPane
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.gjt.sp.jedit.OptionGroup
jEdit-5.5.0,org.jedit.options,PluginOptionGroup,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jedit.options.OptionTreeModel
jEdit-5.5.0,org.jedit.options,PluginOptionGroup.NoPluginsPane,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.gjt.sp.jedit.io.CharsetEncoding
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (EmacsUtil) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.jEdit.getActiveView; org.gjt.sp.jedit.View.getBuffer
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (EmacsUtil) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.View.getTextArea; org.gjt.sp.jedit.jEdit.getActiveView
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (repeatingSameMacro) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.View.getInputHandler; org.gjt.sp.jedit.jEdit.getActiveView
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (atEndOfBuffer) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.View.getTextArea; org.gjt.sp.jedit.jEdit.getActiveView
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (setClipboard) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.View.getTextArea; org.gjt.sp.jedit.jEdit.getActiveView
jEdit-5.5.0,org.jedit.keymap,EmacsUtil,Law of Demeter violation,The tool detected the smell in this method (addToClipboardAndHistory) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.gui.HistoryModel.addItem; org.gjt.sp.jedit.gui.HistoryModel.getModel
jEdit-5.5.0,org.gjt.sp.util,StandardUtilities.StringCompare,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jEdit-5.5.0,org.gjt.sp.util,Log,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAXLINES (65)
jEdit-5.5.0,org.gjt.sp.util,SyntaxUtilities,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: propertyManager (46)
jEdit-5.5.0,org.gjt.sp.jedit.indent,BracketIndentRule.Brackets,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jEdit-5.5.0,org.gjt.sp.jedit,JEditRegisterSaver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.gjt.sp.jedit.SettingsXML
jEdit-5.5.0,org.gjt.sp.jedit,JEditActionSet,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.gjt.sp.jedit.JEditAbstractEditAction
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.jedit.keymap.KeymapManager; org.gjt.sp.jedit.PropertyManager; org.gjt.sp.jedit.ActionContext; org.gjt.sp.jedit.PluginJAR; org.gjt.sp.jedit.ActionSet; org.gjt.sp.jedit.EditServer; org.gjt.sp.jedit.Buffer; org.gjt.sp.jedit.View; org.gjt.sp.jedit.msg.EditorExitRequested; org.gjt.sp.util.StringList; org.gjt.sp.jedit.bufferset.BufferSetManager; org.gjt.sp.jedit.io.CharsetEncoding; org.gjt.sp.jedit.syntax.ModeProvider; org.gjt.sp.jedit.Mode; org.gjt.sp.jedit.gui.CloseDialog
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 72
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.gjt.sp.jedit.buffer.KillRing.getInstance; org.gjt.sp.jedit.buffer.KillRing.load
