Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jEdit-5.5.0,org.jedit.options,CombinedOptions,3,0,4,4,34,5,0,2,0.75,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/CombinedOptions.java,27
jEdit-5.5.0,org.jedit.options,OptionGroupPane,8,0,10,3,208,42,0,2,0.0,2,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/OptionGroupPane.java,57
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog,6,0,11,10,105,17,1,1,0.0,0,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/TabbedOptionDialog.java,54
jEdit-5.5.0,org.jedit.options,TabbedOptionDialog.TitleChanger,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/TabbedOptionDialog.java,214
jEdit-5.5.0,org.jedit.options,GlobalOptionGroup,1,0,3,2,40,8,0,1,0.6666666666666666,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/GlobalOptionGroup.java,31
jEdit-5.5.0,org.jedit.options,PluginOptionGroup,0,0,2,2,36,7,0,1,-1.0,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/PluginOptionGroup.java,31
jEdit-5.5.0,org.jedit.options,PluginOptionGroup.NoPluginsPane,0,0,0,0,5,0,0,2,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/PluginOptionGroup.java,88
jEdit-5.5.0,org.jedit.options,OptionTreeModel,2,0,14,10,96,29,1,0,0.5,3,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/options/OptionTreeModel.java,34
jEdit-5.5.0,org.jedit.core,MigrationService,0,0,1,0,8,1,2,0,-1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/core/MigrationService.java,23
jEdit-5.5.0,org.jedit.core,FileOpenerService,0,0,2,2,27,5,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/core/FileOpenerService.java,27
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding,8,0,13,11,247,19,0,1,0.6153846153846154,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/io/Native2ASCIIEncoding.java,45
jEdit-5.5.0,org.jedit.io,Native2ASCIIEncoding.Native2ASCIIReader,6,0,0,0,176,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jEdit-5.5.0/org/jedit/io/Native2ASCIIEncoding.java,175
