Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jpass-0.1.20,jpass.crypt.io,StreamTest,shouldDecryptAnEncryptedRandomMessage,21,2,0,28,1,,
jpass-0.1.20,jpass.crypt.io,CryptInputStream,CryptInputStream,5,1,3,89,0,,
jpass-0.1.20,jpass.crypt.io,CryptInputStream,CryptInputStream,14,3,2,102,0,,
jpass-0.1.20,jpass.crypt.io,CryptInputStream,readFromStream,6,2,0,125,0,,
jpass-0.1.20,jpass.crypt.io,CryptInputStream,read,25,4,0,135,0,jpass.crypt.io.CryptInputStream,jpass.crypt.io.CryptInputStream
jpass-0.1.20,jpass.crypt.io,CryptInputStream,close,3,1,0,171,0,,
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,CryptOutputStream,3,1,3,60,0,,
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,CryptOutputStream,7,1,2,71,0,,
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,write,4,1,1,89,0,,
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,write,3,1,1,101,0,,
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,close,3,1,0,112,0,,
jpass-0.1.20,jpass.crypt,Aes256Test,shouldEntryptAndDecryptATestMessage,12,1,0,25,1,,
jpass-0.1.20,jpass.crypt,Aes256Test,shouldEntryptAndDecryptRandomData,15,2,0,56,1,,
jpass-0.1.20,jpass.crypt,CbcTest,setUp,8,1,0,50,0,,
jpass-0.1.20,jpass.crypt,CbcTest,shouldEncryptAndDecryptASmallMessage,8,1,0,71,1,,
jpass-0.1.20,jpass.crypt,CbcTest,shouldEncryptAndDecryptABigMessage,14,3,0,86,1,,
jpass-0.1.20,jpass.crypt,CbcTest,shouldEncryptAndDecryptRandomData,6,2,0,108,1,,
jpass-0.1.20,jpass.crypt,CbcTest,shouldWorkWithReferenceData,15,1,0,120,1,,
jpass-0.1.20,jpass.crypt,CbcTest,testRandom,15,1,2,156,0,,
jpass-0.1.20,jpass.crypt,Cbc,Cbc,12,1,3,92,0,,
jpass-0.1.20,jpass.crypt,Cbc,encryptBlock,7,2,2,112,0,,
jpass-0.1.20,jpass.crypt,Cbc,decryptBlock,9,2,1,126,0,,
jpass-0.1.20,jpass.crypt,Cbc,encrypt,5,2,1,141,0,jpass.crypt.Cbc,jpass.crypt.Cbc
jpass-0.1.20,jpass.crypt,Cbc,decrypt,5,2,1,153,0,jpass.crypt.Cbc,jpass.crypt.Cbc
jpass-0.1.20,jpass.crypt,Cbc,encrypt,13,4,2,165,0,jpass.crypt.Cbc,jpass.crypt.Cbc
jpass-0.1.20,jpass.crypt,Cbc,decrypt,16,5,2,188,0,jpass.crypt.Cbc,jpass.crypt.Cbc
jpass-0.1.20,jpass.crypt,Cbc,finishEncryption,9,2,0,214,0,jpass.crypt.Cbc,jpass.crypt.Cbc
jpass-0.1.20,jpass.crypt,Cbc,finishDecryption,17,5,0,230,0,,
jpass-0.1.20,jpass.crypt,Aes256,substituteWord,6,2,1,204,0,,
jpass-0.1.20,jpass.crypt,Aes256,rotate,8,2,1,218,0,,
jpass-0.1.20,jpass.crypt,Aes256,Aes256,18,5,1,235,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,addRoundKey,5,2,1,267,0,,
jpass-0.1.20,jpass.crypt,Aes256,times2,7,2,1,278,0,,
jpass-0.1.20,jpass.crypt,Aes256,mul,13,3,2,298,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,substituteState,5,2,0,324,0,,
jpass-0.1.20,jpass.crypt,Aes256,shiftRows,18,1,0,333,0,,
jpass-0.1.20,jpass.crypt,Aes256,mixColumn,10,1,1,357,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,mixColumns,6,1,0,377,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,encrypt,14,2,4,387,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,invShiftRows,18,1,0,416,0,,
jpass-0.1.20,jpass.crypt,Aes256,invSubstituteState,5,2,0,440,0,,
jpass-0.1.20,jpass.crypt,Aes256,invMixColumn,10,1,1,450,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,invMixColumns,6,1,0,470,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,Aes256,decrypt,14,2,4,480,0,jpass.crypt.Aes256,jpass.crypt.Aes256
jpass-0.1.20,jpass.crypt,DecryptException,DecryptException,3,1,0,44,0,,
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,GeneratePasswordDialog,4,1,1,102,0,jpass.ui.GeneratePasswordDialog,jpass.ui.GeneratePasswordDialog
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,GeneratePasswordDialog,4,1,1,112,0,jpass.ui.GeneratePasswordDialog,jpass.ui.GeneratePasswordDialog
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,initDialog,70,5,2,122,0,,
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,actionPerformed,38,11,1,213,0,,
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,getGeneratedPassword,3,1,0,256,0,,
jpass-0.1.20,jpass.ui,StatusPanel,StatusPanel,9,1,0,51,0,jpass.ui.StatusPanel,jpass.ui.StatusPanel
jpass-0.1.20,jpass.ui,StatusPanel,setText,3,1,1,61,0,,
jpass-0.1.20,jpass.ui,StatusPanel,getText,3,1,0,65,0,,
jpass-0.1.20,jpass.ui,StatusPanel,setProcessing,5,1,1,69,0,jpass.ui.StatusPanel,jpass.ui.StatusPanel
jpass-0.1.20,jpass.ui,TextComponentFactory,TextComponentFactory,2,1,0,46,0,,
jpass-0.1.20,jpass.ui,TextComponentFactory,newTextField,3,1,0,50,0,jpass.ui.TextComponentFactory,jpass.ui.TextComponentFactory
jpass-0.1.20,jpass.ui,TextComponentFactory,newTextField,6,1,1,59,0,,
jpass-0.1.20,jpass.ui,TextComponentFactory,newPasswordField,3,1,0,72,0,jpass.ui.TextComponentFactory,jpass.ui.TextComponentFactory
jpass-0.1.20,jpass.ui,TextComponentFactory,newPasswordField,6,1,1,81,0,,
jpass-0.1.20,jpass.ui,TextComponentFactory,newTextArea,3,1,0,94,0,jpass.ui.TextComponentFactory,jpass.ui.TextComponentFactory
jpass-0.1.20,jpass.ui,TextComponentFactory,newTextArea,6,1,1,103,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,DetailType,4,1,2,68,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,getDescription,3,1,0,73,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,getValue,3,1,1,77,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,EntryDetailsTable,12,2,0,94,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,isCellEditable,3,1,2,116,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,prepareRenderer,9,2,3,121,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,clear,3,1,0,132,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,addRow,3,1,1,136,0,,
jpass-0.1.20,jpass.ui,EntryDetailsTable,rowCount,3,1,0,142,0,,
