Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jpass-0.1.20,jpass.crypt.io,StreamTest,1,0,1,1,35,2,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/test/java/jpass/crypt/io/StreamTest.java,12
jpass-0.1.20,jpass.crypt.io,CryptInputStream,8,0,5,4,113,11,0,0,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/crypt/io/CryptInputStream.java,40
jpass-0.1.20,jpass.crypt.io,CryptOutputStream,2,0,5,5,61,5,0,0,0.0,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/crypt/io/CryptOutputStream.java,40
jpass-0.1.20,jpass.crypt,Aes256Test,1,0,2,2,44,3,0,0,1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/test/java/jpass/crypt/Aes256Test.java,9
jpass-0.1.20,jpass.crypt,CbcTest,6,0,6,5,111,9,0,0,0.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/test/java/jpass/crypt/CbcTest.java,12
jpass-0.1.20,jpass.crypt,Cbc,10,0,9,7,183,25,0,0,0.0,3,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/crypt/Cbc.java,36
jpass-0.1.20,jpass.crypt,Aes256,9,0,16,3,274,30,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/crypt/Aes256.java,33
jpass-0.1.20,jpass.crypt,DecryptException,1,0,1,1,14,1,0,0,0.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/crypt/DecryptException.java,33
jpass-0.1.20,jpass.ui,GeneratePasswordDialog,18,0,5,4,169,19,0,0,0.0,1,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/GeneratePasswordDialog.java,56
jpass-0.1.20,jpass.ui,StatusPanel,3,0,4,4,29,4,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/StatusPanel.java,38
jpass-0.1.20,jpass.ui,TextComponentFactory,0,0,7,6,62,7,0,0,-1.0,4,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/TextComponentFactory.java,38
jpass-0.1.20,jpass.ui,EntryDetailsTable,6,0,9,8,63,11,0,0,0.4444444444444444,1,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,47
jpass-0.1.20,jpass.ui,EntryDetailsTable.DetailType,2,0,0,0,21,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,52
jpass-0.1.20,jpass.ui,MessageDialog,12,9,16,8,0,32,0,0,0.0,6,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,66
jpass-0.1.20,jpass.ui,CopiablePasswordField,2,0,2,2,15,2,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/CopiablePasswordField.java,33
jpass-0.1.20,jpass.ui,SearchPanel,7,0,9,9,87,13,0,0,0.4444444444444444,1,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/SearchPanel.java,50
