Project Name,Package Name,Architecture Smell,Cause of the Smell
keystore-explorer-5.4.4,org.kse.crypto.publickey,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kse.crypto.filetype
keystore-explorer-5.4.4,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 9.53. All the dependencies among components: from: org.kse.crypto.publickey to: org.kse.crypto.filetype; from: org.kse.crypto.publickey to: org.kse.crypto.digest; from: org.kse.crypto.publickey to: org.kse.utilities.pem; from: org.kse.crypto.signing to: org.kse.crypto.keypair; from: org.kse.crypto.signing to: org.kse.crypto.csr; from: org.kse.crypto.signing to: org.kse.crypto.x509; from: org.kse.crypto.signing to: org.kse.crypto.csr.spkac; from: org.kse.crypto.signing to: org.kse.crypto.csr.pkcs10; from: org.kse.crypto.signing to: org.kse.crypto.digest; from: org.kse.crypto.signing to: org.kse.utilities.net; from: org.kse.crypto.signing to: org.kse.utilities.io; from: org.kse.crypto.csr.spkac to: org.kse.crypto.signing; from: org.kse.crypto.csr.spkac to: org.kse.crypto.x509; from: org.kse.crypto.csr.spkac to: org.kse.utilities.io; from: org.kse.crypto.keystore to: org.kse.crypto; from: org.kse.crypto.keystore to: org.kse.crypto.filetype; from: org.kse.crypto.keystore to: org.kse; from: org.kse.crypto.digest to: org.kse.utilities.io; from: org.kse.crypto to: org.kse.crypto.jcepolicy; from: org.kse.crypto to: org.kse.crypto.keypair; from: org.kse.crypto.secretkey to: org.kse.crypto; from: org.kse.crypto.keypair to: org.kse.crypto; from: org.kse.crypto.ecc to: org.kse.crypto.keystore; from: org.kse.crypto.ecc to: org.kse.crypto.keypair; from: org.kse.crypto.ecc to: org.kse.utilities.oid; from: org.kse.crypto.ecc to: org.kse.version; from: org.kse.crypto.privatekey to: org.kse.crypto.filetype; from: org.kse.crypto.privatekey to: org.kse.utilities.pem; from: org.kse.crypto.privatekey to: org.kse.crypto; from: org.kse.crypto.privatekey to: org.kse.utilities.io; from: org.kse.crypto.privatekey to: org.kse.crypto.digest; from: org.kse.crypto.privatekey to: org.kse.crypto.ecc; from: (default package) to: org.kse; from: org.kse to: org.kse.crypto.keystore; from: org.kse to: org.kse.crypto.keypair; from: org.kse to: org.kse.crypto.secretkey; from: org.kse to: org.kse.crypto.digest; from: org.kse to: org.kse.gui.password; from: org.kse to: org.kse.gui; from: org.kse to: org.kse.utilities.net; from: org.kse to: org.kse.utilities; from: org.kse to: org.kse.gui.error; from: org.kse to: org.kse.crypto.x509; from: org.kse to: org.kse.version; from: org.kse to: org.kse.utilities.os; from: org.kse.crypto.jcepolicy to: org.kse.version; from: org.kse.crypto.jcepolicy to: org.kse.utilities.net; from: org.kse.crypto.jcepolicy to: org.kse.utilities.io; from: org.kse.crypto.csr to: org.kse.crypto.filetype; from: org.kse.crypto.csr.pkcs10 to: org.kse.crypto.signing; from: org.kse.crypto.csr.pkcs10 to: org.kse.crypto.x509; from: org.kse.crypto.filetype to: org.kse.crypto.privatekey; from: org.kse.crypto.filetype to: org.kse.crypto.csr; from: org.kse.crypto.filetype to: org.kse.crypto.keystore; from: org.kse.crypto.filetype to: org.kse.crypto.publickey; from: org.kse.crypto.filetype to: org.kse.crypto.x509; from: org.kse.crypto.filetype to: org.kse.crypto.csr.pkcs10; from: org.kse.crypto.x509 to: org.kse.utilities.oid; from: org.kse.crypto.x509 to: org.kse.utilities.io; from: org.kse.crypto.x509 to: org.kse.utilities.pem; from: org.kse.crypto.x509 to: org.kse.crypto.signing; from: org.kse.crypto.x509 to: org.kse.utilities; from: org.kse.crypto.x509 to: org.kse.crypto.publickey; from: org.kse.utilities.asn1 to: org.kse.utilities.io; from: org.kse.utilities.asn1 to: org.kse.crypto.x509; from: org.kse.utilities.asn1 to: org.kse.utilities.oid; from: org.kse.utilities to: org.kse.gui; from: org.kse.utilities.net to: org.kse.utilities.io; from: org.kse.utilities.history to: org.kse.crypto; from: org.kse.utilities.history to: org.kse.crypto.keystore; from: org.kse.utilities.buffer to: org.kse.crypto; from: org.kse.gui to: org.kse; from: org.kse.gui to: org.kse.utilities.os; from: org.kse.gui to: org.kse.version; from: org.kse.gui to: org.kse.gui.error; from: org.kse.gui to: org.kse.gui.actions; from: org.kse.gui to: org.kse.gui.crypto; from: org.kse.gui to: org.kse.utilities.net; from: org.kse.gui to: org.kse.crypto.jcepolicy; from: org.kse.gui to: org.kse.gui.dnd; from: org.kse.gui to: org.kse.utilities.history; from: org.kse.gui to: org.kse.crypto.keystore; from: org.kse.gui to: org.kse.crypto; from: org.kse.gui to: org.kse.crypto.secretkey; from: org.kse.gui to: org.kse.crypto.x509; from: org.kse.gui to: org.kse.crypto.keypair; from: org.kse.gui to: org.kse.utilities.io; from: org.kse.gui to: org.kse.utilities; from: org.kse.gui to: org.kse.gui.quickstart; from: org.kse.gui to: org.kse.utilities.buffer; from: org.kse.gui.crypto.accessdescription to: org.kse.gui; from: org.kse.gui.crypto.accessdescription to: org.kse.utilities.os; from: org.kse.gui.crypto.accessdescription to: org.kse.gui.oid; from: org.kse.gui.crypto.accessdescription to: org.kse.gui.crypto.generalname; from: org.kse.gui.crypto.accessdescription to: org.kse.crypto.x509; from: org.kse.gui.crypto.accessdescription to: org.kse.utilities.oid; from: org.kse.gui.crypto to: org.kse.crypto.digest; from: org.kse.gui.crypto to: org.kse.gui.error; from: org.kse.gui.crypto to: org.kse.gui; from: org.kse.gui.crypto to: org.kse.crypto.jcepolicy; from: org.kse.gui.crypto to: org.kse.utilities.io; from: org.kse.gui.crypto to: org.kse.utilities; from: org.kse.gui.crypto to: org.kse.crypto.publickey; from: org.kse.gui.crypto to: org.kse.gui.dnchooser; from: org.kse.gui.crypto to: org.kse; from: org.kse.gui.crypto to: org.kse.crypto.x509; from: org.kse.gui.crypto.customextkeyusage to: org.kse.gui; from: org.kse.gui.crypto.customextkeyusage to: org.kse.gui.oid; from: org.kse.gui.crypto.customextkeyusage to: org.kse.gui.error; from: org.kse.gui.crypto.customextkeyusage to: org.kse.utilities.os; from: org.kse.gui.crypto.generalname to: org.kse.gui; from: org.kse.gui.crypto.generalname to: org.kse.utilities.os; from: org.kse.gui.crypto.generalname to: org.kse.crypto.x509; from: org.kse.gui.crypto.generalname to: org.kse.gui.crypto; from: org.kse.gui.crypto.generalname to: org.kse.gui.oid; from: org.kse.gui.crypto.generalname to: org.kse.gui.error; from: org.kse.gui.crypto.generalname to: org.kse.utilities; from: org.kse.gui.crypto.generalsubtree to: org.kse.crypto.x509; from: org.kse.gui.crypto.generalsubtree to: org.kse.gui.crypto.generalname; from: org.kse.gui.crypto.generalsubtree to: org.kse.gui; from: org.kse.gui.crypto.generalsubtree to: org.kse.utilities.os; from: org.kse.gui.crypto.policyinformation to: org.kse.gui; from: org.kse.gui.crypto.policyinformation to: org.kse.gui.error; from: org.kse.gui.crypto.policyinformation to: org.kse.utilities.os; from: org.kse.gui.crypto.policyinformation to: org.kse.crypto.x509; from: org.kse.gui.crypto.policyinformation to: org.kse.gui.oid; from: org.kse.gui.crypto.policymapping to: org.kse.gui.oid; from: org.kse.gui.crypto.policymapping to: org.kse.crypto.x509; from: org.kse.gui.crypto.policymapping to: org.kse.gui; from: org.kse.gui.crypto.policymapping to: org.kse.utilities.oid; from: org.kse.gui.crypto.policymapping to: org.kse.utilities.os; from: org.kse.gui.password to: org.kse.crypto; from: org.kse.gui.password to: org.kse.gui; from: org.kse.gui.dnchooser to: org.kse.crypto.x509; from: org.kse.gui.dnchooser to: org.kse.utilities; from: org.kse.gui.datetime to: org.kse.gui; from: org.kse.gui.datetime to: org.kse.utilities; from: org.kse.gui.statusbar to: org.kse.utilities.os; from: org.kse.gui.dnd to: org.kse.gui; from: org.kse.gui.dnd to: org.kse.crypto; from: org.kse.gui.dnd to: org.kse.crypto.keystore; from: org.kse.gui.dnd to: org.kse.crypto.privatekey; from: org.kse.gui.dnd to: org.kse.crypto.x509; from: org.kse.gui.dnd to: org.kse.gui.actions; from: org.kse.gui.dnd to: org.kse.gui.error; from: org.kse.gui.jar to: org.kse.gui; from: org.kse.gui.about to: org.kse.gui; from: org.kse.gui.about to: org.kse.gui.ticker; from: org.kse.gui.about to: org.kse.utilities.net; from: org.kse.gui.about to: org.kse; from: org.kse.gui.about to: org.kse.utilities; from: org.kse.gui.quickstart to: org.kse.gui; from: org.kse.gui.quickstart to: org.kse.gui.dnd; from: org.kse.gui.tipoftheday to: org.kse.gui; from: org.kse.gui.actions to: org.kse.gui; from: org.kse.gui.actions to: org.kse; from: org.kse.gui.actions to: org.kse.utilities.history; from: org.kse.gui.actions to: org.kse.crypto; from: org.kse.gui.actions to: org.kse.gui.password; from: org.kse.gui.actions to: org.kse.gui.error; from: org.kse.gui.actions to: org.kse.crypto.keystore; from: org.kse.gui.actions to: org.kse.crypto.x509; from: org.kse.gui.actions to: org.kse.gui.dialogs; from: org.kse.gui.actions to: org.kse.utilities.buffer; from: org.kse.gui.actions to: org.kse.crypto.ecc; from: org.kse.gui.actions to: org.kse.gui.dialogs.importexport; from: org.kse.gui.actions to: org.kse.utilities.net; from: org.kse.gui.actions to: org.kse.crypto.filetype; from: org.kse.gui.actions to: org.kse.crypto.csr.spkac; from: org.kse.gui.actions to: org.kse.crypto.csr.pkcs10; from: org.kse.gui.actions to: org.kse.crypto.privatekey; from: org.kse.gui.actions to: org.kse.crypto.publickey; from: org.kse.gui.actions to: org.kse.version; from: org.kse.gui.actions to: org.kse.gui.crypto; from: org.kse.gui.actions to: org.kse.gui.jar; from: org.kse.gui.actions to: org.kse.crypto.keypair; from: org.kse.gui.actions to: org.kse.crypto.csr; from: org.kse.gui.actions to: org.kse.crypto.signing; from: org.kse.gui.actions to: org.kse.utilities.io; from: org.kse.gui.actions to: org.kse.gui.about; from: org.kse.gui.actions to: org.kse.gui.dialogs.sign; from: org.kse.gui.actions to: org.kse.crypto.digest; from: org.kse.gui.actions to: org.kse.gui.tipoftheday; from: org.kse.gui.actions to: org.kse.crypto.secretkey; from: org.kse.gui.actions to: org.kse.utilities.ssl; from: org.kse.gui.dialogs to: org.kse.crypto; from: org.kse.gui.dialogs to: org.kse.crypto.secretkey; from: org.kse.gui.dialogs to: org.kse.gui; from: org.kse.gui.dialogs to: org.kse.utilities; from: org.kse.gui.dialogs to: org.kse.gui.crypto; from: org.kse.gui.dialogs to: org.kse.crypto.keypair; from: org.kse.gui.dialogs to: org.kse.crypto.csr; from: org.kse.gui.dialogs to: org.kse.crypto.signing; from: org.kse.gui.dialogs to: org.kse.crypto.x509; from: org.kse.gui.dialogs to: org.kse.utilities.io; from: org.kse.gui.dialogs to: org.kse.crypto.csr.spkac; from: org.kse.gui.dialogs to: org.kse.gui.dialogs.extensions; from: org.kse.gui.dialogs to: org.kse.crypto.csr.pkcs10; from: org.kse.gui.dialogs to: org.kse.gui.error; from: org.kse.gui.dialogs to: org.kse.crypto.keystore; from: org.kse.gui.dialogs to: org.kse.crypto.ecc; from: org.kse.gui.dialogs to: org.kse.utilities.asn1; from: org.kse.gui.dialogs to: org.kse; from: org.kse.gui.dialogs to: org.kse.version; from: org.kse.gui.dialogs to: org.kse.crypto.privatekey; from: org.kse.gui.dialogs to: org.kse.crypto.publickey; from: org.kse.gui.dialogs to: org.kse.gui.actions; from: org.kse.gui.dialogs to: org.kse.utilities.history; from: org.kse.gui.dialogs to: org.kse.utilities.net; from: org.kse.gui.dialogs to: org.kse.gui.datetime; from: org.kse.gui.dialogs to: org.kse.gui.password; from: org.kse.gui.dialogs to: org.kse.crypto.digest; from: org.kse.gui.dialogs to: org.kse.utilities.ssl; from: org.kse.gui.dialogs to: org.kse.gui.dnchooser; from: org.kse.gui.dialogs to: org.kse.utilities.os; from: org.kse.gui.dialogs.importexport to: org.kse.gui.password; from: org.kse.gui.dialogs.importexport to: org.kse.crypto; from: org.kse.gui.dialogs.importexport to: org.kse.gui; from: org.kse.gui.dialogs.importexport to: org.kse.utilities.io; from: org.kse.gui.dialogs.importexport to: org.kse.utilities; from: org.kse.gui.dialogs.importexport to: org.kse.crypto.privatekey; from: org.kse.gui.dialogs.importexport to: org.kse.gui.dialogs; from: org.kse.gui.dialogs.importexport to: org.kse.gui.error; from: org.kse.gui.dialogs.importexport to: org.kse.crypto.x509; from: org.kse.gui.dialogs.importexport to: org.kse.crypto.keypair; from: org.kse.gui.dialogs.importexport to: org.kse.crypto.keystore; from: org.kse.gui.dialogs.extensions to: org.kse.gui; from: org.kse.gui.dialogs.extensions to: org.kse.gui.error; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.generalname; from: org.kse.gui.dialogs.extensions to: org.kse.gui.datetime; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto; from: org.kse.gui.dialogs.extensions to: org.kse.crypto.x509; from: org.kse.gui.dialogs.extensions to: org.kse.gui.dialogs; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.generalsubtree; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.policyinformation; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.accessdescription; from: org.kse.gui.dialogs.extensions to: org.kse.utilities; from: org.kse.gui.dialogs.extensions to: org.kse.crypto.keypair; from: org.kse.gui.dialogs.extensions to: org.kse.utilities.os; from: org.kse.gui.dialogs.extensions to: org.kse.crypto.publickey; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.customextkeyusage; from: org.kse.gui.dialogs.extensions to: org.kse.gui.crypto.policymapping; from: org.kse.gui.dialogs.sign to: org.kse.crypto.keypair; from: org.kse.gui.dialogs.sign to: org.kse.crypto.signing; from: org.kse.gui.dialogs.sign to: org.kse.crypto.digest; from: org.kse.gui.dialogs.sign to: org.kse.gui.error; from: org.kse.gui.dialogs.sign to: org.kse.utilities.net; from: org.kse.gui.dialogs.sign to: org.kse.gui; from: org.kse.gui.dialogs.sign to: org.kse.gui.dialogs; from: org.kse.gui.dialogs.sign to: org.kse.utilities.io; from: org.kse.gui.dialogs.sign to: org.kse.utilities; from: org.kse.gui.dialogs.sign to: org.kse.gui.crypto; from: org.kse.gui.dialogs.sign to: org.kse.gui.datetime; from: org.kse.gui.dialogs.sign to: org.kse.crypto.csr.spkac; from: org.kse.gui.dialogs.sign to: org.kse.crypto.x509; from: org.kse.gui.dialogs.sign to: org.kse.crypto; from: org.kse.gui.dialogs.sign to: org.kse.gui.dialogs.extensions; from: org.kse.gui.dialogs.sign to: org.kse.crypto.csr.pkcs10; from: org.kse.gui.error to: org.kse.gui; from: org.kse.gui.oid to: org.kse.gui; from: org.kse.gui.oid to: org.kse.utilities.oid; from: org.kse.gui.oid to: org.kse.gui.error.
keystore-explorer-5.4.4,org.kse.crypto.signing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kse.crypto.signing; org.kse.crypto.x509; org.kse.crypto.signing
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kse.crypto.signing
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kse.crypto.csr.spkac; org.kse.crypto.signing; org.kse.crypto.csr.spkac
keystore-explorer-5.4.4,org.kse.crypto.keystore,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kse.crypto.filetype; org.kse
keystore-explorer-5.4.4,org.kse.crypto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kse.crypto.jcepolicy
keystore-explorer-5.4.4,org.kse.crypto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CryptoTestsBase; KeyTestsBase; KeyPairTestsBase; CryptoException; Password]; [KeyType; KeyInfo]; [SecurityProvider]. LCC (Lack of Component Cohesion) = 0.38
keystore-explorer-5.4.4,org.kse.crypto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.kse.crypto; org.kse.crypto.keypair; org.kse.crypto
keystore-explorer-5.4.4,org.kse.crypto.keypair,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.kse.crypto
