Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtilTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClientTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: res; jce; oid; digestType; friendlyKey
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureType,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: res; jce; oid; digestType; friendlyKey
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacMissingPropertyException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SpkacException
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacSubject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CN_PROPERTY; OU_PROPERTY; O_PROPERTY; L_PROPERTY; ST_PROPERTY; C_PROPERTY; cn; ou; o; l; st; c
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,Spkac,Feature Envy,The tool detected a instance of this smell because output is more interested in members of the type: SpkacSubject
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreUtilTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.keystore,MsCapiStoreType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jce
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: res; jce; friendlyKey; fileBased; cryptoFileType
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreType,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: res; jce; friendlyKey; fileBased; cryptoFileType
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreUtil,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: KSE; ApplicationSettings; KseFrame; JKeyStoreTabbedPane; DroppedFileHandler; ExamineFileAction; OpenAction; KeyStoreUtil; DViewCertificate; JDistinguishedName; DDistinguishedNameChooser; DViewExtensions; DViewCrl; DAddExtensions; DAuthorityInformationAccess; JAccessDescriptions; DAccessDescriptionChooser; JGeneralName; DGeneralNameChooser; DAuthorityKeyIdentifier; JGeneralNames; DIssuerAlternativeName; DNameConstraints; JGeneralSubtrees; DGeneralSubtreeChooser; DSubjectAlternativeName; DSubjectInformationAccess; DViewCsr; JQuickStartPane; NewAction; OpenDefaultAction; OpenCaCertificatesAction; AuthorityCertificates; OpenPkcs11Action; DOpenPkcs11KeyStore; OpenMsCapiAction; SaveAction; KeyStoreHistory; KeyStoreState; AlwaysIdenticalKeyStoreState; SetPasswordAction; SaveAsAction; SaveAllAction; CloseAction; CloseOthersAction; CloseAllAction; ExitAction; KseRestart; UndoAction; RedoAction; CutAction; CopyAction; PasteAction; ShowHideToolBarAction; ShowHideStatusBarAction; TabStyleWrapAction; TabStyleScrollAction; GenerateKeyPairAction; DGenerateKeyPairCert; GenerateSecretKeyAction; ImportTrustedCertificateAction; ImportKeyPairAction; DImportKeyPairPkcs12; DViewKeyPair; DImportKeyPairPkcs8; DImportKeyPairPvk; DImportKeyPairOpenSsl; ChangeTypeAction; PropertiesAction; DProperties; PreferencesAction; DPreferences; ExamineClipboardAction; ExamineSslAction; DExamineSsl; DExaminingSsl; DetectFileTypeAction; HelpAction; TipOfTheDayAction; WebsiteAction; CheckUpdateAction; SecurityProvidersAction; SystemInformationAction; CryptographyStrengthAction; JarsAction; AboutAction; DAbout; KeyPairCertificateChainDetailsAction; KeyPairPrivateKeyDetailsAction; KeyPairPublicKeyDetailsAction; CutKeyPairAction; CopyKeyPairAction; ExportKeyPairAction; ExportKeyPairCertificateChainAction; ExportKeyPairPrivateKeyAction; ExportKeyPairPublicKeyAction; GenerateCsrAction; DGenerateCsr; ImportCaReplyFromFileAction; ImportCaReplyFromClipboardAction; AppendToCertificateChainAction; RemoveFromCertificateChainAction; SignCsrAction; DSignCsr; SignJarAction; SignMidletAction; SignNewKeyPairAction; UnlockKeyPairAction; SetKeyPairPasswordAction; DeleteKeyPairAction; RenameKeyPairAction; DeleteMultipleEntriesAction; TrustedCertificateDetailsAction; TrustedCertificatePublicKeyDetailsAction; CutTrustedCertificateAction; CopyTrustedCertificateAction; ExportTrustedCertificateAction; ExportTrustedCertificatePublicKeyAction; DeleteTrustedCertificateAction; RenameTrustedCertificateAction; KeyDetailsAction; UnlockKeyAction; SetKeyPasswordAction; DeleteKeyAction; RenameKeyAction; KeyStoreTableModel; KeyStoreTab
keystore-explorer-5.4.4,org.kse.crypto.digest,DigestUtilTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto.digest,DigestType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jce; oid; friendly
keystore-explorer-5.4.4,org.kse.crypto,KeyTestsBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto,KeyTestsBase,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CryptoTestsBase
keystore-explorer-5.4.4,org.kse.crypto,KeyPairTestsBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
keystore-explorer-5.4.4,org.kse.crypto,KeyPairTestsBase,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CryptoTestsBase
keystore-explorer-5.4.4,org.kse.crypto,KeyType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
keystore-explorer-5.4.4,org.kse.crypto,SecurityProvider,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: jce
