Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtilTest,openSslPub,5,1,1,39,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtilTest,openSslPubPem,5,1,1,47,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,KeyIdentifierGenerator,3,1,1,49,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,generate160BitHashId,9,1,0,59,0,org.kse.crypto.publickey.KeyIdentifierGenerator,org.kse.crypto.publickey.KeyIdentifierGenerator
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,generate64BitHashId,13,1,0,81,0,org.kse.crypto.publickey.KeyIdentifierGenerator,org.kse.crypto.publickey.KeyIdentifierGenerator
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,encodePublicKeyAsBitString,13,3,1,109,0,org.kse.crypto.publickey.KeyIdentifierGenerator,org.kse.crypto.publickey.KeyIdentifierGenerator
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,encodeRsaPublicKeyAsBitString,7,1,1,124,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,encodeEcPublicKeyAsBitString,5,1,1,133,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,encodeDsaPublicKeyAsBitString,4,1,1,139,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtil,OpenSslPubUtil,2,1,0,84,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtil,get,3,1,1,87,0,,
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtil,getPem,6,1,1,99,0,org.kse.crypto.publickey.OpenSslPubUtil,org.kse.crypto.publickey.OpenSslPubUtil
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtil,load,13,2,1,115,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,setUp,5,1,0,59,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,testSignCertificateAndCSR,4,1,3,66,0,org.kse.crypto.signing.SignatureAlgorithmsTest,org.kse.crypto.signing.SignatureAlgorithmsTest
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,doTest,0,5,4,111,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClientTest,testTsaUrls,3,1,1,15,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClientTest,tsaUrls,3,1,0,23,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,MidletSigner,2,1,0,67,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,sign,7,1,5,70,0,org.kse.crypto.signing.MidletSigner,org.kse.crypto.signing.MidletSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,sign,42,7,6,100,0,org.kse.crypto.signing.MidletSigner,org.kse.crypto.signing.MidletSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,signJarDigest,15,2,2,184,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,readJadFile,16,3,1,204,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,TimeStampingClient,2,1,0,52,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,getTimeStampToken,28,3,3,55,0,org.kse.crypto.signing.TimeStampingClient,org.kse.crypto.signing.TimeStampingClient
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,queryServer,49,3,2,106,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,getAcceptedIssuers,3,1,0,119,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,checkClientTrusted,2,1,2,123,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,checkServerTrusted,2,1,2,126,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,JarSigner,2,1,0,131,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,sign,7,1,9,134,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,sign,52,5,10,172,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,ignoreJarEntry,18,6,1,306,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,hasSignature,13,4,2,332,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getManifestMainAttrs,17,2,2,368,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getManifestEntriesAttrs,21,5,1,402,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getDigestManifestAttrs,14,1,3,451,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getManifest,7,1,1,477,0,,
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getManifestMainAttrs,15,3,1,492,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,getManifestEntryAttrs,26,6,2,522,0,org.kse.crypto.signing.JarSigner,org.kse.crypto.signing.JarSigner
