Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
keystore-explorer-5.4.4,org.kse.crypto.secretkey,SecretKeyUtilTest,testAllSecretKeyTypes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
keystore-explorer-5.4.4,org.kse.crypto.secretkey,SecretKeyUtilTest,testSecretKeyType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
keystore-explorer-5.4.4,org.kse.crypto.privatekey,Pkcs8UtilTest,testAllPbeTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keystore-explorer-5.4.4,org.kse.crypto.privatekey,Pkcs8UtilTest,testAllPbeTypesPem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keystore-explorer-5.4.4,org.kse.crypto.privatekey,Pkcs8UtilTest,incorrectLoadTypeDetected,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
keystore-explorer-5.4.4,org.kse.crypto.privatekey,PvkUtilTest,unencryptedPvk,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
keystore-explorer-5.4.4,org.kse.crypto.privatekey,PvkUtilTest,weakEncryptedPvk,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
keystore-explorer-5.4.4,org.kse.crypto.privatekey,PvkUtilTest,strongEncryptedPvk,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
keystore-explorer-5.4.4,org.kse.crypto.privatekey,PvkUtilTest,incorrectLoadTypeDetected,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
keystore-explorer-5.4.4,org.kse.crypto.privatekey,OpenSslPvkUtilTest,testAllPbeTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
keystore-explorer-5.4.4,org.kse.crypto.privatekey,OpenSslPvkUtilTest,incorrectLoadTypeDetected,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
