Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.crypto.privatekey,OpenSslPvkUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse,ApplicationSettings,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.crypto.filetype,CryptoFileUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.crypto.x509,X509Ext,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
keystore-explorer-5.4.4,org.kse.gui,CreateApplicationGui,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
keystore-explorer-5.4.4,org.kse.gui,KeyStoreTableModel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui,KseFrame,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 101
keystore-explorer-5.4.4,org.kse.gui.crypto,DUpgradeCryptoStrength,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.crypto.policymapping,JPolicyMappings,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,KeyStoreExplorerAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.actions,SetKeyPairPasswordAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,PasteAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
keystore-explorer-5.4.4,org.kse.gui.actions,ChangeTypeAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,CopyAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,AppendToCertificateChainAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,ExamineFileAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
keystore-explorer-5.4.4,org.kse.gui.actions,ExportKeyPairPrivateKeyAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
keystore-explorer-5.4.4,org.kse.gui.actions,ImportKeyPairAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
keystore-explorer-5.4.4,org.kse.gui.actions,GenerateKeyPairAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.actions,ExportKeyPairAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
keystore-explorer-5.4.4,org.kse.gui.actions,OpenAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.actions,GenerateCsrAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
keystore-explorer-5.4.4,org.kse.gui.actions,SaveAsAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,ImportCaReplyFromFileAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
keystore-explorer-5.4.4,org.kse.gui.actions,SignMidletAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,AuthorityCertificatesAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,SetKeyPasswordAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,SignJarAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.actions,ImportTrustedCertificateAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,KeyDetailsAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.actions,SignCsrAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
keystore-explorer-5.4.4,org.kse.gui.actions,CutAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.actions,ExamineClipboardAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
keystore-explorer-5.4.4,org.kse.gui.actions,ImportCaReplyFromClipboardAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.actions,GenerateSecretKeyAction,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
keystore-explorer-5.4.4,org.kse.gui.dialogs,DGenerateCsr,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewCsr,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewPublicKey,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.dialogs,DOpenPkcs11KeyStore,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewPem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewCrl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.dialogs,DExamineSsl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewPrivateKey,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.dialogs,DGenerateKeyPairCert,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs,DProperties,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewCertCsrPem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewCertificate,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NONE (100); IMPORT (101); EXPORT (102); IMPORT_EXPORT (103)
keystore-explorer-5.4.4,org.kse.gui.dialogs,DViewCertificate,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
keystore-explorer-5.4.4,org.kse.gui.dialogs,DPreferences,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DExportKeyPair,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DExportPrivateKeyOpenSsl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DImportKeyPairPkcs8,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DExportPrivateKeyPkcs8,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DImportKeyPairOpenSsl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DExportPrivateKeyPvk,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DImportKeyPairPvk,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs.importexport,DImportKeyPairPkcs12,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
keystore-explorer-5.4.4,org.kse.gui.dialogs.extensions,DViewExtensions,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
keystore-explorer-5.4.4,org.kse.gui.dialogs.extensions,DAddExtensions,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 40
keystore-explorer-5.4.4,org.kse.gui.dialogs.extensions,DSelectStandardExtensionTemplate,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
keystore-explorer-5.4.4,org.kse.gui.dialogs.sign,DSignJar,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
keystore-explorer-5.4.4,org.kse.gui.dialogs.sign,DSignCsr,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
keystore-explorer-5.4.4,org.kse.gui.dialogs.sign,DSignMidlet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
