Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtilTest,0,0,2,2,15,2,0,0,-1.0,0,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/test/org/kse/crypto/publickey/OpenSslPubUtilTest.java,32
keystore-explorer-5.4.4,org.kse.crypto.publickey,KeyIdentifierGenerator,2,0,7,3,75,9,0,0,0.0,3,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/publickey/KeyIdentifierGenerator.java,40
keystore-explorer-5.4.4,org.kse.crypto.publickey,OpenSslPubUtil,2,0,4,3,48,5,0,0,0.75,7,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/publickey/OpenSslPubUtil.java,33
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureAlgorithmsTest,3,0,3,1,0,7,0,0,0.0,0,8,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/test/org/kse/crypto/signing/SignatureAlgorithmsTest.java,50
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClientTest,1,0,2,1,9,2,0,0,1.0,0,3,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/test/org/kse/crypto/signing/TimeStampingClientTest.java,11
keystore-explorer-5.4.4,org.kse.crypto.signing,MidletSigner,6,0,5,3,120,14,0,0,0.4,2,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/signing/MidletSigner.java,46
keystore-explorer-5.4.4,org.kse.crypto.signing,TimeStampingClient,0,0,6,4,94,10,0,0,-1.0,2,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/signing/TimeStampingClient.java,50
keystore-explorer-5.4.4,org.kse.crypto.signing,JarSigner,17,0,20,4,393,58,0,0,0.15,2,5,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/signing/JarSigner.java,77
keystore-explorer-5.4.4,org.kse.crypto.signing,SignatureType,5,0,0,0,134,0,0,0,-1.0,17,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/signing/SignatureType.java,39
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacTest,3,0,3,2,43,4,0,0,0.6666666666666666,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/test/org/kse/crypto/csr/spkac/SpkacTest.java,37
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacMissingPropertyException,1,0,4,4,34,4,0,1,1.0,2,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/csr/spkac/SpkacMissingPropertyException.java,22
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacSubject,12,6,14,12,249,50,0,0,0.0,5,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/csr/spkac/SpkacSubject.java,31
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,SpkacException,1,0,4,4,34,4,1,0,1.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/csr/spkac/SpkacException.java,24
keystore-explorer-5.4.4,org.kse.crypto.csr.spkac,Spkac,9,0,27,12,341,40,0,0,0.0,9,6,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/csr/spkac/Spkac.java,70
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreUtilTest,1,0,2,2,22,2,0,0,1.0,0,4,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/test/org/kse/crypto/keystore/KeyStoreUtilTest.java,33
keystore-explorer-5.4.4,org.kse.crypto.keystore,MsCapiStoreType,1,0,0,0,15,0,0,0,-1.0,3,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/keystore/MsCapiStoreType.java,22
keystore-explorer-5.4.4,org.kse.crypto.keystore,KeyStoreLoadException,2,0,5,5,50,5,0,0,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/keystore/KeyStoreLoadException.java,24
