Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Feature Envy,The tool detected a instance of this smell because createInitialSettlements is more interested in members of the type: SettlementConfig
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Feature Envy,The tool detected a instance of this smell because createPreconfiguredPeople is more interested in members of the type: CrewConfig
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Feature Envy,The tool detected a instance of this smell because createPreconfiguredRobots is more interested in members of the type: RobotConfig
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; logger; THREE_SHIFTS_MIN_POPULATION; ONE_SPACE; TWO_SPACES; THREE_SPACES; PERSON_NAME; VEHICLE_NAME; SETTLEMENT_NAME; LUV; EARTH; justStarting; useCrew; justLoaded; justReloaded; totalNumUnits; listeners; settlementNames; vehicleNames; personMaleNames; personFemaleNames; robotNameList; equipmentNumberMap; vehicleNumberMap; marsSociety; maleFirstNamesBySponsor; femaleFirstNamesBySponsor; maleFirstNamesByCountry; femaleFirstNamesByCountry; lastNamesBySponsor; lastNamesByCountry; ESACountries; allCountries; allLongSponsors; allShortSponsors; isCommanderMode; commanderID; solCache; originalBuild; displayUnits; lookupUnit; lookupSettlement; lookupSite; lookupPerson; lookupRobot; lookupVehicle; lookupEquipment; lookupBuilding; simulationConfig; sim; personConfig; crewConfig; settlementConfig; vehicleConfig; robotConfig; relationshipManager; factory; marsClock; marsSurface
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Salvagable; SalvageInfo; MarsClock; OrbitInfo; Coordinates; Mars; Weather; Simulation; HistoricalEventManager; HistoricalEventListener; SimpleEvent; ClockUtils; HistoricalEvent; CollectionUtils; UnitManager; SimulationConfig; PartConfig; Part; ItemResourceUtil; MalfunctionFactory; MalfunctionConfig; Malfunction; Inventory; Unit; LocationTag; Person; SkillManager; Robot; RoboticAttributeManager; BotMind; BotTaskManager; Task; PhysicalCondition; DeathInfo; RobotJob; MissionManager; MissionManagerListener; Mission; MissionMember; UnitListener; UnitEvent; Vehicle; MalfunctionManager; Malfunctionable; EVASuit; Settlement; BuildingManager; Meteorite; MeteoriteImpact; MasterClock; UpTimer; LogConsolidated; AutosaveScheduler; BuildingConfig; ResourceProcess; HeatSource; SurfaceFeatures; MineralMap; AreothermalMap; TerrainElevation; CollectionSite; RandomMineralMap; MineralConcentration; ExploredLocation; Building; Communication; ThermalGeneration; Heating; Farming; Research; CropConfig; Crop; ResourceUtil; AmountResourceConfig; Storage; Good; LightUtilityVehicle; ManufactureUtil; ManufactureConfig; EquipmentType; VehicleConfig; GoodsManager; PersonConfig; Commander; ResourceProcessing; GoodsUtil; VehicleType; EquipmentFactory; Equipment; ContainerUtil; GasCanister; Barrel; Bag; LargeBag; SpecimenBox; HotMeal; Ingredient; ConstructionSite; ConstructionStage; ConstructionManager; ConstructionValues; ConstructionUtil; ConstructionConfig; SalvageValues; LifeSupport; LivingAccommodations; TaskManager; Mind; Job; MBTIPersonality; EmotionManager; PersonalityTraitManager; RelationshipManager; Relationship; NaturalAttributeManager; JobHistory; JobUtil; Engineer; Manufacture; ManufactureProcess; SalvageProcess; LoadVehicleEVA; VehicleMission; OperateVehicle; RoverMission; Rover; Airlock; MarsSurface; SickBay; VehicleAirlock; LocalAreaUtil; CompositionOfAir; BuildingAirlock; GroundVehicle; MissionHistoricalEvent; Walk; WalkingSteps; ExitAirlock; EVAOperation; HealthProblem; MedicalAid; MedicalManager; MedicalEvent; CookMeal; Cooking; MealConfig; RoboticStation; CookedMeal; EnterAirlock; NavPoint; LoadVehicleGarage; PreparingDessert; PreparedDessert; ItemResource; Maintenance; MaintenanceEVA; MaintainGroundVehicleGarage; VehicleMaintenance; Crewable; MaintainGroundVehicleEVA; ManufactureGood; RepairMalfunction; RepairEVAMalfunction; UnloadVehicleEVA; Towing; CollectResources; CollectMinedMinerals; Mining; MineSite; UnloadVehicleGarage; SalvageGood; ConsolidateContainers; BuildingConstructionMission; ConstructBuilding; RescueSalvageVehicle; BuildingSalvageMission; SalvageBuilding; Technician; ToggleResourceProcess; Administration; ToggleFuelPowerSource; FuelPowerSource; PowerGeneration; PowerSource; TaskSchedule; CircadianClock; MetaTask; ScientificStudyManager; ScientificStudy; ScientificStudyListener; ScientificStudyEvent; ScientificStudyUtil; MetaTaskUtil; GroundVehicleMaintenance; ConstructedBuildingLogEntry; FoodProductionProcess; FoodProduction; FoodProductionUtil; DigLocalRegolith; CollectRegolith; CollectIce; Exploration; ExploreSite; Areologist; StudyFieldSamples; AssistScientificStudyResearcher; ResearchScientificStudy; CompileScientificStudyResults; InviteStudyCollaborator; PeerReviewStudyPaper; PerformLaboratoryResearch; ProposeScientificStudy; RespondToStudyInvitation; AreologyFieldStudy; AreologyStudyFieldWork; BiologyFieldStudy; BiologyStudyFieldWork; Architect; ManufactureConstructionMaterials; TendGreenhouse; PowerStorage; PowerGrid; EVA; Management; MedicalCare; MedicalStation; WasteDisposal; Recreation; Dining; AstronomicalObservation; Exercise; Function; SettlementConfig; PartPackageConfig; SettlementTemplate; Resupply; Favorite; ResupplyUtil; ResupplyConfig; BuildingConnectorManager; BuildingConnector; Hatch; BuildingLocation; EarthReturn; BuildingConnection; ThermalSystem; ChainOfCommand; RoleUtil; DustStorm; MaintenanceMeta; MaintenanceEVAMeta; RepairMalfunctionMeta; RepairEVAMalfunctionMeta; ConstructBuildingMeta; BuildingConstructionMissionMeta; CollectRegolithMeta; CollectIceMeta; EmergencySupply; MeteorologyFieldStudy; MeteorologyStudyFieldWork; Trade; NegotiateTrade; CreditManager; CreditListener; CreditEvent; TradeUtil; TravelToSettlement; RadiationExposure; RadiationEvent; MalfunctionEvent; MissionPlanning; MissionListener; MissionEvent; TravelMission; MetaMission; GameManager; EatDrinkMeta; EatDrink; TaskProbabilityUtil; Medication; TaskEvent; SystemCondition; Role; Preference; Gene; AmountResourceStorage; AmountResourceTypeStorage; LandmarkConfig; UnitManagerListener; UnitManagerEvent; TransportManager; ArrivingSettlementUtil; ArrivingSettlement
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 82 public methods
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: Simulation; Unit; Inventory; LocalAreaUtil; CollectionUtils; GameManager; UnitManagerEvent; Commander; MBTIPersonality; PersonalityTraitManager; MissionManager; Mission; TradeUtil; RelationshipManager; Walk; MetaTask; Task; Job; LocationTag; ScientificStudy; ScientificStudyUtil; ScientificStudyManager; MalfunctionFactory; ResupplyUtil; Resupply; ArrivingSettlement; ArrivingSettlementUtil; RobotJob; Weather; Settlement; Airlock; ChainOfCommand; CompositionOfAir; ConstructionSite; SalvageValues; CreditEvent; GoodsManager; BuildingManager; Building; Function; Crop; SalvageInfo; MainDesktopPane; TabPanelOrganization; TabPanelCredit; TabPanelCredit.CreditTableModel; ToolWindow; TransportItemEditingPanel; ResupplyMissionEditingPanel; CropTableModel; UnitTableModel; SettlementTableModel; RobotTableModel; VehicleTableModel; PersonTableModel; FoodInventoryTableModel; TradeTableModel; EventTableModel; SettlementTransparentPanel; SettlementMapLayer; SettlementMapPanel; StudyDetailPanel; NavpointPanel; SettlementListModel; InfoPanel; UnitTableModel; WizardPanel; RendezvousVehiclePanel; MapLayer; GlobeDisplay; NavigatorWindow; SimulationConfigEditor; CrewEditor. Outgoing dependencies: SimulationConfig; Simulation; PersonConfig; CrewConfig; SettlementConfig; VehicleConfig; RobotConfig; RelationshipManager; MalfunctionFactory; MarsClock; MarsSurface; GenderType; Unit; Settlement; ConstructionSite; Person; Robot; Equipment; Building; Vehicle; UnitType; RobotType; Coordinates; SettlementTemplate; LightUtilityVehicle; Rover; AmountResource; Inventory; Part; Job; Favorite; FavoriteType; RobotJob; Relationship; UnitManagerListener; UnitManagerEventType; GameManager; JobUtil; JobAssignmentType; ReportingAuthorityType; RoleType; LocationStateType; RoleUtil; CollectionUtils; RandomUtil; EquipmentFactory; JobType
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,Feature Envy,The tool detected a instance of this smell because stop is more interested in members of the type: MasterClock
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,Feature Envy,The tool detected a instance of this smell because halt is more interested in members of the type: MasterClock
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,Feature Envy,The tool detected a instance of this smell because proceed is more interested in members of the type: MasterClock
