Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,Quotation,Quotation,4,1,2,19,0,,
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,Quotation,getName,3,1,0,24,0,,
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,Quotation,getText,3,1,0,28,0,,
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,QuotationConfig,QuotationConfig,3,1,1,35,0,,
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,QuotationConfig,getQuotations,15,3,0,44,0,,
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,QuotationConfig,destroy,7,2,0,79,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,UnitManager,22,1,0,186,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,constructInitialUnits,27,7,1,236,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializePersonNames,23,4,0,319,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializeLastNames,10,1,0,352,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializeFirstNames,12,1,0,370,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializeRobotNames,8,1,0,389,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializeVehicleNames,8,1,0,406,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,initializeSettlementNames,8,1,0,420,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getUnitByID,36,10,1,433,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,addUnitID,8,3,1,497,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,removeUnitID,3,2,1,508,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getSettlementByID,3,1,1,513,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,addSettlementID,8,3,1,518,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,removeSettlementID,7,2,1,531,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getSiteByID,3,1,1,541,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,addSiteID,7,3,1,546,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,removeSiteID,6,2,1,557,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getCommanderSettlement,3,1,0,566,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getCommanderSettlements,10,3,0,570,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getPersonByID,3,1,1,595,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getLookupPerson,3,1,0,602,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,addPersonID,7,3,1,606,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,removePersonID,3,2,1,616,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,getRobotByID,3,1,1,621,0,,
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,addRobotID,7,3,1,625,0,org.mars_sim.msp.core.UnitManager,org.mars_sim.msp.core.UnitManager
