Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: justLoaded (94); justReloaded (96)
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 47
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 70
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,Law of Demeter violation,The tool detected the smell in this method (endSimulation) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Simulation.stop; org.mars_sim.msp.core.Simulation.instance
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (getTopContainerID) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.getContainerID; org.mars_sim.msp.core.Unit.getContainerUnit
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (getTopContainerID) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.getContainerID; org.mars_sim.msp.core.Unit.getContainerUnit
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (isInside) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.isInside; org.mars_sim.msp.core.Unit.getContainerUnit
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (isOutside) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.getContainerUnit; org.mars_sim.msp.core.Unit.isOutside
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (isInVehicle) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.getContainerUnit; org.mars_sim.msp.core.Unit.isInVehicle
mars-sim-3.1.0,org.mars_sim.msp.core,Unit,Law of Demeter violation,The tool detected the smell in this method (isInSettlement) because the method voilates the law of Demeter. The long chain of method invocations is : org.mars_sim.msp.core.Unit.isInSettlement; org.mars_sim.msp.core.Unit.getContainerUnit
mars-sim-3.1.0,org.mars_sim.msp.core,Inventory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
mars-sim-3.1.0,org.mars_sim.msp.core,Msg.UTF8Control,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mars-sim-3.1.0,org.mars_sim.msp.core,LocalAreaUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
mars-sim-3.1.0,org.mars_sim.msp.core,GameManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: id (14); mode (21); menu (24); resolution (27); input (30); useSCE (33); commanderProfile (36); sandbox0 (39); commanderPerson (42); unitManager (44)
mars-sim-3.1.0,org.mars_sim.msp.core,SimulationConfig,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
mars-sim-3.1.0,org.mars_sim.msp.core.memory,TreePrinter.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mars-sim-3.1.0,org.mars_sim.msp.core.memory,MemoryMeter.Guess,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
mars-sim-3.1.0,org.mars_sim.msp.core.vehicle,GroundVehicle,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
mars-sim-3.1.0,org.mars_sim.msp.core.vehicle,Vehicle,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 44
mars-sim-3.1.0,org.mars_sim.msp.core.vehicle,Rover,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
mars-sim-3.1.0,org.mars_sim.msp.core.person,Preference,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
mars-sim-3.1.0,org.mars_sim.msp.core.person,PhysicalCondition,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27
mars-sim-3.1.0,org.mars_sim.msp.core.person,Person,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 54
mars-sim-3.1.0,org.mars_sim.msp.core.person.health,HealthProblem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
mars-sim-3.1.0,org.mars_sim.msp.core.person.health,DeathInfo,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
mars-sim-3.1.0,org.mars_sim.msp.core.person.health,MedicalStation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
mars-sim-3.1.0,org.mars_sim.msp.core.person.health,RadiationExposure,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
mars-sim-3.1.0,org.mars_sim.msp.core.person.health,MedicalManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai,SkillManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai,Mind,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.role,RoleUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: specialistRoles (30)
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,TravelMission,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,TravelToSettlement,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,BiologyFieldStudy,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,MissionManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 32
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,CollectResourcesMission,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,RoverMission,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: availableDesserts (85)
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,RoverMission,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 33
mars-sim-3.1.0,org.mars_sim.msp.core.person.ai.mission,Mission,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
