Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,Quotation,3,0,3,3,17,3,0,0,0.0,1,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/quotation/Quotation.java,12
mars-sim-3.1.0,org.mars_sim.msp.core.quotation,QuotationConfig,8,0,3,3,50,6,0,0,0.0,1,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/quotation/QuotationConfig.java,18
mars-sim-3.1.0,org.mars_sim.msp.core,UnitManager,59,14,100,82,1841,428,0,0,0.04,73,47,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitManager.java,63
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation,56,19,54,48,1176,121,0,0,0.09259259259259259,144,70,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,118
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation.SaveType,0,0,0,0,16,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,130
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation.SingletonHelper,1,0,0,0,6,0,0,0,-1.0,0,1,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,311
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation.CreateNewSimTask,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,358
mars-sim-3.1.0,org.mars_sim.msp.core,Simulation.StartTask,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,589
mars-sim-3.1.0,org.mars_sim.msp.core,LogConsolidated,15,0,14,12,123,20,0,0,0.35714285714285715,103,2,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/LogConsolidated.java,25
mars-sim-3.1.0,org.mars_sim.msp.core,LogConsolidated.TimeAndCount,2,0,0,0,11,0,0,0,-1.0,0,0,/Users/evol-lab/Documents/Projects/roles-smells-metrics-package/data/SourceProjects/Desktop/mars-sim-3.1.0/mars-sim-core/org/mars_sim/msp/core/LogConsolidated.java,207
