Project Name,Package Name,Architecture Smell,Cause of the Smell
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KeyFilesOperationsPgpImplTest; KeyFilesOperationsPgpImpl; KeyDataPgp; KeyGeneratorServicePgpImplTest; KeyGeneratorServicePgpImpl; KeyRingServicePgpImpl; EncryptionServicePgpImpl; SourceInfo; SymmetricEncryptionIsNotSupportedException; ArmoredInputSubStream; PgpKeysRing]; [KeyGeneratorServicePgpImpl.ProactivelyGenerateMasterKeyPair]; [KeyGeneratorServicePgpImpl.KeyPairParams]. LCC (Lack of Component Cohesion) = 0.23
pgptool-0.5.9.2,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.25. All the dependencies among components: from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.encryption.implpgp to: integr.org.pgptool.gui; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.tools; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.config.api; from: org.pgptool.gui.encryption.implpgp to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.ui.tools.checklistbox; from: org.pgptool.gui.ui.encryptone to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.app; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.encryptionparams.api; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.filecomparison; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.decryptedlist.api; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.ui.tools.browsefs; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.ui.encryptone to: org.pgptool.gui.ui.decryptone; from: org.pgptool.gui.tools to: org.pgptool.gui.app; from: org.pgptool.gui.autoupdate.impl to: org.pgptool.gui.autoupdate.api; from: org.pgptool.gui.autoupdate.impl to: org.pgptool.gui.autoupdate.impl.dto; from: org.pgptool.gui.autoupdate.impl to: org.pgptool.gui.tools; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.encryption.api; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.config.api; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.usage.api; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.encryption.api.dto; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.encryption.implpgp; from: integr.org.pgptool.gui.encryption to: integr.org.pgptool.gui; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.ui.getkeypassword; from: integr.org.pgptool.gui.encryption to: org.pgptool.gui.tools; from: org.pgptool.gui.encryption.api to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.encryption.api to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.encryption.api to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.ui.decryptonedialog; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.app; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.decrypttext to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.decrypttext to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.ui.tools.browsefs; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.ui.keyslist; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.app; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.importkey to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.app; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.ui.tools.geometrymemory; from: org.pgptool.gui.ui.tools to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.ui.validationerrorsballoon; from: org.pgptool.gui.ui.tools to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.tools.browsefs to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.tools.browsefs to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.tools.browsefs to: org.pgptool.gui.app; from: org.pgptool.gui.ui.tools.geometrymemory to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.tools.linkbutton to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.createkey to: org.pgptool.gui.app; from: org.pgptool.gui.ui.createkey to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.createkey to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.createkey to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.createkey to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.tempfolderfordecrypted to: org.pgptool.gui.tempfolderfordecrypted.api; from: org.pgptool.gui.ui.tempfolderfordecrypted to: org.pgptool.gui.ui.tools.browsefs; from: org.pgptool.gui.ui.tempfolderfordecrypted to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.tempfolderfordecrypted to: org.pgptool.gui.app; from: org.pgptool.gui.ui.historyquicksearch to: org.pgptool.gui.ui.decryptone; from: org.pgptool.gui.ui.historyquicksearch to: org.pgptool.gui.app; from: org.pgptool.gui.ui.historyquicksearch to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.historyquicksearch to: org.pgptool.gui.ui.tools.geometrymemory; from: org.pgptool.gui.ui.historyquicksearch to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.historyquicksearch to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.historyquicksearch to: ru.skarpushin.swingpm.EXPORT.base; from: org.pgptool.gui.ui.getkeypassword to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.getkeypassword to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.getkeypassword to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.getkeypassword to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.getkeypassword to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.ui.tools.checklistbox; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.app; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.encrypttext to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.decryptonedialog to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.ui.decryptonedialog to: org.pgptool.gui.ui.decryptone; from: org.pgptool.gui.ui.decryptonedialog to: org.pgptool.gui.app; from: org.pgptool.gui.ui.decryptonedialog to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.checkForUpdates to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.checkForUpdates to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.checkForUpdates to: org.pgptool.gui.autoupdate.api; from: org.pgptool.gui.ui.checkForUpdates to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.checkForUpdates to: org.pgptool.gui.app; from: org.pgptool.gui.ui.about to: org.pgptool.gui.autoupdate.api; from: org.pgptool.gui.ui.about to: org.pgptool.gui.app; from: org.pgptool.gui.ui.about to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.app; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.ui.decryptonedialog; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.encryptionparams.api; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.tempfolderfordecrypted.api; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.decryptedlist.api; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.filecomparison; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.ui.tools.browsefs; from: org.pgptool.gui.ui.decryptone to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.ui.validationerrorsballoon to: org.pgptool.gui.app; from: org.pgptool.gui.ui.validationerrorsballoon to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.encryptionparams.api; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.decryptedlist.api; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.filecomparison; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.app; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.encryptbackmultiple to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.encryptbackmultiple to: org.jdesktop.swingx.imported; from: org.pgptool.gui.ui.root to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.root to: org.pgptool.gui.app; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.checkForUpdates; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.mainframe; from: org.pgptool.gui.ui.root to: org.pgptool.gui.hintsforusage.api; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.keyslist; from: org.pgptool.gui.ui.root to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.root to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.root to: org.pgptool.gui.hintsforusage.hints; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.tempfolderfordecrypted; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.importkey; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.encrypttext; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.decryptonedialog; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.getkeypassworddialog; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.encryptbackmultiple; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.root to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.root to: org.pgptool.gui.ui.decryptone; from: org.pgptool.gui.ui.getkeypassworddialog to: org.pgptool.gui.ui.getkeypassword; from: org.pgptool.gui.ui.getkeypassworddialog to: org.pgptool.gui.app; from: org.pgptool.gui.ui.getkeypassworddialog to: org.pgptool.gui.ui.decryptonedialog; from: org.pgptool.gui.ui.getkeypassworddialog to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.decryptedlist.api; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.tempfolderfordecrypted.api; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.historyquicksearch; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.checkForUpdates; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.decryptone; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.hintsforusage.ui; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.app; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.tools.geometrymemory; from: org.pgptool.gui.ui.mainframe to: org.pgptool.gui.ui.tools.linkbutton; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.tools; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.app; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.ui.tools.geometrymemory; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.usage.api; from: org.pgptool.gui.ui.keyslist to: org.pgptool.gui.ui.tools.browsefs; from: org.pgptool.gui.decryptedlist.impl to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.decryptedlist.impl to: org.pgptool.gui.tools.fileswatcher; from: org.pgptool.gui.decryptedlist.impl to: org.pgptool.gui.decryptedlist.api; from: org.pgptool.gui.decryptedlist.api to: org.pgptool.gui.filecomparison; from: org.pgptool.gui.tools.singleinstance to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.tools.singleinstance to: org.pgptool.gui.tools.dirwatcher; from: org.pgptool.gui.tools.singleinstance to: org.pgptool.gui.tools; from: org.pgptool.gui.tools.singleinstance to: org.pgptool.gui.config.impl; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.config.api; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.ui.root; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.app; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.tempfolderfordecrypted.impl to: org.pgptool.gui.tools; from: org.pgptool.gui.app to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.app to: org.pgptool.gui.usage.api; from: org.pgptool.gui.app to: org.pgptool.gui.ui.root; from: org.pgptool.gui.app to: org.pgptool.gui.tools.singleinstance; from: org.pgptool.gui.app to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.app to: org.pgptool.gui.tools.osnative; from: org.pgptool.gui.app to: org.pgptool.gui.autoupdate.impl; from: org.pgptool.gui.app to: org.pgptool.gui.tools; from: org.pgptool.gui.hintsforusage.impl to: org.pgptool.gui.hintsforusage.api; from: org.pgptool.gui.hintsforusage.impl to: org.pgptool.gui.hintsforusage.ui; from: org.pgptool.gui.hintsforusage.ui to: org.jdesktop.swingx.imported; from: org.pgptool.gui.hintsforusage.ui to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.hintsforusage.api to: org.pgptool.gui.hintsforusage.ui; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.hintsforusage.api; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.encryption.api; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.app; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.ui.root; from: org.pgptool.gui.hintsforusage.hints to: org.pgptool.gui.encryption.api.dto; from: org.pgptool.gui.config.impl to: org.pgptool.gui.tools; from: org.pgptool.gui.config.impl to: org.pgptool.gui.config.api; from: org.pgptool.gui.encryptionparams.impl to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.encryptionparams.impl to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.encryptionparams.api to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.usage.dto to: org.pgptool.gui.ui.encryptone; from: org.pgptool.gui.usage.api to: org.pgptool.gui.configpairs.api; from: org.pgptool.gui.usage.api to: org.pgptool.gui.ui.tools; from: org.pgptool.gui.filecomparison to: org.pgptool.gui.bkgoperation; from: org.pgptool.gui.configpairs.impl to: org.pgptool.gui.config.api; from: ru.skarpushin.swingpm.modelprops.EXPORT to: org.pgptool.gui.ui.tools.linkbutton; from: ru.skarpushin.swingpm.bindings to: ru.skarpushin.swingpm.modelprops.slider; from: ru.skarpushin.swingpm.EXPORT.base to: org.pgptool.gui.app; from: ru.skarpushin.swingpm.EXPORT.base to: org.pgptool.gui.ui.tools; from: ru.skarpushin.swingpm.EXPORT.base to: org.pgptool.gui.ui.root.
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EncryptOnePmTest; EncryptOnePm; EncryptOneHost; EncryptionDialogParameters]; [EncryptOneView]; [EncryptOnePm.OperationWorker]. LCC (Lack of Component Cohesion) = 0.5
pgptool-0.5.9.2,org.pgptool.gui.tools,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pgptool.gui.app
pgptool-0.5.9.2,org.pgptool.gui.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PathUtilsTest]; [IoStreamUtils]; [HttpTools]; [TextFile]; [ClipboardUtil]; [ConsoleExceptionUtils]; [FileUtilsEx]; [FileUtilsEx.FileCreatorLogic]. LCC (Lack of Component Cohesion) = 1.0
pgptool-0.5.9.2,org.jdesktop.swingx.imported,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JXLabel; JXLabel.Renderer; Painter; AbstractPainter; CompoundPainter; GraphicsUtilities; AbstractBean]; [JXLabel.TextAlignment]; [JXLabel.IValue]; [JXLabel.MultiLineSupport]; [JXLabel.BasicEditorKit]; [JXLabel.BasicViewFactory]; [JXLabel.BasicDocument]; [AbstractPainter.Interpolation]. LCC (Lack of Component Cohesion) = 0.57
pgptool-0.5.9.2,org.pgptool.gui.encryption.api.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KeyTypeEnum; KeyInfo; Key; KeyData; MatchedKey]; [CreateKeyParams]. LCC (Lack of Component Cohesion) = 0.33
pgptool-0.5.9.2,org.pgptool.gui.encryption.api,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pgptool.gui.ui.getkeypassword
pgptool-0.5.9.2,org.pgptool.gui.encryption.api,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OutputStreamSupervisorImpl; OutputStreamSupervisor; EncryptionService; InputStreamSupervisor; InputStreamSupervisorImpl]; [KeyRingService]; [KeyGeneratorService]; [KeyFilesOperations]. LCC (Lack of Component Cohesion) = 0.5
pgptool-0.5.9.2,org.pgptool.gui.encryption.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pgptool.gui.encryption.api; org.pgptool.gui.ui.getkeypassword; org.pgptool.gui.encryption.api
