Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.ProactivelyGenerateMasterKeyPair,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keyPairParams
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.ProactivelyGenerateMasterKeyPair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.KeyPairParams,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: algorithm; provider; keysize
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyGeneratorServicePgpImpl.KeyPairParams,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,EncryptionServicePgpImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,PgpKeysRing,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
pgptool-0.5.9.2,org.pgptool.gui.encryption.implpgp,KeyFilesOperationsPgpImpl,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: KeyDataPgp; KeyFilesOperationsPgpImpl
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,EncryptOnePm,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainFramePm; HistoryQuickSearchView; UiUtils; EntryPoint; RootPm; UpdatesPolicy; CheckForUpdatesPm; ConsoleExceptionUtils; MainFrameView; HintView; LinkButton; BuyMeCoffeeHint; TempFolderChooserPm; FolderChooserDialog; DecryptOnePm; ExistingFileChooserDialog; SaveFileChooserDialog; EncryptOnePm; SplashScreenView; DialogViewBase; HistoryQuickSearchPm
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,EncryptOnePm,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,EncryptOnePm.OperationWorker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: workerOriginEvent
pgptool-0.5.9.2,org.pgptool.gui.ui.encryptone,EncryptOnePm.OperationWorker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pgptool-0.5.9.2,org.pgptool.gui.tools,ConsoleExceptionUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainFramePm; HistoryQuickSearchView; UiUtils; EntryPoint; RootPm; UpdatesPolicy; CheckForUpdatesPm; ConsoleExceptionUtils; MainFrameView; HintView; LinkButton; BuyMeCoffeeHint; TempFolderChooserPm; FolderChooserDialog; DecryptOnePm; ExistingFileChooserDialog; SaveFileChooserDialog; EncryptOnePm; SplashScreenView; DialogViewBase; HistoryQuickSearchPm
pgptool-0.5.9.2,org.pgptool.gui.tools,FileUtilsEx.FileCreatorLogic,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pgptool-0.5.9.2,org.pgptool.gui.autoupdate.impl,NewVersionCheckerGitHubImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEV_VERSION; log; configuredVersion; latestVersionUrl; headers; gson
pgptool-0.5.9.2,org.jdesktop.swingx.imported,JXLabel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; value; NORMAL; INVERTED; VERTICAL_LEFT; VERTICAL_RIGHT; textRotation; painting; foregroundPainter; backgroundPainter; multiLine; pWidth; pHeight; dontIgnoreRepaint; occupiedWidth; oldRendererKey; paintBorderInsets; maxLineSpan; painted; textAlignment; HTML; basicViewFactory; basicFactory; serialVersionUID; serialVersionUID; host; invalidated; width; height; view; factory
pgptool-0.5.9.2,org.jdesktop.swingx.imported,JXLabel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
pgptool-0.5.9.2,org.jdesktop.swingx.imported,JXLabel.TextAlignment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
pgptool-0.5.9.2,org.jdesktop.swingx.imported,JXLabel.TextAlignment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
